filepath,label,source,cough_source,noise_source,snr_db
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00000__snr0__cough_ALA_000347_oldv1_rank016_p0.938_src355.00-356.00_clip355.00-356.00__noise_ALA_E_2_2020-09-30_00-45-49_855__rank018__p0.875__19.20-21.00.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank016_p0.938_src355.00-356.00_clip355.00-356.00.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_00-45-49_855__rank018__p0.875__19.20-21.00.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00001__snr5__cough_ALA_000347_oldv1_rank059_p0.581_src302.10-303.10_clip302.10-303.10__noise_ALA_E_2_2020-09-30_00-39-49_327__rank015__p0.837__28.90-30.90.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank059_p0.581_src302.10-303.10_clip302.10-303.10.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_00-39-49_327__rank015__p0.837__28.90-30.90.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00002__snr5__cough_sample01_rank012_p0.905_src331.90-332.90_clip331.90-332.90__noise_ALA_000347_v2_rank009_p0.897_src135.60-136.60_clip135.60-136.60.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\sample01_rank012_p0.905_src331.90-332.90_clip331.90-332.90.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_v2_rank009_p0.897_src135.60-136.60_clip135.60-136.60.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00003__snr10__cough_ALA_E_2_2020-09-30_01-15-52_167__rank011__p0.959__136.10-138.40__noise_ALA_E_2_2020-09-30_00-39-49_327__rank019__p0.822__151.40-153.70.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-15-52_167__rank011__p0.959__136.10-138.40.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\fan_noise\ALA_E_2_2020-09-30_00-39-49_327__rank019__p0.822__151.40-153.70.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00004__snr5__cough_ALA_000347_oldv1_rank060_p0.721_src309.10-310.10_clip309.10-310.10__noise_ALA_000347_oldv1_rank035_p0.762_src196.90-197.90_clip196.90-197.90.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank060_p0.721_src309.10-310.10_clip309.10-310.10.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank035_p0.762_src196.90-197.90_clip196.90-197.90.wav,5.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00005__snr10__cough_ALA_000347_oldv1_rank053_p0.751_src218.60-219.60_clip218.60-219.60__noise_ALA_E_2_2020-09-30_01-03-51_362__rank013__p0.926__341.90-343.90.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank053_p0.751_src218.60-219.60_clip218.60-219.60.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\equipment\ALA_E_2_2020-09-30_01-03-51_362__rank013__p0.926__341.90-343.90.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00006__snr10__cough_ALA_000347_oldv1_rank029_p0.906_src308.30-309.30_clip308.30-309.30__noise_ALA_000347_oldv1_rank039_p0.863_src237.00-238.00_clip237.00-238.00.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank029_p0.906_src308.30-309.30_clip308.30-309.30.wav,C:\py\pigsound\pig-sound-classification\det_round1_clips\other_clean\ALA_000347_oldv1_rank039_p0.863_src237.00-238.00_clip237.00-238.00.wav,10.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00007__snr0__cough_ALA_000347_oldv1_rank060_p0.710_src22.40-23.40_clip22.40-23.40__noise_ALA_E_2_2020-09-30_01-15-52_167__rank014__p0.950__260.20-262.70.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank060_p0.710_src22.40-23.40_clip22.40-23.40.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\equipment\ALA_E_2_2020-09-30_01-15-52_167__rank014__p0.950__260.20-262.70.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00008__snr0__cough_ALA_000347_oldv1_rank075_p0.679_src345.50-346.50_clip345.50-346.50__noise_ALA_E_2_2020-09-30_00-21-48_316__rank012__p0.929__304.70-306.10.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank075_p0.679_src345.50-346.50_clip345.50-346.50.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\pig_whistle_squeal\ALA_E_2_2020-09-30_00-21-48_316__rank012__p0.929__304.70-306.10.wav,0.0
C:\py\pigsound\pig-sound-classification\data\augmented\round4_noise_mix_v2\cough\mix_00009__snr0__cough_ALA_000347_oldv1_rank046_p0.733_src170.60-171.60_clip170.60-171.60__noise_ALA_E_2_2020-09-30_00-27-48_845__rank006__p0.779__171.50-172.90.wav,cough,noise_mixed_cough,C:\py\pigsound\pig-sound-classification\det_round1_clips\cough_clean\ALA_000347_oldv1_rank046_p0.733_src170.60-171.60_clip170.60-171.60.wav,C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\other_clean\pig_whistle_squeal\ALA_E_2_2020-09-30_00-27-48_845__rank006__p0.779__171.50-172.90.wav,0.0
