filepath,label,source
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\1120-2.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10723.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\NMBUNMBUBarrenPair7barrenTrial2LFm017.wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14446.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\1149-2.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_11643.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\IASPIASPBacktests08p0602hfmed40.wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_06621.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02499.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\IASPIASPCasFixs36p02casfix004.wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_11566.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\external_pig_other_reviewed\pig_grunt_oink\rank277_pNA_soundwel_NMBUNMBUBarrenPair10barrenTrial1LFm015notsure.wav,other,reviewed_pig_grunt_oink
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\915-2.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\IASPIASPShamFixs48p09shamfix003.wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external_pig_other_reviewed\pig_grunt_oink\rank197_pNA_soundwel_NMBUNMBUBarrenPair7barrenTrial2LFs002.wav,other,reviewed_pig_grunt_oink
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_01533.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\219-0.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02691.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10927.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\ETHZETHZPositivePositivepig3417.wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_01540.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\NMBUNMBUTransit (186).wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\549-2.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\1660-3.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_17981.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\IASPIASPCasFixs47p10casfix010.wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_13664.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10565.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\IASPIASPCrushingCrushSow56Pig12.wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_04064.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\external_pig_other_reviewed\pig_grunt_oink\rank066_pNA_soundwel_NMBUNMBUBarrenPair2barrenTrail1LFs002.wav,other,reviewed_pig_grunt_oink
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\790-2.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_05370.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_06153.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\external_pig_other_reviewed\pig_grunt_oink\rank216_pNA_soundwel_NMBUNMBUBarrenPair4barrenTrial3LFm009notsure.wav,other,reviewed_pig_grunt_oink
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_01998.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_13249.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\NMBUNMBUTransit (436).wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_13940.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\external_pig_other_reviewed\pig_grunt_oink\rank030_pNA_soundwel_NMBUNMBUBarrenPair16barrenTrial1LFsdouble007.wav,other,reviewed_pig_grunt_oink
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\215-0.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10327.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_11804.wav,cough,korea_abdominal_cough
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\717-2.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\raw\wu_pig_speech\659-2.wav,other,wu_pig_speech_other
C:\py\pigsound\pig-sound-classification\data\raw\soundwel\IASPIASPShortPr99Sele09Na3min13.wav,other,soundwel_pig_vocal_other
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10938.wav,cough,korea_dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09977.wav,cough,korea_dry_cough
