"filepath","label"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other_clean\ALA_000347_rank015_p0.891_src217.90-218.90_clip217.90-218.90.wav","other"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other_clean\ALA_000347_v2_rank038_p0.770_src342.40-343.40_clip342.40-343.40.wav","other"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other_clean\ALA_000347_oldv1_rank012_p0.953_src107.30-108.30_clip107.30-108.30.wav","other"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other_clean\ALA_000347_rank043_p0.779_src127.00-128.00_clip127.00-128.00.wav","other"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other_clean\ALA_000347_rank069_p0.737_src220.20-221.20_clip220.20-221.20.wav","other"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_clean\ALA_000347_oldv1_rank046_p0.832_src281.90-282.90_clip281.90-282.90.wav","cough"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_clean\ALA_000347_oldv1_rank051_p0.788_src344.20-345.20_clip344.20-345.20.wav","cough"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other_clean\ALA_000347_v2_rank024_p0.801_src178.00-179.00_clip178.00-179.00.wav","other"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_clean\sample01_rank008_p0.932_src193.90-194.90_clip193.90-194.90.wav","cough"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other_clean\ALA_000347_v2_rank015_p0.878_src317.10-318.10_clip317.10-318.10.wav","other"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other_clean\ALA_000347_rank026_p0.832_src148.20-149.20_clip148.20-149.20.wav","other"
"C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_clean\ALA_000347_rank013_p0.902_src271.60-272.60_clip271.60-272.60.wav","cough"
