filepath,label,source,subtype
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_08706.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_13435.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_17323.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_07276.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09702.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_08883.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_12336.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09000.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_17354.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_08633.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_08253.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14826.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10932.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02493.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_17238.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_13900.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_08265.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14482.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02360.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02976.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14445.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02369.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14599.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02317.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09984.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_15720.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_08261.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02542.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10854.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_17172.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14455.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02267.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_12117.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_06149.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_05932.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_13626.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_05723.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09107.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10152.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_06836.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_02294.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09532.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_06209.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_12410.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14921.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14744.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_05961.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_13830.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_17198.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_14828.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09820.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_10367.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_17086.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09002.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_07145.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_08294.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09451.wav,cough,korea,dry_cough
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_11595.wav,cough,korea,dry_cough
