filepath,label,error
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_01208.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_06977.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_01238.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_01650.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_02866.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_17455.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_01779.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_00383.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_15017.wav,dry_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_11544.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_11543.wav,dry_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_00334.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_03075.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_16390.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_11541.wav,dry_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\abdominal_cough\train_abdominal_07040.wav,abdominal_cough,RuntimeError('zero-length audio')
C:\py\pigsound\pig-sound-classification\data\external\korea_raw\dry_cough\train_dry_09247.wav,dry_cough,RuntimeError('zero-length audio')
