filepath,label
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank002_p0.949_src99.70-100.70_clip99.70-100.70.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank002_p0.957_src104.40-105.40_clip104.40-105.40.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank003_p0.956_src100.70-101.70_clip100.70-101.70.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank004_p0.940_src354.30-355.30_clip354.30-355.30.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank005_p0.949_src354.30-355.30_clip354.30-355.30.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank007_p0.930_src98.00-99.00_clip98.00-99.00.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank008_p0.902_src271.60-272.60_clip271.60-272.60.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank011_p0.884_src280.80-281.80_clip280.80-281.80.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank011_p0.912_src280.90-281.90_clip280.90-281.90.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank012_p0.911_src271.60-272.60_clip271.60-272.60.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank014_p0.853_src274.80-275.80_clip274.80-275.80.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank035_p0.773_src352.90-353.90_clip352.90-353.90.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough\ALA_000347_v2_rank039_p0.780_src4.00-5.00_clip4.00-5.00.wav,cough
