filepath,label
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank001_p0.955_src105.20-106.20_clip105.20-106.20.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank005_p0.925_src184.80-185.80_clip184.80-185.80.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank006_p0.923_src287.70-288.70_clip287.70-288.70.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank009_p0.897_src135.60-136.60_clip135.60-136.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank010_p0.891_src217.90-218.90_clip217.90-218.90.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank010_p0.913_src135.50-136.50_clip135.50-136.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank013_p0.855_src212.50-213.50_clip212.50-213.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank013_p0.894_src217.80-218.80_clip217.80-218.80.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank015_p0.878_src317.10-318.10_clip317.10-318.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank016_p0.847_src173.00-174.00_clip173.00-174.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank016_p0.871_src212.60-213.60_clip212.60-213.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank017_p0.846_src205.50-206.50_clip205.50-206.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank017_p0.862_src173.00-174.00_clip173.00-174.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank018_p0.841_src30.80-31.80_clip30.80-31.80.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank018_p0.860_src274.70-275.70_clip274.70-275.70.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank019_p0.832_src148.20-149.20_clip148.20-149.20.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank019_p0.851_src205.50-206.50_clip205.50-206.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank020_p0.831_src190.80-191.80_clip190.80-191.80.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank021_p0.824_src335.10-336.10_clip335.10-336.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank021_p0.835_src148.10-149.10_clip148.10-149.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank022_p0.812_src140.60-141.60_clip140.60-141.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank022_p0.833_src335.10-336.10_clip335.10-336.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank023_p0.831_src307.60-308.60_clip307.60-308.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank024_p0.801_src178.00-179.00_clip178.00-179.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank024_p0.823_src127.00-128.00_clip127.00-128.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank025_p0.801_src307.60-308.60_clip307.60-308.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank025_p0.823_src140.30-141.30_clip140.30-141.30.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank026_p0.822_src342.40-343.40_clip342.40-343.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank027_p0.793_src111.00-112.00_clip111.00-112.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank027_p0.820_src209.10-210.10_clip209.10-210.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank028_p0.793_src255.20-256.20_clip255.20-256.20.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank028_p0.810_src165.90-166.90_clip165.90-166.90.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank029_p0.783_src193.60-194.60_clip193.60-194.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank029_p0.808_src258.30-259.30_clip258.30-259.30.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank030_p0.780_src246.10-247.10_clip246.10-247.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank030_p0.807_src255.10-256.10_clip255.10-256.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank031_p0.779_src127.00-128.00_clip127.00-128.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank031_p0.806_src110.80-111.80_clip110.80-111.80.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank032_p0.802_src178.10-179.10_clip178.10-179.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank033_p0.797_src163.10-164.10_clip163.10-164.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank034_p0.773_src258.40-259.40_clip258.40-259.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank034_p0.793_src268.30-269.30_clip268.30-269.30.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank035_p0.792_src246.00-247.00_clip246.00-247.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank036_p0.771_src209.20-210.20_clip209.20-210.20.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank036_p0.792_src193.50-194.50_clip193.50-194.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank037_p0.771_src166.00-167.00_clip166.00-167.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank037_p0.783_src132.40-133.40_clip132.40-133.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank038_p0.770_src342.40-343.40_clip342.40-343.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank039_p0.770_src132.40-133.40_clip132.40-133.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank040_p0.764_src163.10-164.10_clip163.10-164.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\other\ALA_000347_v2_rank040_p0.778_src145.40-146.40_clip145.40-146.40.wav,other
