filepath,label
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank003_p0.979_src104.30-105.30_clip104.30-105.30.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank006_p0.973_src354.40-355.40_clip354.40-355.40.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank008_p0.962_src28.70-29.70_clip28.70-29.70.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank010_p0.957_src287.30-288.30_clip287.30-288.30.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank015_p0.946_src97.40-98.40_clip97.40-98.40.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank038_p0.869_src277.90-278.90_clip277.90-278.90.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank049_p0.809_src285.20-286.20_clip285.20-286.20.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank056_p0.748_src302.70-303.70_clip302.70-303.70.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank062_p0.717_src272.90-273.90_clip272.90-273.90.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_oldv1_rank077_p0.654_src284.40-285.40_clip284.40-285.40.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_rank007_p0.928_src104.30-105.30_clip104.30-105.30.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_rank016_p0.886_src286.80-287.80_clip286.80-287.80.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_rank031_p0.809_src28.40-29.40_clip28.40-29.40.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_rank032_p0.808_src317.10-318.10_clip317.10-318.10.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_rank044_p0.777_src277.30-278.30_clip277.30-278.30.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_rank048_p0.773_src352.90-353.90_clip352.90-353.90.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_rank072_p0.728_src270.80-271.80_clip270.80-271.80.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_rank078_p0.720_src236.20-237.20_clip236.20-237.20.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_v2_rank012_p0.874_src289.30-290.30_clip289.30-290.30.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_v2_rank033_p0.775_src4.10-5.10_clip4.10-5.10.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\ALA_000347_v2_rank038_p0.781_src277.20-278.20_clip277.20-278.20.wav,cough
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\cough_mixed\sample01_rank025_p0.769_src250.90-251.90_clip250.90-251.90.wav,cough
