filepath,label
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_oldv1_rank053_p0.787_src274.70-275.70_clip274.70-275.70.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_rank003_p0.949_src107.50-108.50_clip107.50-108.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_rank014_p0.897_src135.60-136.60_clip135.60-136.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_rank034_p0.801_src178.00-179.00_clip178.00-179.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_rank037_p0.795_src146.50-147.50_clip146.50-147.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_rank068_p0.738_src184.00-185.00_clip184.00-185.00.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_rank079_p0.716_src102.90-103.90_clip102.90-103.90.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank001_p0.959_src107.40-108.40_clip107.40-108.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank003_p0.946_src29.20-30.20_clip29.20-30.20.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank004_p0.950_src29.10-30.10_clip29.10-30.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank006_p0.942_src184.70-185.70_clip184.70-185.70.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank007_p0.915_src26.40-27.40_clip26.40-27.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank008_p0.927_src287.60-288.60_clip287.60-288.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank009_p0.917_src26.20-27.20_clip26.20-27.20.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank014_p0.880_src201.60-202.60_clip201.60-202.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank015_p0.848_src201.60-202.60_clip201.60-202.60.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank020_p0.838_src190.70-191.70_clip190.70-191.70.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank023_p0.808_src317.10-318.10_clip317.10-318.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank026_p0.795_src146.50-147.50_clip146.50-147.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\ALA_000347_v2_rank032_p0.777_src277.30-278.30_clip277.30-278.30.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank002_p0.984_src95.80-96.80_clip95.80-96.80.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank010_p0.908_src78.80-79.80_clip78.80-79.80.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank013_p0.890_src23.70-24.70_clip23.70-24.70.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank014_p0.889_src293.40-294.40_clip293.40-294.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank015_p0.883_src147.50-148.50_clip147.50-148.50.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank016_p0.862_src1.90-2.90_clip1.90-2.90.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank017_p0.853_src102.90-103.90_clip102.90-103.90.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank018_p0.845_src285.40-286.40_clip285.40-286.40.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank019_p0.841_src171.90-172.90_clip171.90-172.90.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank020_p0.834_src158.20-159.20_clip158.20-159.20.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank022_p0.824_src32.10-33.10_clip32.10-33.10.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank023_p0.791_src49.80-50.80_clip49.80-50.80.wav,other
C:\py\pigsound\pig-sound-classification\det_round1_clips\ALA_000347_v2\uncertain\sample01_rank026_p0.679_src294.60-295.60_clip294.60-295.60.wav,other
