frame_idx,start_s,end_s,prob_cough,prob_cough_smooth
0,0.0,1.0,0.7880947589874268,0.7880947589874268
1,0.1,1.1,0.6228645443916321,0.6228645443916321
2,0.2,1.2,0.6588277220726013,0.6588277220726013
3,0.3,1.3,0.6389666795730591,0.6389666795730591
4,0.4,1.4,0.6300000548362732,0.6300000548362732
5,0.5,1.5,0.6418128609657288,0.6418128609657288
6,0.6,1.6,0.6629467010498047,0.6629467010498047
7,0.7,1.7,0.735122799873352,0.735122799873352
8,0.8,1.8,0.7352138757705688,0.7352138757705688
9,0.9,1.9,0.7027611136436462,0.7027611136436462
10,1.0,2.0,0.73862224817276,0.73862224817276
11,1.1,2.1,0.6674557328224182,0.6674557328224182
12,1.2,2.2,0.5799350142478943,0.5799350142478943
13,1.3,2.3,0.5886333584785461,0.5886333584785461
14,1.4,2.4,0.5419448614120483,0.5419448614120483
15,1.5,2.5,0.5457260608673096,0.5457260608673096
16,1.6,2.6,0.8666410446166992,0.8666410446166992
17,1.7,2.7,0.8725951313972473,0.8725951313972473
18,1.8,2.8,0.8133347630500793,0.8133347630500793
19,1.9,2.9,0.8176721930503845,0.8176721930503845
20,2.0,3.0,0.7993931770324707,0.7993931770324707
21,2.1,3.1,0.797784686088562,0.797784686088562
22,2.2,3.2,0.7470506429672241,0.7470506429672241
23,2.3,3.3,0.7582378387451172,0.7582378387451172
24,2.4,3.4,0.7361164689064026,0.7361164689064026
25,2.5,3.5,0.6511102914810181,0.6511102914810181
26,2.6,3.6,0.6376684904098511,0.6376684904098511
27,2.7,3.7,0.6284511089324951,0.6284511089324951
28,2.8,3.8,0.6568055152893066,0.6568055152893066
29,2.9,3.9,0.6803781390190125,0.6803781390190125
30,3.0,4.0,0.6557818651199341,0.6557818651199341
31,3.1,4.1,0.6484194993972778,0.6484194993972778
32,3.2,4.2,0.6172701120376587,0.6172701120376587
33,3.3,4.3,0.5322675704956055,0.5322675704956055
34,3.4,4.4,0.5446643829345703,0.5446643829345703
35,3.5,4.5,0.5079060792922974,0.5079060792922974
36,3.6,4.6,0.5749797821044922,0.5749797821044922
37,3.7,4.7,0.6078320741653442,0.6078320741653442
38,3.8,4.8,0.6230295896530151,0.6230295896530151
39,3.9,4.9,0.5570448040962219,0.5570448040962219
40,4.0,5.0,0.4903106987476349,0.4903106987476349
41,4.1,5.1,0.514854907989502,0.514854907989502
42,4.2,5.2,0.522552490234375,0.522552490234375
43,4.3,5.3,0.5902472734451294,0.5902472734451294
44,4.4,5.4,0.5936394929885864,0.5936394929885864
45,4.5,5.5,0.5872974395751953,0.5872974395751953
46,4.6,5.6,0.6106528639793396,0.6106528639793396
47,4.7,5.7,0.6396896243095398,0.6396896243095398
48,4.8,5.8,0.6343531012535095,0.6343531012535095
49,4.9,5.9,0.6047943830490112,0.6047943830490112
50,5.0,6.0,0.8452010750770569,0.8452010750770569
51,5.1,6.1,0.8731787204742432,0.8731787204742432
52,5.2,6.2,0.846341073513031,0.846341073513031
53,5.3,6.3,0.8251922130584717,0.8251922130584717
54,5.4,6.4,0.8211994171142578,0.8211994171142578
55,5.5,6.5,0.7942236661911011,0.7942236661911011
56,5.6,6.6,0.7508691549301147,0.7508691549301147
57,5.7,6.7,0.7395886182785034,0.7395886182785034
58,5.8,6.8,0.6593360304832458,0.6593360304832458
59,5.9,6.9,0.6088466644287109,0.6088466644287109
60,6.0,7.0,0.6397610902786255,0.6397610902786255
61,6.1,7.1,0.6477081179618835,0.6477081179618835
62,6.2,7.2,0.6676077842712402,0.6676077842712402
63,6.3,7.3,0.6381292343139648,0.6381292343139648
64,6.4,7.4,0.6178834438323975,0.6178834438323975
65,6.5,7.5,0.6331009864807129,0.6331009864807129
66,6.6,7.6,0.6282560229301453,0.6282560229301453
67,6.7,7.7,0.624068558216095,0.624068558216095
68,6.8,7.8,0.625173032283783,0.625173032283783
69,6.9,7.9,0.6497080326080322,0.6497080326080322
70,7.0,8.0,0.6013928651809692,0.6013928651809692
71,7.1,8.1,0.6384623646736145,0.6384623646736145
72,7.2,8.2,0.7408326864242554,0.7408326864242554
73,7.3,8.3,0.7714371681213379,0.7714371681213379
74,7.4,8.4,0.8030276894569397,0.8030276894569397
75,7.5,8.5,0.7683514952659607,0.7683514952659607
76,7.6,8.6,0.7739119529724121,0.7739119529724121
77,7.7,8.7,0.7580510377883911,0.7580510377883911
78,7.8,8.8,0.6391584277153015,0.6391584277153015
79,7.9,8.9,0.6387506723403931,0.6387506723403931
80,8.0,9.0,0.5624838471412659,0.5624838471412659
81,8.1,9.1,0.6102252006530762,0.6102252006530762
82,8.2,9.2,0.609755277633667,0.609755277633667
83,8.3,9.3,0.6702538728713989,0.6702538728713989
84,8.4,9.4,0.6676123738288879,0.6676123738288879
85,8.5,9.5,0.6650903820991516,0.6650903820991516
86,8.6,9.6,0.610117495059967,0.610117495059967
87,8.7,9.7,0.6356147527694702,0.6356147527694702
