rank,source_wav,frame_csv,source_start_s,source_end_s,center_s,clip_start_s,clip_end_s,prob_cough,out_wav
1,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,203.8,204.8,204.3,203.8,204.8,0.9258021116256714,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank001_p0.926_src203.80-204.80_clip203.80-204.80.wav
2,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,200.5,201.5,201.0,200.5,201.5,0.9155740141868592,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank002_p0.916_src200.50-201.50_clip200.50-201.50.wav
3,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,205.7,206.7,206.2,205.7,206.7,0.9065046310424804,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank003_p0.907_src205.70-206.70_clip205.70-206.70.wav
4,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,202.6,203.6,203.1,202.6,203.6,0.901642918586731,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank004_p0.902_src202.60-203.60_clip202.60-203.60.wav
5,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,38.3,39.3,38.8,38.3,39.3,0.8995498418807983,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank005_p0.900_src38.30-39.30_clip38.30-39.30.wav
6,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,293.8,294.8,294.3,293.8,294.8,0.8942664265632629,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank006_p0.894_src293.80-294.80_clip293.80-294.80.wav
7,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,204.6,205.6,205.1,204.6,205.6,0.88175368309021,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank007_p0.882_src204.60-205.60_clip204.60-205.60.wav
8,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,96.9,97.9,97.4,96.9,97.9,0.8808606863021851,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank008_p0.881_src96.90-97.90_clip96.90-97.90.wav
9,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,172.2,173.2,172.7,172.2,173.2,0.8776935338973999,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank009_p0.878_src172.20-173.20_clip172.20-173.20.wav
10,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,294.6,295.6,295.1,294.6,295.6,0.8773074150085449,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank010_p0.877_src294.60-295.60_clip294.60-295.60.wav
11,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,39.1,40.1,39.6,39.1,40.1,0.877006471157074,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank011_p0.877_src39.10-40.10_clip39.10-40.10.wav
12,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,5.1,6.1,5.6,5.1,6.1,0.8731787204742432,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank012_p0.873_src5.10-6.10_clip5.10-6.10.wav
13,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,1.7,2.7,2.2,1.7000000000000002,2.7,0.8725951313972473,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank013_p0.873_src1.70-2.70_clip1.70-2.70.wav
14,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,157.5,158.5,158.0,157.5,158.5,0.8596539497375488,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank014_p0.860_src157.50-158.50_clip157.50-158.50.wav
15,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,276.1,277.1,276.6,276.1,277.1,0.8506839275360107,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank015_p0.851_src276.10-277.10_clip276.10-277.10.wav
16,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,287.0,288.0,287.5,287.0,288.0,0.8373353481292725,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank016_p0.837_src287.00-288.00_clip287.00-288.00.wav
