rank,source_wav,frame_csv,source_start_s,source_end_s,center_s,clip_start_s,clip_end_s,prob_cough,out_wav
1,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,249.7,250.7,250.2,249.7,250.7,0.9714603,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank001_p0.971_src249.70-250.70_clip249.70-250.70.wav
2,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,137.6,138.6,138.1,137.6,138.6,0.96503603,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank002_p0.965_src137.60-138.60_clip137.60-138.60.wav
3,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,318.2,319.2,318.7,318.2,319.2,0.9395375,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank003_p0.940_src318.20-319.20_clip318.20-319.20.wav
4,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,251.7,252.7,252.2,251.7,252.7,0.93333507,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank004_p0.933_src251.70-252.70_clip251.70-252.70.wav
5,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,96.9,97.9,97.4,96.9,97.9,0.92679185,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank005_p0.927_src96.90-97.90_clip96.90-97.90.wav
6,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,210.0,211.0,210.5,210.0,211.0,0.8986428,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank006_p0.899_src210.00-211.00_clip210.00-211.00.wav
7,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,240.1,241.1,240.6,240.1,241.1,0.857273,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank007_p0.857_src240.10-241.10_clip240.10-241.10.wav
8,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,292.3,293.3,292.8,292.3,293.3,0.7413466,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank008_p0.741_src292.30-293.30_clip292.30-293.30.wav
9,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,57.7,58.7,58.2,57.7,58.7,0.68465394,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank009_p0.685_src57.70-58.70_clip57.70-58.70.wav
10,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,229.0,230.0,229.5,229.0,230.0,0.68236685,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank010_p0.682_src229.00-230.00_clip229.00-230.00.wav
11,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_01-45-54_312.wav,C:\py\pigsound\pig-sound-classification\det_round2\sample01_frames.csv,141.6,142.6,142.1,141.6,142.6,0.6529578,C:\py\pigsound\pig-sound-classification\det_round2_clips\sample01\sample01_rank011_p0.653_src141.60-142.60_clip141.60-142.60.wav
