clip_path,source_wav,event_csv,start_s,end_s,dur_s,max_prob,mean_prob,rank_in_file
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank001__p1.000__103.30-105.80.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,103.3,105.8,2.5,0.999803,0.997796,1
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank002__p1.000__99.00-102.30.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,99.0,102.3,3.3,0.999519,0.979483,2
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank003__p0.999__96.50-99.50.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,96.5,99.5,3.0,0.998803,0.96061,3
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank004__p0.998__353.60-356.80.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,353.6,356.8,3.2,0.997558,0.924806,4
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank005__p0.996__106.70-109.50.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,106.7,109.5,2.8,0.996202,0.959762,5
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank006__p0.995__302.30-305.50.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,302.3,305.5,3.2,0.994677,0.876393,6
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank007__p0.990__96.00-97.70.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,96.0,97.7,1.7,0.990087,0.93352,7
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank008__p0.990__270.90-272.80.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,270.9,272.8,1.9,0.989886,0.949509,8
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank009__p0.989__105.30-107.20.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,105.3,107.2,1.9,0.989457,0.919821,9
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank010__p0.988__285.80-288.60.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,285.8,288.6,2.8,0.988471,0.909333,10
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank011__p0.987__217.80-219.90.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,217.8,219.9,2.1,0.986635,0.896317,11
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank012__p0.986__281.50-283.40.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,281.5,283.4,1.9,0.985566,0.902589,12
C:\py\pigsound\pig-sound-classification\det_round4_clips\candidates\ALA_E_2_2020-09-29_23-57-46_617__rank013__p0.985__200.80-202.70.wav,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-29_23-57-46_617.wav,C:\py\pigsound\pig-sound-classification\det_round4\ALA_E_2_2020-09-29_23-57-46_617_events.csv,200.8,202.7,1.9,0.985274,0.910837,13
