parameter,value,count,n_runs,mean,std,min,max
softmax_temperature,0.5,4,25,0.8,0.1767766952966369,0.5,1.0
softmax_temperature,0.75,12,25,0.8,0.1767766952966369,0.5,1.0
softmax_temperature,1.0,9,25,0.8,0.1767766952966369,0.5,1.0
main_prototype_temperature,0.03,2,25,0.0696,0.0196807858921673,0.03,0.1
main_prototype_temperature,0.05,4,25,0.0696,0.0196807858921673,0.03,0.1
main_prototype_temperature,0.07,14,25,0.0696,0.0196807858921673,0.03,0.1
main_prototype_temperature,0.1,5,25,0.0696,0.0196807858921673,0.03,0.1
hierarchical_prototype_temperature,0.03,2,25,0.0696,0.0337243729865113,0.03,0.2
hierarchical_prototype_temperature,0.05,9,25,0.0696,0.0337243729865113,0.03,0.2
hierarchical_prototype_temperature,0.07,9,25,0.0696,0.0337243729865113,0.03,0.2
hierarchical_prototype_temperature,0.1,4,25,0.0696,0.0337243729865113,0.03,0.2
hierarchical_prototype_temperature,0.2,1,25,0.0696,0.0337243729865113,0.03,0.2
hierarchy_penalty,0.85,1,25,0.994,0.03,0.85,1.0
hierarchy_penalty,1.0,24,25,0.994,0.03,0.85,1.0
fusion_alpha,0.0,3,25,0.77,0.3455068740271312,0.0,1.0
fusion_alpha,0.25,1,25,0.77,0.3455068740271312,0.0,1.0
fusion_alpha,0.5,1,25,0.77,0.3455068740271312,0.0,1.0
fusion_alpha,0.75,6,25,0.77,0.3455068740271312,0.0,1.0
fusion_alpha,1.0,14,25,0.77,0.3455068740271312,0.0,1.0
fusion_kind,mixed,8,25,,,,
fusion_kind,pure_prototype,3,25,,,,
fusion_kind,pure_softmax,14,25,,,,
global_rejection_threshold,0.5853458642959595,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.6114749908447266,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.6116796731948853,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.6510642766952515,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.6666757464408875,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.6849985718727112,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.6914087533950806,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.6942673921585083,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.7005351781845093,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.7067743539810181,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.7210639715194702,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.751006543636322,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.7759732007980347,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.7789553999900818,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.8037421107292175,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.8159000873565674,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.8171396851539612,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.8408849239349365,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.8457677364349365,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.8532170057296753,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.8779493570327759,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.9030219316482544,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.9238653182983398,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.9307669401168823,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
global_rejection_threshold,0.9689763188362122,1,25,0.7684982132911682,0.1083026911572844,0.5853458642959595,0.9689763188362122
per_class_rejection_threshold:cough,0.9970130920410156,1,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:cough,0.9998742938041687,1,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
