noise_environment,snr_db,condition_family,method,n,mean_aurc,mean_augrc,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95
DWASHING,0.0,,fused,25,0.2138217298649908,0.141734693877551,0.3114074074074074,0.3018421052631578,0.3025
DWASHING,0.0,,hierarchical,25,0.2360268497530636,0.1518310657596371,0.3146666666666666,0.303421052631579,0.30375
DWASHING,0.0,,prototype,25,0.2358249153882669,0.1514519557823129,0.3114074074074074,0.2978947368421052,0.30225
DWASHING,0.0,,raw_softmax,25,0.2055945387038844,0.1379662698412698,0.3128888888888889,0.303157894736842,0.304
DWASHING,10.0,,fused,25,0.1819446301565776,0.1247208049886621,0.2954074074074074,0.2823684210526316,0.28425
DWASHING,10.0,,hierarchical,25,0.2228143860131835,0.1429287131519274,0.2983703703703704,0.2813157894736842,0.28275
DWASHING,10.0,,prototype,25,0.2205697489733631,0.1420982142857142,0.2965925925925926,0.28,0.28325
DWASHING,10.0,,raw_softmax,25,0.1691948459975125,0.118968962585034,0.2939259259259259,0.2855263157894737,0.2875
DWASHING,20.0,,fused,25,0.1103851534891409,0.0801481009070294,0.205037037037037,0.211578947368421,0.21775
DWASHING,20.0,,hierarchical,25,0.1427628511654031,0.0955867346938775,0.2112592592592592,0.2055263157894737,0.21275
DWASHING,20.0,,prototype,25,0.1398365367292537,0.0942141439909297,0.2091851851851852,0.205,0.21125
DWASHING,20.0,,raw_softmax,25,0.1038266464575107,0.0767878401360544,0.2038518518518518,0.2128947368421052,0.2204999999999999
STRAFFIC,0.0,,fused,25,0.2182155985373781,0.1538711734693877,0.3848888888888889,0.423421052631579,0.43675
STRAFFIC,0.0,,hierarchical,25,0.2185966982269575,0.1551006235827664,0.392,0.4292105263157894,0.4437499999999999
STRAFFIC,0.0,,prototype,25,0.2179510449613463,0.154500425170068,0.3863703703703703,0.4221052631578947,0.4342499999999999
STRAFFIC,0.0,,raw_softmax,25,0.2247855667576119,0.1560211167800453,0.3893333333333333,0.4255263157894737,0.4379999999999999
STRAFFIC,10.0,,fused,25,0.2099868594462391,0.1428004535147392,0.3303703703703703,0.3236842105263157,0.3285
STRAFFIC,10.0,,hierarchical,25,0.2216535522398688,0.1491546201814059,0.3342222222222222,0.331578947368421,0.33525
STRAFFIC,10.0,,prototype,25,0.2215669910431356,0.1477161281179138,0.3262222222222222,0.323421052631579,0.3229999999999999
STRAFFIC,10.0,,raw_softmax,25,0.2084994162726737,0.1421520691609977,0.3327407407407407,0.3268421052631579,0.3314999999999999
STRAFFIC,20.0,,fused,25,0.2033791476986291,0.1374730725623582,0.3179259259259259,0.3002631578947368,0.29825
STRAFFIC,20.0,,hierarchical,25,0.2302093652845942,0.1497945011337868,0.3191111111111111,0.3002631578947368,0.2994999999999999
STRAFFIC,20.0,,prototype,25,0.2305785120285716,0.1495238095238095,0.317037037037037,0.2968421052631579,0.29875
STRAFFIC,20.0,,raw_softmax,25,0.1912681257166162,0.1322009637188208,0.3182222222222222,0.3021052631578947,0.301
TBUS,0.0,,fused,25,0.1920265338551656,0.1316744614512471,0.3122962962962963,0.3089473684210526,0.315
TBUS,0.0,,hierarchical,25,0.2159025507596865,0.1434353741496598,0.3185185185185185,0.3171052631578948,0.31975
TBUS,0.0,,prototype,25,0.2163700867624935,0.1427246315192744,0.312,0.3118421052631578,0.31325
TBUS,0.0,,raw_softmax,25,0.1858611725476222,0.1289980158730158,0.3131851851851852,0.3121052631578947,0.3185
TBUS,10.0,,fused,25,0.1842993934706205,0.1274914965986394,0.3111111111111111,0.2978947368421052,0.2965
TBUS,10.0,,hierarchical,25,0.2265514032457818,0.1467871315192743,0.3158518518518518,0.2971052631578947,0.296
TBUS,10.0,,prototype,25,0.2243670492736799,0.1457624716553288,0.3137777777777778,0.2955263157894737,0.2977499999999999
TBUS,10.0,,raw_softmax,25,0.1710751615715489,0.1214186507936507,0.3078518518518518,0.2989473684210526,0.29875
TBUS,20.0,,fused,25,0.1492098757440268,0.1062783446712018,0.2711111111111111,0.2697368421052631,0.2705
TBUS,20.0,,hierarchical,25,0.1953810598986659,0.1280605158730158,0.2811851851851851,0.2671052631578947,0.2695
TBUS,20.0,,prototype,25,0.1913714631546775,0.1262641723356009,0.2785185185185185,0.2649999999999999,0.26875
TBUS,20.0,,raw_softmax,25,0.1370198986676096,0.1004131235827664,0.2666666666666666,0.2692105263157895,0.27225
clean,clean,,fused,25,0.0045910901631061,0.0042098922902494,0.0059259259259259,0.0197368421052631,0.0307499999999999
clean,clean,,hierarchical,25,0.0045663485069474,0.0041404478458049,0.005037037037037,0.0181578947368421,0.0305
clean,clean,,prototype,25,0.0044934346061557,0.004094387755102,0.0053333333333333,0.016578947368421,0.0305
clean,clean,,raw_softmax,25,0.0049581356811467,0.0045344387755102,0.0068148148148148,0.0205263157894736,0.0325
ALL_NOISY,GROUP,all_noisy,fused,25,0.1848076580291965,0.1273547335600907,0.304395061728395,0.3021929824561403,0.3055555555555555
ALL_NOISY,GROUP,all_noisy,hierarchical,25,0.2122109685096894,0.1402976977828168,0.3094650205761317,0.3036257309941521,0.307
ALL_NOISY,GROUP,all_noisy,prototype,25,0.2109373720349765,0.1393617724867724,0.305679012345679,0.2997368421052631,0.3036111111111111
ALL_NOISY,GROUP,all_noisy,raw_softmax,25,0.1774583747436211,0.1238807791635172,0.3042962962962963,0.3040350877192982,0.308
MODERATE_NOISE,GROUP,moderate_noise,fused,25,0.1732008433342057,0.119818712207105,0.2884938271604938,0.2809210526315789,0.282625
MODERATE_NOISE,GROUP,moderate_noise,hierarchical,25,0.2065621029745829,0.135385369425548,0.2933333333333333,0.2804824561403508,0.282625
MODERATE_NOISE,GROUP,moderate_noise,prototype,25,0.2047150502004469,0.1342631566515495,0.2902222222222222,0.2776315789473684,0.2804583333333333
MODERATE_NOISE,GROUP,moderate_noise,raw_softmax,25,0.1634806824472453,0.1153236016628873,0.2872098765432099,0.2825877192982455,0.2852499999999999
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,fused,25,0.2080212874191781,0.142426776266062,0.3361975308641975,0.3447368421052632,0.3514166666666666
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,hierarchical,25,0.2235086995799025,0.1501223544973545,0.3417283950617284,0.3499122807017544,0.35575
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,prototype,25,0.2233820157040356,0.1495590041572184,0.3365925925925925,0.3439473684210526,0.3499166666666666
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,raw_softmax,25,0.2054137593363728,0.140995134164777,0.3384691358024691,0.3469298245614036,0.3534999999999999
