noise_environment,snr_db,fold,prototype_minus_raw_softmax,hierarchical_minus_raw_softmax,hierarchical_minus_prototype
ALL_NOISY,GROUP,0,0.0056847868316387,0.0027859813452711,-0.0028988054863675
ALL_NOISY,GROUP,1,0.0233448803773143,0.0176868504270549,-0.0056580299502593
ALL_NOISY,GROUP,2,0.0001963715841672,-0.0006244153656441,-0.0008207869498114
ALL_NOISY,GROUP,3,0.0021589498546255,0.0007217805823372,-0.0014371692722882
ALL_NOISY,GROUP,4,-0.0026099530952377,-0.007019902969192,-0.0044099498739543
MODERATE_NOISE,GROUP,0,0.0044302724333168,0.0032347667273286,-0.0011955057059881
MODERATE_NOISE,GROUP,1,0.0186377579627426,0.0182476555628294,-0.0003901023999132
MODERATE_NOISE,GROUP,2,0.0013286377679145,0.0011970005353679,-0.0001316372325466
MODERATE_NOISE,GROUP,3,0.0041556396168158,0.002313990990631,-0.0018416486261848
MODERATE_NOISE,GROUP,4,0.0020928156231753,-0.0002419052038129,-0.0023347208269882
EXTREME_STRESS,GROUP,0,0.0081938156282825,0.001888410581156,-0.0063054050471265
EXTREME_STRESS,GROUP,1,0.0327591252064572,0.0165652401555059,-0.0161938850509513
EXTREME_STRESS,GROUP,2,-0.0020681607833267,-0.0042672471676681,-0.0021990863843414
EXTREME_STRESS,GROUP,3,-0.0018344296697552,-0.0024626402342502,-0.000628210564495
EXTREME_STRESS,GROUP,4,-0.0120154905320635,-0.0205758984999503,-0.0085604079678868
