noise_environment,snr_db,condition_family,method,n,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95
DWASHING,0.0,,fused,25,0.9257142857142858,0.3011544127415299,0.3114074074074074,0.3018421052631578,0.3025
DWASHING,0.0,,hierarchical,25,0.9278571428571428,0.3041708196000374,0.3146666666666666,0.303421052631579,0.30375
DWASHING,0.0,,prototype,25,0.9278571428571428,0.300265350258603,0.3114074074074074,0.2978947368421052,0.30225
DWASHING,0.0,,raw_softmax,25,0.9257142857142856,0.3030125007423676,0.3128888888888889,0.303157894736842,0.304
DWASHING,10.0,,fused,25,0.926904761904762,0.2825245579212911,0.2954074074074074,0.2823684210526316,0.28425
DWASHING,10.0,,hierarchical,25,0.926904761904762,0.2826363633264532,0.2983703703703704,0.2813157894736842,0.28275
DWASHING,10.0,,prototype,25,0.9285714285714286,0.2799895079357429,0.2965925925925926,0.28,0.28325
DWASHING,10.0,,raw_softmax,25,0.9271428571428572,0.2835113434002019,0.2939259259259259,0.2855263157894737,0.2875
DWASHING,20.0,,fused,25,0.915,0.2116025411042445,0.205037037037037,0.211578947368421,0.21775
DWASHING,20.0,,hierarchical,25,0.9276190476190478,0.2061246363725741,0.2112592592592592,0.2055263157894737,0.21275
DWASHING,20.0,,prototype,25,0.9235714285714286,0.206166110860015,0.2091851851851852,0.205,0.21125
DWASHING,20.0,,raw_softmax,25,0.9138095238095238,0.2132436397097609,0.2038518518518518,0.2128947368421052,0.2204999999999999
STRAFFIC,0.0,,fused,25,0.8964285714285716,0.4143116628565055,0.3848888888888889,0.423421052631579,0.43675
STRAFFIC,0.0,,hierarchical,25,0.8952380952380952,0.4226824712187552,0.392,0.4292105263157894,0.4437499999999999
STRAFFIC,0.0,,prototype,25,0.8911904761904762,0.4109075383572728,0.3863703703703703,0.4221052631578947,0.4342499999999999
