noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_augrc,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean,condition_family
DWASHING,0.0,fused,25,0.6226266115895083,0.0177665215618691,0.692857142857143,0.7719047619047618,0.2764140444568225,0.582495698928833,2.715931935310364,0.2138217298649908,0.141734693877551,0.3114074074074074,0.3018421052631578,0.3025,0.9257142857142858,0.3011544127415299,0.3308593947279255,
DWASHING,0.0,hierarchical,25,0.6192655644096833,0.0174780564000615,0.6883333333333332,0.760952380952381,0.2772647733773504,0.5881663823127746,4.416167478561402,0.2360268497530636,0.1518310657596371,0.3146666666666666,0.303421052631579,0.30375,0.9278571428571428,0.3041708196000374,0.3347206498202819,
DWASHING,0.0,prototype,25,0.62194672571537,0.0196847446598138,0.6916666666666668,0.7590476190476191,0.2761425052228428,0.5819293856620789,4.242789545059204,0.2358249153882669,0.1514519557823129,0.3114074074074074,0.2978947368421052,0.30225,0.9278571428571428,0.300265350258603,0.3299056874431862,
DWASHING,0.0,raw_softmax,25,0.6185032797160929,0.0182297884482496,0.6890476190476191,0.7757142857142856,0.2642145057377361,0.577167980670929,1.9041830444335937,0.2055945387038844,0.1379662698412698,0.3128888888888889,0.303157894736842,0.304,0.9257142857142856,0.3030125007423676,0.3325463934930521,
DWASHING,10.0,fused,25,0.6423479444517564,0.0408812663484548,0.7090476190476191,0.7923809523809524,0.2592150812915393,0.5479941534996032,2.3213407039642333,0.1819446301565776,0.1247208049886621,0.2954074074074074,0.2823684210526316,0.28425,0.926904761904762,0.2825245579212911,0.3111380618656774,
DWASHING,10.0,hierarchical,25,0.6473963815858909,0.0431871673407436,0.7119047619047619,0.78,0.2596581612456413,0.548562980890274,3.9711845779418944,0.2228143860131835,0.1429287131519274,0.2983703703703704,0.2813157894736842,0.28275,0.926904761904762,0.2826363633264532,0.3065898326440743,
DWASHING,10.0,prototype,25,0.6456029332596606,0.0401032508903563,0.7097619047619048,0.7783333333333333,0.2570302998168128,0.5457153809070587,3.788210129737854,0.2205697489733631,0.1420982142857142,0.2965925925925926,0.28,0.28325,0.9285714285714286,0.2799895079357429,0.3062494798988956,
DWASHING,10.0,raw_softmax,25,0.6385273573330194,0.0391208248970726,0.7054761904761907,0.7961904761904762,0.2482339263459046,0.5404487800598144,1.660200479030609,0.1691948459975125,0.118968962585034,0.2939259259259259,0.2855263157894737,0.2875,0.9271428571428572,0.2835113434002019,0.3125223158761256,
DWASHING,20.0,fused,25,0.7475453067030007,0.0596367061811108,0.7735714285714286,0.8657142857142857,0.1927829973541554,0.4155185347795486,1.4588027238845824,0.1103851534891409,0.0801481009070294,0.205037037037037,0.211578947368421,0.21775,0.915,0.2116025411042445,0.2059406996144329,
DWASHING,20.0,hierarchical,25,0.7564988765789176,0.0567634669961973,0.7790476190476191,0.8526190476190476,0.1901462987278189,0.4106092208623886,2.559479832649231,0.1427628511654031,0.0955867346938775,0.2112592592592592,0.2055263157894737,0.21275,0.9276190476190478,0.2061246363725741,0.1974873376510477,
DWASHING,20.0,prototype,25,0.7558396700841334,0.0546946515869095,0.7783333333333333,0.8521428571428571,0.1885369909235409,0.4087311571836471,2.42231142282486,0.1398365367292537,0.0942141439909297,0.2091851851851852,0.205,0.21125,0.9235714285714286,0.206166110860015,0.1960127430744226,
DWASHING,20.0,raw_softmax,25,0.7441139248284587,0.0583549964418636,0.7702380952380952,0.8683333333333333,0.1759669161197684,0.4093844044208526,1.0933678436279295,0.1038266464575107,0.0767878401360544,0.2038518518518518,0.2128947368421052,0.2204999999999999,0.9138095238095238,0.2132436397097609,0.2069357483806863,
STRAFFIC,0.0,fused,25,0.4544923564297453,0.0632130618293125,0.5497619047619048,0.6852380952380952,0.3977403730650742,0.8133982610702515,3.6176806640625,0.2182155985373781,0.1538711734693877,0.3848888888888889,0.423421052631579,0.43675,0.8964285714285716,0.4143116628565055,0.4989936498876884,
STRAFFIC,0.0,hierarchical,25,0.4467323901229513,0.0665031966487567,0.5466666666666666,0.6995238095238097,0.400868732106118,0.8233857250213623,5.011006388664246,0.2185966982269575,0.1551006235827664,0.392,0.4292105263157894,0.4437499999999999,0.8952380952380952,0.4226824712187552,0.5072538241070138,
STRAFFIC,0.0,prototype,25,0.4590504257542015,0.0689340477348087,0.5557142857142857,0.7014285714285714,0.3899144398669401,0.8070089030265808,4.743028545379639,0.2179510449613463,0.154500425170068,0.3863703703703703,0.4221052631578947,0.4342499999999999,0.8911904761904762,0.4109075383572728,0.4928019874043546,
STRAFFIC,0.0,raw_softmax,25,0.4521837834934412,0.0627145646843749,0.549047619047619,0.6769047619047619,0.3787971749476023,0.7910824346542359,2.579412159919739,0.2247855667576119,0.1560211167800453,0.3893333333333333,0.4255263157894737,0.4379999999999999,0.8928571428571428,0.4121692933862931,0.4988658897157036,
STRAFFIC,10.0,fused,25,0.5951120581224292,0.0306625238257593,0.6642857142857143,0.750952380952381,0.2985135603376797,0.6219400238990783,3.0793129348754884,0.2099868594462391,0.1428004535147392,0.3303703703703703,0.3236842105263157,0.3285,0.9138095238095236,0.3257990277515455,0.3583739481950046,
STRAFFIC,10.0,hierarchical,25,0.5885829825776133,0.0262910033102044,0.6564285714285714,0.7502380952380951,0.2997544227114745,0.6314075851440429,4.922208261489868,0.2216535522398688,0.1491546201814059,0.3342222222222222,0.331578947368421,0.33525,0.9126190476190476,0.330236807048649,0.3654032316523519,
STRAFFIC,10.0,prototype,25,0.6001475992181531,0.0231153508102716,0.6695238095238096,0.7502380952380951,0.2914400050753639,0.6163040447235107,4.701151390075683,0.2215669910431356,0.1477161281179138,0.3262222222222222,0.323421052631579,0.3229999999999999,0.9164285714285716,0.3210036542418704,0.3517048139404031,
STRAFFIC,10.0,raw_softmax,25,0.5932904778426007,0.0338266073235713,0.6626190476190476,0.7504761904761905,0.2857844224146434,0.6160079264640808,2.1364460945129395,0.2084994162726737,0.1421520691609977,0.3327407407407407,0.3268421052631579,0.3314999999999999,0.9204761904761908,0.3303091418337855,0.3577591953665442,
STRAFFIC,20.0,fused,25,0.6219205057592077,0.0123495854585014,0.6954761904761905,0.7547619047619049,0.2771786013174624,0.5788358759880066,2.8910997438430788,0.2033791476986291,0.1374730725623582,0.3179259259259259,0.3002631578947368,0.29825,0.928095238095238,0.2985049910691971,0.3315655005582261,
STRAFFIC,20.0,hierarchical,25,0.6228939398319335,0.0126215225514095,0.6957142857142857,0.7528571428571428,0.2789064181560562,0.5809851360321044,4.843074531555176,0.2302093652845942,0.1497945011337868,0.3191111111111111,0.3002631578947368,0.2994999999999999,0.9297619047619048,0.3002335614398483,0.3310922743980318,
STRAFFIC,20.0,prototype,25,0.6231817644109334,0.0127085528348133,0.6966666666666669,0.7516666666666666,0.2723290630465462,0.5774033951759339,4.652335233688355,0.2305785120285716,0.1495238095238095,0.317037037037037,0.2968421052631579,0.29875,0.93,0.2972144852274453,0.3286706487476227,
STRAFFIC,20.0,raw_softmax,25,0.618836711988319,0.0153327484608618,0.691904761904762,0.7583333333333334,0.2635044181914556,0.5726648950576783,1.9810972118377683,0.1912681257166162,0.1322009637188208,0.3182222222222222,0.3021052631578947,0.301,0.9295238095238096,0.2996463504821092,0.3322129612208258,
TBUS,0.0,fused,25,0.6039875473351968,0.0185828895957702,0.6745238095238095,0.7583333333333333,0.282259271414507,0.5990652585029602,2.852932257652282,0.1920265338551656,0.1316744614512471,0.3122962962962963,0.3089473684210526,0.315,0.9157142857142856,0.3106876283514408,0.3494984589822369,
TBUS,0.0,hierarchical,25,0.6008707790687086,0.0183651106700611,0.670952380952381,0.7528571428571428,0.2868425335344813,0.6085277414321899,4.799259963035584,0.2159025507596865,0.1434353741496598,0.3185185185185185,0.3171052631578948,0.31975,0.9188095238095236,0.318135203409124,0.3531154351612566,
TBUS,0.0,prototype,25,0.6062037791406524,0.0145941450298097,0.6773809523809525,0.7519047619047619,0.2822389355585689,0.5994149494171143,4.610502691268921,0.2163700867624935,0.1427246315192744,0.312,0.3118421052631578,0.31325,0.9188095238095236,0.311907836581818,0.3456486340179038,
TBUS,0.0,raw_softmax,25,0.6014929514909332,0.0230017385401092,0.671904761904762,0.7592857142857143,0.2680461240453379,0.5901400208473205,1.9527263593673707,0.1858611725476222,0.1289980158730158,0.3131851851851852,0.3121052631578947,0.3185,0.9188095238095236,0.3134246025040104,0.3495567217182116,
TBUS,10.0,fused,25,0.6260763649553984,0.0148063248415442,0.6992857142857143,0.7635714285714286,0.2761616931642804,0.5710050868988037,2.658987579345703,0.1842993934706205,0.1274914965986394,0.3111111111111111,0.2978947368421052,0.2965,0.9273809523809524,0.2969102627294723,0.3274096413620354,
TBUS,10.0,hierarchical,25,0.6263293447061787,0.0139792832296531,0.6985714285714286,0.7564285714285713,0.2735719355089324,0.5737907552719116,4.651015810966491,0.2265514032457818,0.1467871315192743,0.3158518518518518,0.2971052631578947,0.296,0.9271428571428572,0.2977235171867821,0.3276568695237865,
TBUS,10.0,prototype,25,0.6257533485924603,0.0112501198664402,0.6985714285714286,0.755952380952381,0.2694412396635328,0.5715403914451599,4.460960283279419,0.2243670492736799,0.1457624716553288,0.3137777777777778,0.2955263157894737,0.2977499999999999,0.927142857142857,0.2958293708452856,0.3260990645660958,
TBUS,10.0,raw_softmax,25,0.6243545073482746,0.0159602512752305,0.6973809523809524,0.7676190476190478,0.257785877180951,0.5613690483570098,1.8194701194763183,0.1710751615715489,0.1214186507936507,0.3078518518518518,0.2989473684210526,0.29875,0.9285714285714284,0.2972931578588245,0.3266951658608703,
TBUS,20.0,fused,25,0.6664866406623925,0.0457157548393921,0.7233333333333333,0.8016666666666667,0.2469727593660354,0.5187735950946808,2.119457550048828,0.1492098757440268,0.1062783446712018,0.2711111111111111,0.2697368421052631,0.2705,0.9257142857142856,0.2687881608500858,0.2869993656550412,
TBUS,20.0,hierarchical,25,0.6713502944342923,0.0455745435559439,0.726190476190476,0.7902380952380952,0.2458709753694988,0.519802565574646,3.773240056037903,0.1953810598986659,0.1280605158730158,0.2811851851851851,0.2671052631578947,0.2695,0.9307142857142856,0.267750348539372,0.2826359197956729,
TBUS,20.0,prototype,25,0.6695988418994305,0.042312033684162,0.7242857142857143,0.788809523809524,0.2445310053655079,0.5179311060905456,3.5821282863616943,0.1913714631546775,0.1262641723356009,0.2785185185185185,0.2649999999999999,0.26875,0.927142857142857,0.2655971325753858,0.2822535712591257,
TBUS,20.0,raw_softmax,25,0.664227030039341,0.045530992324382,0.7207142857142856,0.8040476190476191,0.2290692836188134,0.5081028866767884,1.492354166507721,0.1370198986676096,0.1004131235827664,0.2666666666666666,0.2692105263157895,0.27225,0.923095238095238,0.2688641138388462,0.2868226431698037,
clean,clean,fused,25,0.953486006317434,0.0103425437412472,0.9535714285714286,1.0,0.0266273760937509,0.0724228343367576,0.1211486035585403,0.0045910901631061,0.0042098922902494,0.0059259259259259,0.0197368421052631,0.0307499999999999,0.9333333333333332,0.0254617614118127,0.0,
clean,clean,hierarchical,25,0.9539862142299652,0.0120037734771425,0.954047619047619,1.0,0.0306240824574515,0.0724496987462043,0.1273305615782737,0.0045663485069474,0.0041404478458049,0.005037037037037,0.0181578947368421,0.0305,0.9357142857142856,0.0241282788281779,0.0,
clean,clean,prototype,25,0.9518524131585562,0.0131041860877697,0.951904761904762,1.0,0.0261270215681621,0.070641983449459,0.1170549035072326,0.0044934346061557,0.004094387755102,0.0053333333333333,0.016578947368421,0.0305,0.9314285714285714,0.0229867252150338,0.0,
clean,clean,raw_softmax,25,0.9510496732091448,0.0123933138989099,0.9511904761904764,1.0,0.0306255363424619,0.0754345907270908,0.1260367563366889,0.0049581356811467,0.0045344387755102,0.0068148148148148,0.0205263157894736,0.0325,0.9349999999999998,0.0272358303098424,0.0,
ALL_NOISY,GROUP,fused,25,0.620066148445404,0.0214772660935659,0.6869047619047619,0.7716137566137565,0.2785820424186174,0.5832251654068629,2.6350606769985627,0.1848076580291965,0.1273547335600907,0.304395061728395,0.3021929824561403,0.3055555555555555,0.9194179894179896,0.3011425828194792,,all_noisy
ALL_NOISY,GROUP,hierarchical,25,0.6199911725906855,0.0223781708029763,0.6859788359788359,0.7661904761904762,0.2792093611930413,0.5872486769490772,4.3274041001002,0.2122109685096894,0.1402976977828168,0.3094650205761317,0.3036257309941521,0.307,0.9218518518518518,0.3032993031268439,,all_noisy
ALL_NOISY,GROUP,prototype,25,0.6230361208972217,0.0212522117004484,0.6891005291005292,0.7655026455026455,0.2746227205044062,0.5806643015146254,4.133713058630625,0.2109373720349765,0.1393617724867724,0.305679012345679,0.2997368421052631,0.3036111111111111,0.921190476190476,0.2987645540981599,,all_noisy
ALL_NOISY,GROUP,raw_softmax,25,0.6172811137867201,0.022972529288588,0.6842592592592592,0.772989417989418,0.2634891831780236,0.5740409308009677,1.8465841643015544,0.1774583747436211,0.1238807791635172,0.3042962962962963,0.3040350877192982,0.308,0.92,0.302386015972911,,all_noisy
MODERATE_NOISE,GROUP,fused,25,0.6499148034423641,0.0246721508954109,0.7108333333333334,0.7881746031746033,0.2584707821385255,0.5423445450266202,2.421500205993653,0.1732008433342057,0.119818712207105,0.2884938271604938,0.2809210526315789,0.282625,0.9228174603174604,0.2806882569043061,,moderate_noise
MODERATE_NOISE,GROUP,hierarchical,25,0.6521753032858044,0.0256862141121989,0.711309523809524,0.7803968253968254,0.257984701953237,0.5441930406292279,4.120033845106761,0.2065621029745829,0.135385369425548,0.2933333333333333,0.2804824561403508,0.282625,0.9257936507936508,0.2807842056522798,,moderate_noise
MODERATE_NOISE,GROUP,prototype,25,0.6533540262441285,0.0233203655508798,0.7128571428571427,0.7795238095238096,0.2538847673152174,0.539604245920976,3.934516124327978,0.2047150502004469,0.1342631566515495,0.2902222222222222,0.2776315789473684,0.2804583333333333,0.9254761904761908,0.2776333769476242,,moderate_noise
MODERATE_NOISE,GROUP,raw_softmax,25,0.6472250015633355,0.0254257601714179,0.7080555555555554,0.7908333333333333,0.2433908073119227,0.5346629901727041,1.6971559858322145,0.1634806824472453,0.1153236016628873,0.2872098765432099,0.2825877192982455,0.2852499999999999,0.9237698412698414,0.282144624520588,,moderate_noise
EXTREME_STRESS,GROUP,fused,25,0.5603688384514834,0.0272773692805187,0.6390476190476191,0.7384920634920634,0.3188045629788013,0.6649864061673483,3.062181619008382,0.2080212874191781,0.142426776266062,0.3361975308641975,0.3447368421052632,0.3514166666666666,0.9126190476190478,0.3420512346498254,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,hierarchical,25,0.5556229112004477,0.0284250618848062,0.6353174603174603,0.7377777777777778,0.3216586796726499,0.6733599495887757,4.7421446100870766,0.2235086995799025,0.1501223544973545,0.3417283950617284,0.3499122807017544,0.35575,0.913968253968254,0.3483294980759722,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,prototype,25,0.562400310203408,0.0283062347230575,0.6415873015873015,0.7374603174603175,0.3160986268827839,0.6627844127019246,4.532106927235921,0.2233820157040356,0.1495590041572184,0.3365925925925925,0.3439473684210526,0.3499166666666666,0.9126190476190476,0.3410269083992313,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,raw_softmax,25,0.557393338233489,0.0293107704066031,0.6366666666666667,0.7373015873015872,0.3036859349102255,0.6527968120574951,2.145440521240234,0.2054137593363728,0.140995134164777,0.3384691358024691,0.3469298245614036,0.3534999999999999,0.9124603174603172,0.342868798877557,,extreme simulated-noise stress condition
