comparison,baseline_stage,final_stage,fold,n_seeds,baseline_mean,final_mean,mean_delta,std_delta,wins,ties,losses
B1 - B0,B0,B1,0,5,0.9306516810431835,0.930481349144657,-0.00017033189852666553,0.021566116747672816,2,0,3
B1 - B0,B0,B1,1,5,0.9170304082548191,0.9462735467116007,0.02924313845678177,0.008712565089708472,5,0,0
B1 - B0,B0,B1,2,5,0.9340760527579841,0.9440004899773384,0.009924437219354409,0.0070898036683203994,5,0,0
B1 - B0,B0,B1,3,5,0.9283076551922269,0.9416887715208293,0.013381116328602371,0.015420648483427397,4,0,1
B1 - B0,B0,B1,4,5,0.9029665394332043,0.9737426342789786,0.07077609484577432,0.01305905263481714,5,0,0
B2 - B1,B1,B2,0,5,0.930481349144657,0.942648384099452,0.01216703495479512,0.013106460407950125,4,0,1
B2 - B1,B1,B2,1,5,0.9462735467116007,0.9389736169362728,-0.007299929775328118,0.011256880389258818,1,0,4
B2 - B1,B1,B2,2,5,0.9440004899773384,0.9535526838221869,0.009552193844848466,0.003264066438518668,5,0,0
B2 - B1,B1,B2,3,5,0.9416887715208293,0.9510548231840812,0.009366051663251796,0.0088011486357327,4,1,0
B2 - B1,B1,B2,4,5,0.9737426342789786,0.9690188580037316,-0.004723776275247005,0.014341698089513938,2,0,3
B3 - B2,B2,B3,0,5,0.942648384099452,0.941479753348912,-0.0011686307505400562,0.006552099698772412,2,2,1
B3 - B2,B2,B3,1,5,0.9389736169362728,0.952308452186433,0.01333483525016046,0.017931658087518145,3,2,0
B3 - B2,B2,B3,2,5,0.9535526838221869,0.9547568424960344,0.0012041586738474885,0.002666213283178882,2,3,0
B3 - B2,B2,B3,3,5,0.9510548231840812,0.9511622767097695,0.00010745352568841682,0.00416876397697462,4,0,1
B3 - B2,B2,B3,4,5,0.9690188580037316,0.9702237464086769,0.0012048884049455032,0.008846586604094623,2,1,2
B3 - B1,B1,B3,0,5,0.930481349144657,0.941479753348912,0.010998404204255064,0.017032931077466396,3,0,2
B3 - B1,B1,B3,1,5,0.9462735467116007,0.952308452186433,0.006034905474832342,0.014202224889410883,3,0,2
B3 - B1,B1,B3,2,5,0.9440004899773384,0.9547568424960344,0.010756352518695955,0.002647474799781433,5,0,0
B3 - B1,B1,B3,3,5,0.9416887715208293,0.9511622767097695,0.009473505188940213,0.008842498141953658,5,0,0
B3 - B1,B1,B3,4,5,0.9737426342789786,0.9702237464086769,-0.0035188878703015015,0.006894735551912082,2,0,3
B3 - B0,B0,B3,0,5,0.9306516810431835,0.941479753348912,0.010828072305728399,0.014223247853535893,4,0,1
B3 - B0,B0,B3,1,5,0.9170304082548191,0.952308452186433,0.035278043931614114,0.018321369596911906,5,0,0
B3 - B0,B0,B3,2,5,0.9340760527579841,0.9547568424960344,0.020680789738050365,0.007178664154429216,5,0,0
B3 - B0,B0,B3,3,5,0.9283076551922269,0.9511622767097695,0.022854621517542584,0.008947764588966131,5,0,0
B3 - B0,B0,B3,4,5,0.9029665394332043,0.9702237464086769,0.06725720697547281,0.011949875193777798,5,0,0
