fold,seed,B0,B1,B2,B3,B3_raw_softmax,B3_single_fold_debug,lambda,B0_source,B1_source,B2_source,B3_source,B3_metadata_source,leakage_audit_source
0,42,0.9337634408602151,0.9464209780297661,0.9403409090909091,0.9403409090909091,0.9403409090909091,False,0.5,reports/cv5_expanded_cap3x_fold0_logmel_seed42/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_seed42/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed42/summary.json,reports/prototype_cv5_exact_w05_fold0_seed42/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold0_seed42/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold0_seed42/evaluation/leakage_audit.json
0,123,0.9462380884653676,0.9225202213707961,0.9340659340659341,0.9342909970132272,0.9340659340659341,False,0.5,reports/cv5_expanded_cap3x_fold0_logmel_seed123/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_seed123/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed123/summary.json,reports/prototype_cv5_exact_w05_fold0_seed123/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold0_seed123/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold0_seed123/evaluation/leakage_audit.json
0,777,0.9102114339711789,0.9404761904761905,0.9464209780297661,0.9344401873137504,0.9464209780297661,False,0.5,reports/cv5_expanded_cap3x_fold0_logmel_seed777/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_seed777/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed777/summary.json,reports/prototype_cv5_exact_w05_fold0_seed777/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold0_seed777/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold0_seed777/evaluation/leakage_audit.json
0,2024,0.9285309132161088,0.9217204301075269,0.946053946053946,0.946053946053946,0.946053946053946,False,0.5,reports/cv5_expanded_cap3x_fold0_logmel_seed2024/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_seed2024/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed2024/summary.json,reports/prototype_cv5_exact_w05_fold0_seed2024/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold0_seed2024/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold0_seed2024/evaluation/leakage_audit.json
0,3407,0.9345145287030475,0.921268925739005,0.946360153256705,0.9522727272727273,0.946360153256705,True,0.5,reports/cv5_expanded_cap3x_fold0_logmel_seed3407/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_seed3407/summary.json,reports/cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed3407/summary.json,reports/prototype_cv5_exact_w05_fold0_seed3407/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold0_seed3407/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold0_seed3407/evaluation/leakage_audit.json
1,42,0.9111031203465547,0.946053946053946,0.9404424276800907,0.9464209780297661,0.9404424276800907,False,0.5,reports/cv5_expanded_cap3x_fold1_logmel_seed42/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_seed42/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed42/summary.json,reports/prototype_cv5_exact_w05_fold1_seed42/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold1_seed42/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold1_seed42/evaluation/leakage_audit.json
1,123,0.9345145287030475,0.9581851799175082,0.9521367521367521,0.9521367521367521,0.9521367521367521,False,0.5,reports/cv5_expanded_cap3x_fold1_logmel_seed123/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_seed123/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed123/summary.json,reports/prototype_cv5_exact_w05_fold1_seed123/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold1_seed123/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold1_seed123/evaluation/leakage_audit.json
1,777,0.9171286031042128,0.9408010831203601,0.9345145287030475,0.9345145287030475,0.9345145287030475,False,0.5,reports/cv5_expanded_cap3x_fold1_logmel_seed777/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_seed777/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed777/summary.json,reports/prototype_cv5_exact_w05_fold1_seed777/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold1_seed777/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold1_seed777/evaluation/leakage_audit.json
1,2024,0.9048922389847784,0.9467070529308244,0.9217204301075269,0.9642654566080544,0.9217204301075269,False,0.5,reports/cv5_expanded_cap3x_fold1_logmel_seed2024/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_seed2024/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed2024/summary.json,reports/prototype_cv5_exact_w05_fold1_seed2024/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold1_seed2024/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold1_seed2024/evaluation/leakage_audit.json
1,3407,0.9175135501355014,0.9396204715353651,0.946053946053946,0.9642045454545454,0.946053946053946,False,0.5,reports/cv5_expanded_cap3x_fold1_logmel_seed3407/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_seed3407/summary.json,reports/cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed3407/summary.json,reports/prototype_cv5_exact_w05_fold1_seed3407/evaluation/metrics.json,reports/prototype_cv5_exact_w05_fold1_seed3407/artifacts/prototype_metadata.json,reports/prototype_cv5_exact_w05_fold1_seed3407/evaluation/leakage_audit.json
