noise_environment,snr_db,condition_family,method,class,precision,recall,f1,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal
ALL_NOISY,GROUP,all_noisy,fused,cough,0.9955,0.0466,0.089,2075,613,107,1,8902
ALL_NOISY,GROUP,all_noisy,fused,calm_grunt,0.9752,0.9998,0.9874,2075,613,107,1,8902
ALL_NOISY,GROUP,all_noisy,fused,feeding,0.9221,0.7686,0.8383,2075,613,107,1,8902
ALL_NOISY,GROUP,all_noisy,fused,stress_vocal,0.4453,0.9327,0.6028,2075,613,107,1,8902
ALL_NOISY,GROUP,all_noisy,hierarchical,cough,0.9958,0.0503,0.0957,2240,495,194,1,8780
ALL_NOISY,GROUP,all_noisy,hierarchical,calm_grunt,0.9643,0.9998,0.9817,2240,495,194,1,8780
ALL_NOISY,GROUP,all_noisy,hierarchical,feeding,0.9346,0.7496,0.8319,2240,495,194,1,8780
ALL_NOISY,GROUP,all_noisy,hierarchical,stress_vocal,0.4474,0.9442,0.6071,2240,495,194,1,8780
ALL_NOISY,GROUP,all_noisy,prototype,cough,0.9959,0.0512,0.0974,2006,606,217,1,8748
ALL_NOISY,GROUP,all_noisy,prototype,calm_grunt,0.9607,0.9998,0.9798,2006,606,217,1,8748
ALL_NOISY,GROUP,all_noisy,prototype,feeding,0.9233,0.7731,0.8416,2006,606,217,1,8748
ALL_NOISY,GROUP,all_noisy,prototype,stress_vocal,0.4503,0.9323,0.6073,2006,606,217,1,8748
ALL_NOISY,GROUP,all_noisy,raw_softmax,cough,1.0,0.0453,0.0867,2168,616,86,1,8935
ALL_NOISY,GROUP,all_noisy,raw_softmax,calm_grunt,0.9782,0.9996,0.9887,2168,616,86,1,8935
ALL_NOISY,GROUP,all_noisy,raw_softmax,feeding,0.9208,0.7593,0.8323,2168,616,86,1,8935
ALL_NOISY,GROUP,all_noisy,raw_softmax,stress_vocal,0.4425,0.9329,0.6003,2168,616,86,1,8935
