fold,model,acc,macro_f1
0,duration_logreg,0.7142857142857143,0.6312989921612542
0,duration_tree,0.7380952380952381,0.7300334041907076
1,duration_logreg,0.6607142857142857,0.5882731695241521
1,duration_tree,0.7619047619047619,0.7514225333374269
2,duration_logreg,0.7202380952380952,0.6564698207397323
2,duration_tree,0.7738095238095238,0.7669884235614574
3,duration_logreg,0.7023809523809523,0.6405853418593213
3,duration_tree,0.7440476190476191,0.7328828595591915
4,duration_logreg,0.7142857142857143,0.6395265694793778
4,duration_tree,0.7619047619047619,0.7341623573531781
