fold,seed,alpha,val_alpha_acc,val_alpha_macro_f1,base_test_acc,base_test_macro_f1,pretrain_test_acc,pretrain_test_macro_f1,fusion_test_acc,fusion_test_macro_f1,delta_fusion_minus_base,delta_fusion_minus_pretrain,delta_pretrain_minus_base
0,3407,0.55,0.9642857142857143,0.9641025641025642,0.9285714285714286,0.928409090909091,0.9166666666666666,0.9157888339680739,0.9166666666666666,0.9157888339680739,-0.012620256941017094,0.0,-0.012620256941017094
1,3407,0.55,0.9523809523809523,0.9523809523809523,0.8928571428571429,0.8877005347593583,0.8809523809523809,0.8764705882352941,0.8809523809523809,0.8737980769230769,-0.013902457836281412,-0.0026725113122172406,-0.011229946524064172
2,3407,0.0,0.9404761904761905,0.9404424276800907,0.9285714285714286,0.9295995670995671,0.8452380952380952,0.8442363530778165,0.9285714285714286,0.9295995670995671,0.0,0.08536321402175062,-0.08536321402175062
3,3407,0.15,0.9642857142857143,0.9642654566080544,0.9285714285714286,0.9279176201372997,0.9047619047619048,0.9038901601830664,0.9404761904761905,0.9401709401709402,0.012253320033640436,0.03628077998787371,-0.024027459954233277
4,3407,0.35,0.9166666666666666,0.9166193987521271,0.9404761904761905,0.9401709401709402,0.9523809523809523,0.9523809523809523,0.9404761904761905,0.9401709401709402,0.0,-0.012210012210012167,0.012210012210012167
5,3407,0.3,0.9642857142857143,0.9642654566080544,0.9047619047619048,0.9034883720930234,0.9285714285714286,0.9285714285714286,0.9166666666666666,0.9166193987521271,0.013131026659103706,-0.011952029819301546,0.025083056478405252
6,3407,0.6,0.8928571428571429,0.8923076923076922,0.9166666666666666,0.9162393162393163,0.9166666666666666,0.9146948013227083,0.9166666666666666,0.9162393162393163,0.0,0.0015445149166080085,-0.0015445149166080085
7,3407,0.35,0.9642857142857143,0.9642654566080544,0.9523809523809523,0.9523809523809523,0.8690476190476191,0.8683760683760684,0.9523809523809523,0.9522727272727273,-0.00010822510822505738,0.08389665889665887,-0.08400488400488393
8,3407,0.0,0.9285714285714286,0.9279176201372997,0.9285714285714286,0.928409090909091,0.9166666666666666,0.9154686601495112,0.9285714285714286,0.928409090909091,0.0,0.012940430759579735,-0.012940430759579735
9,3407,0.5,0.9642857142857143,0.9642654566080544,0.9285714285714286,0.9279839559192934,0.9285714285714286,0.928409090909091,0.9166666666666666,0.9157888339680739,-0.012195121951219523,-0.012620256941017094,0.0004251349897975709
0,42,0.0,0.9642857142857143,0.9642461197339246,0.9285714285714286,0.9279176201372997,0.9166666666666666,0.9157888339680739,0.9285714285714286,0.9279176201372997,0.0,0.012128786169225858,-0.012128786169225858
1,42,0.0,0.9404761904761905,0.9404424276800907,0.9047619047619048,0.9011764705882352,0.9166666666666666,0.9154686601495112,0.9047619047619048,0.9011764705882352,0.0,-0.01429218956127598,0.01429218956127598
2,42,0.25,0.9523809523809523,0.9522727272727273,0.9047619047619048,0.9057900432900432,0.8809523809523809,0.8830627705627705,0.9047619047619048,0.9057900432900432,0.0,0.022727272727272707,-0.022727272727272707
3,42,0.0,0.9642857142857143,0.9642654566080544,0.9404761904761905,0.9404424276800907,0.9523809523809523,0.9522727272727273,0.9404761904761905,0.9404424276800907,0.0,-0.011830299592636595,0.011830299592636595
4,42,0.85,0.9523809523809523,0.9522727272727273,0.9404761904761905,0.9401709401709402,0.9404761904761905,0.9404424276800907,0.9404761904761905,0.9404424276800907,0.00027148750915051423,0.0,0.00027148750915051423
5,42,0.0,0.9523809523809523,0.9522727272727273,0.9047619047619048,0.9027777777777778,0.9285714285714286,0.928409090909091,0.9047619047619048,0.9027777777777778,0.0,-0.02563131313131317,0.02563131313131317
6,42,0.05,0.9047619047619048,0.9038901601830664,0.9166666666666666,0.9162393162393163,0.9166666666666666,0.9154686601495112,0.9166666666666666,0.9162393162393163,0.0,0.0007706560898050885,-0.0007706560898050885
7,42,0.15,0.9642857142857143,0.9641025641025642,0.8928571428571429,0.889795918367347,0.9285714285714286,0.9279176201372997,0.8928571428571429,0.889795918367347,0.0,-0.038121701769952776,0.038121701769952776
8,42,0.0,0.9047619047619048,0.9045454545454545,0.9047619047619048,0.9038901601830664,0.9404761904761905,0.9401709401709402,0.9047619047619048,0.9038901601830664,0.0,-0.03628077998787371,0.03628077998787371
9,42,0.95,0.9642857142857143,0.9642654566080544,0.9166666666666666,0.9162393162393163,0.9285714285714286,0.928409090909091,0.9285714285714286,0.928409090909091,0.012169774669774647,0.0,0.012169774669774647
0,2024,0.6,0.9761904761904762,0.9761363636363636,0.9404761904761905,0.9401709401709402,0.9285714285714286,0.928409090909091,0.9285714285714286,0.928409090909091,-0.0117618492618492,0.0,-0.0117618492618492
1,2024,0.1,0.9404761904761905,0.941023147773006,0.9047619047619048,0.9011764705882352,0.9404761904761905,0.9401709401709402,0.9047619047619048,0.9011764705882352,0.0,-0.038994469582704916,0.038994469582704916
2,2024,0.05,0.9523809523809523,0.9522727272727273,0.8809523809523809,0.8815217391304347,0.8928571428571429,0.8933693244739755,0.8809523809523809,0.8815217391304347,0.0,-0.0118475853435408,0.0118475853435408
3,2024,0.0,0.9523809523809523,0.9522727272727273,0.9285714285714286,0.9279176201372997,0.9761904761904762,0.9761904761904763,0.9285714285714286,0.9279176201372997,0.0,-0.04827285605317655,0.04827285605317655
4,2024,0.0,0.9404761904761905,0.9404424276800907,0.9404761904761905,0.9401709401709402,0.9285714285714286,0.9285714285714286,0.9404761904761905,0.9401709401709402,0.0,0.011599511599511558,-0.011599511599511558
5,2024,0.05,0.9642857142857143,0.9642654566080544,0.9166666666666666,0.915422077922078,0.9523809523809523,0.9523809523809523,0.9166666666666666,0.915422077922078,0.0,-0.03695887445887436,0.03695887445887436
6,2024,0.7,0.8928571428571429,0.8923076923076922,0.9047619047619048,0.9016319869441045,0.9285714285714286,0.928409090909091,0.9285714285714286,0.928409090909091,0.02677710396498645,0.0,0.02677710396498645
7,2024,0.0,0.9523809523809523,0.9523809523809523,0.8928571428571429,0.8923076923076922,0.9047619047619048,0.9027777777777778,0.8928571428571429,0.8923076923076922,0.0,-0.010470085470085544,0.010470085470085544
8,2024,0.0,0.9166666666666666,0.9166193987521271,0.9166666666666666,0.9154686601495112,0.9285714285714286,0.9279176201372997,0.9166666666666666,0.9154686601495112,0.0,-0.0124489599877885,0.0124489599877885
9,2024,0.0,0.9642857142857143,0.9642654566080544,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.928409090909091,0.9285714285714286,0.9285714285714286,0.0,0.00016233766233764158,-0.00016233766233764158
