experiment,model,fold,seed,test_macro_f1,best_val_macro_f1
cv10_fold0_logmel_seed2024,logmel_baseline,0,2024,0.9401709401709402,0.9526510547497501
cv10_fold0_logmel_seed3407,logmel_baseline,0,3407,0.928409090909091,0.941023147773006
cv10_fold0_logmel_seed42,logmel_baseline,0,42,0.9279176201372997,0.9642461197339246
cv10_fold1_logmel_seed2024,logmel_baseline,1,2024,0.9011764705882352,0.9293237250554324
cv10_fold1_logmel_seed3407,logmel_baseline,1,3407,0.8877005347593583,0.9404424276800907
cv10_fold1_logmel_seed42,logmel_baseline,1,42,0.9011764705882352,0.9404424276800907
cv10_fold2_logmel_seed2024,logmel_baseline,2,2024,0.8815217391304347,0.9401709401709402
cv10_fold2_logmel_seed3407,logmel_baseline,2,3407,0.9295995670995671,0.9404424276800907
cv10_fold2_logmel_seed42,logmel_baseline,2,42,0.9057900432900432,0.9401709401709402
cv10_fold3_logmel_seed2024,logmel_baseline,3,2024,0.9279176201372997,0.9522727272727273
cv10_fold3_logmel_seed3407,logmel_baseline,3,3407,0.9279176201372997,0.9522727272727273
cv10_fold3_logmel_seed42,logmel_baseline,3,42,0.9404424276800907,0.9642654566080544
cv10_fold4_logmel_seed2024,logmel_baseline,4,2024,0.9401709401709402,0.9404424276800907
cv10_fold4_logmel_seed3407,logmel_baseline,4,3407,0.9401709401709402,0.9162393162393163
cv10_fold4_logmel_seed42,logmel_baseline,4,42,0.9401709401709402,0.928409090909091
cv10_fold5_logmel_seed2024,logmel_baseline,5,2024,0.915422077922078,0.9522727272727273
cv10_fold5_logmel_seed3407,logmel_baseline,5,3407,0.9034883720930234,0.9522727272727273
cv10_fold5_logmel_seed42,logmel_baseline,5,42,0.9027777777777778,0.9522727272727273
cv10_fold6_logmel_seed2024,logmel_baseline,6,2024,0.9016319869441045,0.879862700228833
cv10_fold6_logmel_seed3407,logmel_baseline,6,3407,0.9162393162393163,0.8784722222222222
cv10_fold6_logmel_seed42,logmel_baseline,6,42,0.9162393162393163,0.8913168487636574
