fold,seed,logmel,mctafd_no_se_gated
0,42,0.9279176201372996,0.928409090909091
0,2024,0.9401709401709402,0.9401709401709402
0,3407,0.928409090909091,0.9401709401709402
1,42,0.9011764705882352,0.9142857142857144
1,2024,0.9011764705882352,0.9142857142857144
1,3407,0.8877005347593583,0.9011764705882352
2,42,0.9057900432900432,0.9165787913164544
2,2024,0.8815217391304347,0.9057900432900432
2,3407,0.9295995670995671,0.9057900432900432
3,42,0.9404424276800908,0.9162393162393164
3,2024,0.9279176201372996,0.9038901601830664
3,3407,0.9279176201372996,0.9279176201372996
4,42,0.9401709401709402,0.9401709401709402
4,2024,0.9401709401709402,0.9401709401709402
4,3407,0.9401709401709402,0.9150717703349284
5,42,0.9027777777777778,0.9047619047619048
5,2024,0.915422077922078,0.9162393162393162
5,3407,0.9034883720930234,0.9401709401709402
6,42,0.9162393162393164,0.9045454545454544
6,2024,0.9016319869441044,0.9162393162393164
6,3407,0.9162393162393164,0.9038901601830664
7,42,0.889795918367347,0.8608527131782945
7,2024,0.8923076923076922,0.8913168487636574
7,3407,0.9523809523809524,0.8923076923076922
8,42,0.9038901601830664,0.8764705882352941
8,2024,0.9154686601495112,0.9154686601495112
8,3407,0.928409090909091,0.9279176201372996
9,42,0.9162393162393164,0.9162393162393162
9,2024,0.9285714285714286,0.8796755570011383
9,3407,0.9279839559192934,0.928409090909091
