experiment,model,fold,seed,test_acc,test_macro_f1,best_val_macro_f1,pretrained_ckpt,load_encoder_only,freeze_encoder_epochs,fusion_type,aux_gate_init,gate_mean,gate_max
cv10_pretrain_no_feeding_fold0_logmel_seed42,logmel_pretrain,0,42,0.9166666666666666,0.9157888339680739,0.9641025641025642,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold1_logmel_seed42,logmel_pretrain,1,42,0.9166666666666666,0.9154686601495112,0.9404424276800907,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold2_logmel_seed42,logmel_pretrain,2,42,0.8809523809523809,0.8830627705627705,0.9401709401709402,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold3_logmel_seed42,logmel_pretrain,3,42,0.9523809523809523,0.9522727272727273,0.9401709401709402,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold4_logmel_seed42,logmel_pretrain,4,42,0.9404761904761905,0.9404424276800907,0.9401709401709402,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold5_logmel_seed42,logmel_pretrain,5,42,0.9285714285714286,0.928409090909091,0.9401709401709402,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold6_logmel_seed42,logmel_pretrain,6,42,0.9166666666666666,0.9154686601495112,0.8913168487636574,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold7_logmel_seed42,logmel_pretrain,7,42,0.9285714285714286,0.9279176201372997,0.9523809523809523,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold8_logmel_seed42,logmel_pretrain,8,42,0.9404761904761905,0.9401709401709402,0.9045454545454545,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold9_logmel_seed42,logmel_pretrain,9,42,0.9285714285714286,0.928409090909091,0.9642654566080544,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold0_logmel_seed2024,logmel_pretrain,0,2024,0.9285714285714286,0.928409090909091,0.9761363636363636,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold1_logmel_seed2024,logmel_pretrain,1,2024,0.9404761904761905,0.9401709401709402,0.9404424276800907,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold2_logmel_seed2024,logmel_pretrain,2,2024,0.8928571428571429,0.8933693244739755,0.928409090909091,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold3_logmel_seed2024,logmel_pretrain,3,2024,0.9761904761904762,0.9761904761904763,0.9404424276800907,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold4_logmel_seed2024,logmel_pretrain,4,2024,0.9285714285714286,0.9285714285714286,0.9285714285714286,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold5_logmel_seed2024,logmel_pretrain,5,2024,0.9523809523809523,0.9523809523809523,0.9404424276800907,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold6_logmel_seed2024,logmel_pretrain,6,2024,0.9285714285714286,0.928409090909091,0.8923076923076922,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold7_logmel_seed2024,logmel_pretrain,7,2024,0.9047619047619048,0.9027777777777778,0.9404424276800907,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
cv10_pretrain_no_feeding_fold8_logmel_seed2024,logmel_pretrain,8,2024,0.9285714285714286,0.9279176201372997,0.9166193987521271,checkpoints\pretrain_no_feeding_logmel_cap1000.pt,True,0,direct,-4.0,,
