fold,seed,expert_model,stage1_variant,n,replaced,stage1_acc,stage1_macro_f1,stage2_acc,stage2_macro_f1,delta_macro_f1
0,3407,logmel,baseline,84,42,0.9285714285714286,0.928409090909091,0.9285714285714286,0.928409090909091,0.0
1,3407,logmel,baseline,84,42,0.8928571428571429,0.8877005347593583,0.8928571428571429,0.8877005347593583,0.0
2,3407,logmel,baseline,84,42,0.9285714285714286,0.9295995670995671,0.9166666666666666,0.9181233062330624,-0.011476260866504773
3,3407,logmel,baseline,84,42,0.9285714285714286,0.9279176201372997,0.9285714285714286,0.928409090909091,0.0004914707717912359
4,3407,logmel,baseline,84,42,0.9404761904761905,0.9401709401709402,0.9285714285714286,0.928409090909091,-0.0117618492618492
5,3407,logmel,baseline,84,41,0.9047619047619048,0.9034883720930234,0.9166666666666666,0.9157888339680739,0.012300461875050517
6,3407,logmel,baseline,84,42,0.9166666666666666,0.9162393162393163,0.9285714285714286,0.928409090909091,0.012169774669774647
7,3407,logmel,baseline,84,42,0.9523809523809523,0.9523809523809523,0.8809523809523809,0.8809523809523809,-0.0714285714285714
8,3407,logmel,baseline,84,42,0.9285714285714286,0.928409090909091,0.9166666666666666,0.9162393162393162,-0.012169774669774758
9,3407,logmel,baseline,84,41,0.9285714285714286,0.9279839559192934,0.9166666666666666,0.9159883720930233,-0.011995583826270084
0,42,logmel,baseline,84,42,0.9285714285714286,0.9279176201372997,0.9404761904761905,0.9401709401709402,0.012253320033640436
1,42,logmel,baseline,84,42,0.9047619047619048,0.9011764705882352,0.8928571428571429,0.889795918367347,-0.011380552220888296
2,42,logmel,baseline,84,42,0.9047619047619048,0.9057900432900432,0.9166666666666666,0.9181233062330624,0.012333262943019174
3,42,logmel,baseline,84,42,0.9404761904761905,0.9404424276800907,0.9642857142857143,0.9642654566080544,0.02382302892796373
4,42,logmel,baseline,84,42,0.9404761904761905,0.9401709401709402,0.9047619047619048,0.9047619047619047,-0.035409035409035505
5,42,logmel,baseline,84,42,0.9047619047619048,0.9027777777777778,0.9047619047619048,0.9045454545454545,0.0017676767676767513
6,42,logmel,baseline,84,42,0.9166666666666666,0.9162393162393163,0.9166666666666666,0.9162393162393163,0.0
7,42,logmel,baseline,84,42,0.8928571428571429,0.889795918367347,0.9166666666666666,0.9154686601495112,0.025672741782164277
8,42,logmel,baseline,84,42,0.9047619047619048,0.9038901601830664,0.9166666666666666,0.9154686601495112,0.011578499966444777
9,42,logmel,baseline,84,42,0.9166666666666666,0.9162393162393163,0.9285714285714286,0.928409090909091,0.012169774669774647
0,2024,logmel,baseline,84,42,0.9404761904761905,0.9401709401709402,0.9285714285714286,0.928409090909091,-0.0117618492618492
1,2024,logmel,baseline,84,42,0.9047619047619048,0.9011764705882352,0.9166666666666666,0.9142857142857143,0.013109243697479012
2,2024,logmel,baseline,84,42,0.8809523809523809,0.8815217391304347,0.9166666666666666,0.9170392953929538,0.03551755626251907
3,2024,logmel,baseline,84,42,0.9285714285714286,0.9279176201372997,0.9285714285714286,0.928409090909091,0.0004914707717912359
4,2024,logmel,baseline,84,42,0.9404761904761905,0.9401709401709402,0.9285714285714286,0.9279176201372997,-0.012253320033640436
5,2024,logmel,baseline,84,40,0.9166666666666666,0.915422077922078,0.9166666666666666,0.9143610013175231,-0.0010610766045549003
6,2024,logmel,baseline,84,39,0.9047619047619048,0.9016319869441045,0.8928571428571429,0.8899267399267399,-0.01170524701736464
7,2024,logmel,baseline,84,42,0.8928571428571429,0.8923076923076922,0.9285714285714286,0.9270833333333334,0.034775641025641124
8,2024,logmel,baseline,84,42,0.9166666666666666,0.9154686601495112,0.9404761904761905,0.9404424276800907,0.02497376753057945
9,2024,logmel,baseline,84,42,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.928409090909091,-0.00016233766233764158
