fold,seed,expert_model,stage1_variant,n,replaced,stage1_acc,stage1_macro_f1,stage2_acc,stage2_macro_f1,delta_macro_f1
0,3407,mctafd_no_se_gated,baseline,84,42,0.9285714285714286,0.928409090909091,0.9404761904761905,0.9401709401709402,0.0117618492618492
1,3407,mctafd_no_se_gated,baseline,84,42,0.8928571428571429,0.8877005347593583,0.8928571428571429,0.8913168487636574,0.0036163140042990705
2,3407,mctafd_no_se_gated,baseline,84,42,0.9285714285714286,0.9295995670995671,0.9166666666666666,0.9181233062330624,-0.011476260866504773
3,3407,mctafd_no_se_gated,baseline,84,42,0.9285714285714286,0.9279176201372997,0.9166666666666666,0.9154686601495112,-0.0124489599877885
4,3407,mctafd_no_se_gated,baseline,84,42,0.9404761904761905,0.9401709401709402,0.9523809523809523,0.9522727272727273,0.01210178710178711
5,3407,mctafd_no_se_gated,baseline,84,41,0.9047619047619048,0.9034883720930234,0.9285714285714286,0.9279839559192934,0.02449558382627004
6,3407,mctafd_no_se_gated,baseline,84,42,0.9166666666666666,0.9162393162393163,0.9047619047619048,0.9038901601830664,-0.012349156056249866
7,3407,mctafd_no_se_gated,baseline,84,42,0.9523809523809523,0.9523809523809523,0.8809523809523809,0.8809523809523809,-0.0714285714285714
8,3407,mctafd_no_se_gated,baseline,84,42,0.9285714285714286,0.928409090909091,0.9047619047619048,0.9027777777777778,-0.02563131313131317
9,3407,mctafd_no_se_gated,baseline,84,41,0.9285714285714286,0.9279839559192934,0.8928571428571429,0.8915544675642595,-0.0364294883550339
0,42,mctafd_no_se_gated,baseline,84,42,0.9285714285714286,0.9279176201372997,0.9404761904761905,0.9401709401709402,0.012253320033640436
1,42,mctafd_no_se_gated,baseline,84,42,0.9047619047619048,0.9011764705882352,0.9047619047619048,0.9011764705882352,0.0
2,42,mctafd_no_se_gated,baseline,84,42,0.9047619047619048,0.9057900432900432,0.9166666666666666,0.9181233062330624,0.012333262943019174
3,42,mctafd_no_se_gated,baseline,84,42,0.9404761904761905,0.9404424276800907,0.9404761904761905,0.9401709401709402,-0.00027148750915051423
4,42,mctafd_no_se_gated,baseline,84,42,0.9404761904761905,0.9401709401709402,0.9404761904761905,0.9401709401709402,0.0
5,42,mctafd_no_se_gated,baseline,84,42,0.9047619047619048,0.9027777777777778,0.9047619047619048,0.9045454545454545,0.0017676767676767513
6,42,mctafd_no_se_gated,baseline,84,42,0.9166666666666666,0.9162393162393163,0.9166666666666666,0.9162393162393163,0.0
7,42,mctafd_no_se_gated,baseline,84,42,0.8928571428571429,0.889795918367347,0.9166666666666666,0.9154686601495112,0.025672741782164277
8,42,mctafd_no_se_gated,baseline,84,42,0.9047619047619048,0.9038901601830664,0.9166666666666666,0.9162393162393162,0.012349156056249755
9,42,mctafd_no_se_gated,baseline,84,42,0.9166666666666666,0.9162393162393163,0.9404761904761905,0.9404424276800907,0.02420311144077436
0,2024,mctafd_no_se_gated,baseline,84,42,0.9404761904761905,0.9401709401709402,0.9404761904761905,0.9401709401709402,0.0
1,2024,mctafd_no_se_gated,baseline,84,42,0.9047619047619048,0.9011764705882352,0.8928571428571429,0.8913168487636574,-0.009859621824577891
2,2024,mctafd_no_se_gated,baseline,84,42,0.8809523809523809,0.8815217391304347,0.8809523809523809,0.8827850877192982,0.0012633485888634555
3,2024,mctafd_no_se_gated,baseline,84,42,0.9285714285714286,0.9279176201372997,0.9285714285714286,0.928409090909091,0.0004914707717912359
4,2024,mctafd_no_se_gated,baseline,84,42,0.9404761904761905,0.9401709401709402,0.9404761904761905,0.9404424276800907,0.00027148750915051423
5,2024,mctafd_no_se_gated,baseline,84,40,0.9166666666666666,0.915422077922078,0.8690476190476191,0.8666125541125541,-0.04880952380952386
6,2024,mctafd_no_se_gated,baseline,84,39,0.9047619047619048,0.9016319869441045,0.9047619047619048,0.9016319869441045,0.0
7,2024,mctafd_no_se_gated,baseline,84,42,0.8928571428571429,0.8923076923076922,0.9047619047619048,0.9045454545454545,0.012237762237762295
8,2024,mctafd_no_se_gated,baseline,84,42,0.9166666666666666,0.9154686601495112,0.9285714285714286,0.9270833333333334,0.011614673183822144
9,2024,mctafd_no_se_gated,baseline,84,42,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9279176201372997,-0.0006538084341288775
