fold,seed,expert_model,stage1_variant,n,replaced,stage1_acc,stage1_macro_f1,stage2_acc,stage2_macro_f1,delta_macro_f1
0,3407,logmel,pretrain,84,41,0.9166666666666666,0.9157888339680739,0.9166666666666666,0.9159883720930233,0.0001995381249494388
1,3407,logmel,pretrain,84,42,0.8809523809523809,0.8764705882352941,0.8928571428571429,0.8877005347593583,0.011229946524064172
2,3407,logmel,pretrain,84,41,0.8452380952380952,0.8442363530778165,0.9166666666666666,0.9165360046457607,0.07229965156794416
3,3407,logmel,pretrain,84,42,0.9047619047619048,0.9038901601830664,0.9285714285714286,0.928409090909091,0.024518930726024513
4,3407,logmel,pretrain,84,42,0.9523809523809523,0.9523809523809523,0.9285714285714286,0.928409090909091,-0.023971861471861367
5,3407,logmel,pretrain,84,42,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.0
6,3407,logmel,pretrain,84,40,0.9166666666666666,0.9146948013227083,0.9285714285714286,0.9273268398268398,0.012632038504131526
7,3407,logmel,pretrain,84,42,0.8690476190476191,0.8683760683760684,0.8809523809523809,0.8809523809523809,0.012576312576312532
8,3407,logmel,pretrain,84,42,0.9166666666666666,0.9154686601495112,0.9166666666666666,0.9162393162393162,0.0007706560898049775
9,3407,logmel,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9166666666666666,0.9166193987521271,-0.011789692156963905
0,42,logmel,pretrain,84,41,0.9166666666666666,0.9157888339680739,0.9285714285714286,0.9280438553694368,0.01225502140136292
1,42,logmel,pretrain,84,42,0.9166666666666666,0.9154686601495112,0.8928571428571429,0.889795918367347,-0.025672741782164277
2,42,logmel,pretrain,84,42,0.8809523809523809,0.8830627705627705,0.9166666666666666,0.9181233062330624,0.03506053567029188
3,42,logmel,pretrain,84,42,0.9523809523809523,0.9522727272727273,0.9642857142857143,0.9642654566080544,0.011992729335327135
4,42,logmel,pretrain,84,42,0.9404761904761905,0.9404424276800907,0.9047619047619048,0.9047619047619047,-0.03568052291818602
5,42,logmel,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9047619047619048,0.9045454545454545,-0.02386363636363642
6,42,logmel,pretrain,84,42,0.9166666666666666,0.9154686601495112,0.9166666666666666,0.9162393162393163,0.0007706560898050885
7,42,logmel,pretrain,84,42,0.9285714285714286,0.9279176201372997,0.9166666666666666,0.9154686601495112,-0.0124489599877885
8,42,logmel,pretrain,84,42,0.9404761904761905,0.9401709401709402,0.9166666666666666,0.9154686601495112,-0.024702280021428935
9,42,logmel,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9285714285714286,0.928409090909091,0.0
0,2024,logmel,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9285714285714286,0.928409090909091,0.0
1,2024,logmel,pretrain,84,42,0.9404761904761905,0.9401709401709402,0.9166666666666666,0.9142857142857143,-0.025885225885225904
2,2024,logmel,pretrain,84,42,0.8928571428571429,0.8933693244739755,0.9166666666666666,0.9164082687338501,0.023038944259874516
3,2024,logmel,pretrain,84,42,0.9761904761904762,0.9761904761904763,0.9285714285714286,0.928409090909091,-0.047781385281385313
4,2024,logmel,pretrain,84,42,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9279176201372997,-0.0006538084341288775
5,2024,logmel,pretrain,84,42,0.9523809523809523,0.9523809523809523,0.9404761904761905,0.9396204715353651,-0.01276048084558723
6,2024,logmel,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9047619047619048,0.9045454545454545,-0.02386363636363642
7,2024,logmel,pretrain,84,42,0.9047619047619048,0.9027777777777778,0.9285714285714286,0.9270833333333334,0.02430555555555558
8,2024,logmel,pretrain,84,42,0.9285714285714286,0.9279176201372997,0.9404761904761905,0.9404424276800907,0.01252480754279095
9,2024,logmel,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9285714285714286,0.928409090909091,0.0
