fold,seed,expert_model,stage1_variant,n,replaced,stage1_acc,stage1_macro_f1,stage2_acc,stage2_macro_f1,delta_macro_f1
0,3407,mctafd_no_se_gated,pretrain,84,41,0.9166666666666666,0.9157888339680739,0.9285714285714286,0.9280438553694368,0.01225502140136292
1,3407,mctafd_no_se_gated,pretrain,84,42,0.8809523809523809,0.8764705882352941,0.8928571428571429,0.8913168487636574,0.014846260528363242
2,3407,mctafd_no_se_gated,pretrain,84,41,0.8452380952380952,0.8442363530778165,0.9166666666666666,0.9165360046457607,0.07229965156794416
3,3407,mctafd_no_se_gated,pretrain,84,42,0.9047619047619048,0.9038901601830664,0.9166666666666666,0.9154686601495112,0.011578499966444777
4,3407,mctafd_no_se_gated,pretrain,84,42,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9522727272727273,-0.00010822510822505738
5,3407,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.9285714285714286,0.9404761904761905,0.9404424276800907,0.011870999108662073
6,3407,mctafd_no_se_gated,pretrain,84,40,0.9166666666666666,0.9146948013227083,0.9047619047619048,0.9019138755980862,-0.012780925724622083
7,3407,mctafd_no_se_gated,pretrain,84,42,0.8690476190476191,0.8683760683760684,0.8809523809523809,0.8809523809523809,0.012576312576312532
8,3407,mctafd_no_se_gated,pretrain,84,42,0.9166666666666666,0.9154686601495112,0.9047619047619048,0.9027777777777778,-0.012690882371733436
9,3407,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9047619047619048,0.9038901601830664,-0.024518930726024513
0,42,mctafd_no_se_gated,pretrain,84,41,0.9166666666666666,0.9157888339680739,0.9285714285714286,0.9280438553694368,0.01225502140136292
1,42,mctafd_no_se_gated,pretrain,84,42,0.9166666666666666,0.9154686601495112,0.9047619047619048,0.9011764705882352,-0.01429218956127598
2,42,mctafd_no_se_gated,pretrain,84,42,0.8809523809523809,0.8830627705627705,0.9166666666666666,0.9181233062330624,0.03506053567029188
3,42,mctafd_no_se_gated,pretrain,84,42,0.9523809523809523,0.9522727272727273,0.9404761904761905,0.9401709401709402,-0.01210178710178711
4,42,mctafd_no_se_gated,pretrain,84,42,0.9404761904761905,0.9404424276800907,0.9404761904761905,0.9401709401709402,-0.00027148750915051423
5,42,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9047619047619048,0.9045454545454545,-0.02386363636363642
6,42,mctafd_no_se_gated,pretrain,84,42,0.9166666666666666,0.9154686601495112,0.9166666666666666,0.9162393162393163,0.0007706560898050885
7,42,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.9279176201372997,0.9166666666666666,0.9154686601495112,-0.0124489599877885
8,42,mctafd_no_se_gated,pretrain,84,42,0.9404761904761905,0.9401709401709402,0.9166666666666666,0.9162393162393162,-0.023931623931623958
9,42,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9404761904761905,0.9404424276800907,0.012033336770999714
0,2024,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9404761904761905,0.9401709401709402,0.0117618492618492
1,2024,mctafd_no_se_gated,pretrain,84,42,0.9404761904761905,0.9401709401709402,0.8928571428571429,0.8913168487636574,-0.04885409140728281
2,2024,mctafd_no_se_gated,pretrain,84,42,0.8928571428571429,0.8933693244739755,0.8809523809523809,0.8811821271387276,-0.012187197335247979
3,2024,mctafd_no_se_gated,pretrain,84,42,0.9761904761904762,0.9761904761904763,0.9285714285714286,0.928409090909091,-0.047781385281385313
4,2024,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.9285714285714286,0.9404761904761905,0.9404424276800907,0.011870999108662073
5,2024,mctafd_no_se_gated,pretrain,84,42,0.9523809523809523,0.9523809523809523,0.8928571428571429,0.8927963698241634,-0.05958458255678889
6,2024,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9166666666666666,0.9162393162393163,-0.012169774669774647
7,2024,mctafd_no_se_gated,pretrain,84,42,0.9047619047619048,0.9027777777777778,0.9047619047619048,0.9045454545454545,0.0017676767676767513
8,2024,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.9279176201372997,0.9285714285714286,0.9270833333333334,-0.0008342868039663554
9,2024,mctafd_no_se_gated,pretrain,84,42,0.9285714285714286,0.928409090909091,0.9285714285714286,0.9279176201372997,-0.0004914707717912359
