experiment,protocol,model,fold,seed,feature_mode,use_se,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,fusion_type,aux_gate_init,gate_mean,gate_max,boundary_loss_weight,boundary_warmup_epochs,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_expanded_cap2x_fold0_logmel_seed42,cap2x,logmel,0,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,2,0.9580419580419581,0.875,0.8737849455086982
cv5_expanded_cap2x_fold1_logmel_seed42,cap2x,logmel,1,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,15,0.9497151986662962,0.9166666666666666,0.9166193987521271
cv5_expanded_cap2x_fold2_logmel_seed42,cap2x,logmel,2,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,21,0.9497767857142857,0.9285714285714286,0.9285309132161088
cv5_expanded_cap2x_fold3_logmel_seed42,cap2x,logmel,3,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,13,0.9333333333333333,0.9226190476190477,0.9226080793763289
cv5_expanded_cap2x_fold4_logmel_seed42,cap2x,logmel,4,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,18,0.949944382647386,0.9404761904761905,0.9403409090909091
cv5_expanded_cap2x_fold0_logmel_seed2024,cap2x,logmel,0,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,3,0.9585129310344828,0.8809523809523809,0.8828488372093023
cv5_expanded_cap2x_fold1_logmel_seed2024,cap2x,logmel,1,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,18,0.958168456755229,0.9107142857142857,0.9109189282382053
cv5_expanded_cap2x_fold2_logmel_seed2024,cap2x,logmel,2,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,19,0.9332591768631813,0.9285714285714286,0.9285309132161088
cv5_expanded_cap2x_fold3_logmel_seed2024,cap2x,logmel,3,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,12,0.9332591768631813,0.9107142857142857,0.9100899100899101
cv5_expanded_cap2x_fold4_logmel_seed2024,cap2x,logmel,4,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,33,0.9497767857142857,0.8988095238095238,0.8976344086021506
cv5_expanded_cap2x_fold0_logmel_seed3407,cap2x,logmel,0,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,5,0.9749373433583959,0.9107142857142857,0.9107016300496102
cv5_expanded_cap2x_fold1_logmel_seed3407,cap2x,logmel,1,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,17,0.9583217560433455,0.9107142857142857,0.9115494978479197
cv5_expanded_cap2x_fold2_logmel_seed3407,cap2x,logmel,2,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,7,0.9416504584606835,0.9226190476190477,0.9226080793763288
cv5_expanded_cap2x_fold3_logmel_seed3407,cap2x,logmel,3,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,14,0.9244327127905899,0.9404761904761905,0.9404761904761905
cv5_expanded_cap2x_fold4_logmel_seed3407,cap2x,logmel,4,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,16,0.9582289055973267,0.9166666666666666,0.9159621424327308
cv5_expanded_cap2x_fold0_mctafd_no_se_gated_seed42,cap2x,mctafd_no_se_gated,0,42,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.01805972447618842,0.018354477360844612,0.0,0,5,0.9583217560433455,0.9166666666666666,0.9164772727272728
cv5_expanded_cap2x_fold1_mctafd_no_se_gated_seed42,cap2x,mctafd_no_se_gated,1,42,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018213174771517515,0.018573308363556862,0.0,0,12,0.9497767857142857,0.9226190476190477,0.9226080793763289
cv5_expanded_cap2x_fold2_mctafd_no_se_gated_seed42,cap2x,mctafd_no_se_gated,2,42,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.01828910829499364,0.018717514351010323,0.0,0,7,0.9165739710789766,0.9345238095238095,0.9345145287030475
cv5_expanded_cap2x_fold3_mctafd_no_se_gated_seed42,cap2x,mctafd_no_se_gated,3,42,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018457722384482622,0.01874045468866825,0.0,0,19,0.9332591768631813,0.9047619047619048,0.9042735042735042
cv5_expanded_cap2x_fold4_mctafd_no_se_gated_seed42,cap2x,mctafd_no_se_gated,4,42,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.01847916003316641,0.019088014960289,0.0,0,17,0.9497767857142857,0.8928571428571429,0.8918764302059496
cv5_expanded_cap2x_fold0_mctafd_no_se_gated_seed2024,cap2x,mctafd_no_se_gated,0,2024,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018157655838876963,0.018697569146752357,0.0,0,9,0.9582289055973267,0.9345238095238095,0.9345145287030475
cv5_expanded_cap2x_fold1_mctafd_no_se_gated_seed2024,cap2x,mctafd_no_se_gated,1,2024,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.01816246472299099,0.01869654655456543,0.0,0,6,0.949944382647386,0.9047619047619048,0.9048531203465546
cv5_expanded_cap2x_fold2_mctafd_no_se_gated_seed2024,cap2x,mctafd_no_se_gated,2,2024,mctafd,False,64,20,50,8000.0,1024,320,800,32000,1.0,gated,-4.0,0.018256086390465498,0.018688244745135307,0.0,0,13,0.9412587412587412,0.9345238095238095,0.9340659340659341
