fold,seed,logmel,mctafd_no_se,delta_mctafd_no_se_minus_logmel
0,42,0.8749822820694543,0.8841295193843473,0.009147237314892975
0,123,0.9025752554542944,0.8603357151549923,-0.0422395402993021
0,777,0.9223439055610866,0.9282051282051282,0.005861222644041653
0,2024,0.9217204301075268,0.9042735042735042,-0.01744692583402263
0,3407,0.8755954048753152,0.9085233047771164,0.03292789990180123
1,42,0.9041155028444828,0.8984704200629595,-0.005645082781523314
1,123,0.8938193825459849,0.9225286728497688,0.028709290303783885
1,777,0.8998711414201803,0.898101898101898,-0.0017692433182823208
1,2024,0.911642364242504,0.8920785007602566,-0.019563863482247368
1,3407,0.9175443458980044,0.8846468295641112,-0.03289751633389315
2,42,0.9344401873137506,0.9404761904761904,0.006036003162439796
2,123,0.9282244853152286,0.9523809523809524,0.02415646706572383
2,777,0.9227735859261964,0.8998711414201803,-0.022902444506016084
2,2024,0.9273653590991052,0.9164772727272728,-0.010888086371832473
2,3407,0.9342909970132272,0.9226080793763288,-0.011682917636898327
3,42,0.8984497226568056,0.9164772727272728,0.01802755007046719
3,123,0.922520221370796,0.8986430236430236,-0.023877197727772415
3,777,0.9166666666666669,0.9285714285714286,0.011904761904761751
3,2024,0.8926136363636363,0.8984497226568056,0.005836086293169229
3,3407,0.9166193987521272,0.9112036380817388,-0.005415760670388403
4,42,0.9096774193548388,0.9220779220779222,0.012400502723083351
4,123,0.9282051282051282,0.928409090909091,0.00020396270396272342
4,777,0.9282051282051282,0.9220779220779222,-0.006127206127206075
4,2024,0.922520221370796,0.9100521971969426,-0.012468024173853398
4,3407,0.891218948979313,0.9175135501355014,0.026294601156188424
