experiment,model,fold,seed,feature_mode,use_se,n_mels,fmax,boundary_loss_weight,boundary_warmup_epochs,fusion_type,aux_gate_init,gate_mean,gate_max,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_fold0_logmel_nmel64_fmax8000_seed42,logmel,0,42,logmel,True,64,8000.0,,,,,,,4,0.9749930536260072,0.875,0.8749822820694543
cv5_fold1_logmel_nmel64_fmax8000_seed42,logmel,1,42,logmel,True,64,8000.0,,,,,,,7,0.9408240160157135,0.9047619047619048,0.9041155028444829
cv5_fold2_logmel_nmel64_fmax8000_seed42,logmel,2,42,logmel,True,64,8000.0,,,,,,,20,0.9416504584606835,0.9345238095238095,0.9344401873137506
cv5_fold3_logmel_nmel64_fmax8000_seed42,logmel,3,42,logmel,True,64,8000.0,,,,,,,22,0.9416504584606835,0.8988095238095238,0.8984497226568056
cv5_fold4_logmel_nmel64_fmax8000_seed42,logmel,4,42,logmel,True,64,8000.0,,,,,,,33,0.9412587412587412,0.9107142857142857,0.9096774193548387
cv5_fold0_logmel_nmel64_fmax8000_seed123,logmel,0,123,logmel,True,64,8000.0,,,,,,,14,0.9497767857142857,0.9047619047619048,0.9025752554542944
cv5_fold1_logmel_nmel64_fmax8000_seed123,logmel,1,123,logmel,True,64,8000.0,,,,,,,24,0.9580419580419581,0.8928571428571429,0.8938193825459849
cv5_fold2_logmel_nmel64_fmax8000_seed123,logmel,2,123,logmel,True,64,8000.0,,,,,,,9,0.9332591768631813,0.9285714285714286,0.9282244853152286
cv5_fold3_logmel_nmel64_fmax8000_seed123,logmel,3,123,logmel,True,64,8000.0,,,,,,,16,0.9244730679156908,0.9226190476190477,0.9225202213707961
cv5_fold4_logmel_nmel64_fmax8000_seed123,logmel,4,123,logmel,True,64,8000.0,,,,,,,20,0.9415204678362573,0.9285714285714286,0.9282051282051282
cv5_fold0_logmel_nmel64_fmax8000_seed777,logmel,0,777,logmel,True,64,8000.0,,,,,,,7,0.95,0.9226190476190477,0.9223439055610866
cv5_fold1_logmel_nmel64_fmax8000_seed777,logmel,1,777,logmel,True,64,8000.0,,,,,,,22,0.9497767857142857,0.8988095238095238,0.8998711414201803
cv5_fold2_logmel_nmel64_fmax8000_seed777,logmel,2,777,logmel,True,64,8000.0,,,,,,,6,0.9244755244755245,0.9226190476190477,0.9227735859261963
cv5_fold3_logmel_nmel64_fmax8000_seed777,logmel,3,777,logmel,True,64,8000.0,,,,,,,29,0.9333333333333333,0.9166666666666666,0.9166666666666667
cv5_fold4_logmel_nmel64_fmax8000_seed777,logmel,4,777,logmel,True,64,8000.0,,,,,,,25,0.9582289055973267,0.9285714285714286,0.9282051282051282
cv5_fold0_logmel_nmel64_fmax8000_seed2024,logmel,0,2024,logmel,True,64,8000.0,,,,,,,6,0.9583217560433455,0.9226190476190477,0.9217204301075269
cv5_fold1_logmel_nmel64_fmax8000_seed2024,logmel,1,2024,logmel,True,64,8000.0,,,,,,,18,0.9580419580419581,0.9107142857142857,0.911642364242504
cv5_fold2_logmel_nmel64_fmax8000_seed2024,logmel,2,2024,logmel,True,64,8000.0,,,,,,,47,0.9665178571428572,0.9285714285714286,0.9273653590991052
cv5_fold3_logmel_nmel64_fmax8000_seed2024,logmel,3,2024,logmel,True,64,8000.0,,,,,,,26,0.9332591768631813,0.8928571428571429,0.8926136363636363
cv5_fold4_logmel_nmel64_fmax8000_seed2024,logmel,4,2024,logmel,True,64,8000.0,,,,,,,34,0.949944382647386,0.9226190476190477,0.9225202213707961
cv5_fold0_logmel_nmel64_fmax8000_seed3407,logmel,0,3407,logmel,True,64,8000.0,,,,,,,5,0.9497368666169896,0.875,0.8755954048753152
cv5_fold1_logmel_nmel64_fmax8000_seed3407,logmel,1,3407,logmel,True,64,8000.0,,,,,,,21,0.9412587412587412,0.9166666666666666,0.9175443458980044
cv5_fold2_logmel_nmel64_fmax8000_seed3407,logmel,2,3407,logmel,True,64,8000.0,,,,,,,33,0.9415204678362573,0.9345238095238095,0.9342909970132272
cv5_fold3_logmel_nmel64_fmax8000_seed3407,logmel,3,3407,logmel,True,64,8000.0,,,,,,,22,0.9326599326599327,0.9166666666666666,0.9166193987521271
cv5_fold4_logmel_nmel64_fmax8000_seed3407,logmel,4,3407,logmel,True,64,8000.0,,,,,,,15,0.9415204678362573,0.8928571428571429,0.891218948979313
cv5_boundary_fold0_logmel_w02_seed42,logmel_boundary_w02,0,42,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,4,0.9666295884315906,0.8690476190476191,0.8689733408961997
cv5_boundary_fold1_logmel_w02_seed42,logmel_boundary_w02,1,42,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,28,0.9497767857142857,0.8988095238095238,0.8997847919655666
cv5_boundary_fold2_logmel_w02_seed42,logmel_boundary_w02,2,42,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,29,0.9497767857142857,0.9285714285714286,0.927949628127113
cv5_boundary_fold3_logmel_w02_seed42,logmel_boundary_w02,3,42,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,16,0.9412587412587412,0.9226190476190477,0.9225202213707961
cv5_boundary_fold4_logmel_w02_seed42,logmel_boundary_w02,4,42,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,22,0.9416504584606835,0.9404761904761905,0.9404424276800907
cv5_boundary_fold0_logmel_w02_seed2024,logmel_boundary_w02,0,2024,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,6,0.9583217560433455,0.9166666666666666,0.915903890160183
cv5_boundary_fold1_logmel_w02_seed2024,logmel_boundary_w02,1,2024,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,16,0.9494949494949495,0.9107142857142857,0.9116441507735926
cv5_boundary_fold2_logmel_w02_seed2024,logmel_boundary_w02,2,2024,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,21,0.9580419580419581,0.9166666666666666,0.915903890160183
cv5_boundary_fold3_logmel_w02_seed2024,logmel_boundary_w02,3,2024,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,15,0.9416504584606835,0.9166666666666666,0.9162393162393163
cv5_boundary_fold4_logmel_w02_seed2024,logmel_boundary_w02,4,2024,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,5,0.9326599326599327,0.8988095238095238,0.89985333373933
cv5_boundary_fold0_logmel_w02_seed3407,logmel_boundary_w02,0,3407,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,10,0.9666666666666668,0.9345238095238095,0.9340659340659341
cv5_boundary_fold1_logmel_w02_seed3407,logmel_boundary_w02,1,3407,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,12,0.9332591768631813,0.9107142857142857,0.9110892887955097
cv5_boundary_fold2_logmel_w02_seed3407,logmel_boundary_w02,2,3407,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,23,0.9416504584606835,0.9345238095238095,0.9340384388036006
cv5_boundary_fold3_logmel_w02_seed3407,logmel_boundary_w02,3,3407,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,15,0.949944382647386,0.9285714285714286,0.9285309132161088
cv5_boundary_fold4_logmel_w02_seed3407,logmel_boundary_w02,4,3407,logmel,True,64,8000.0,0.2,5.0,direct,-4.0,,,23,0.9582289055973267,0.9047619047619048,0.9038901601830664
cv5_boundary_fold0_logmel_w05_seed42,logmel_boundary_w05,0,42,logmel,True,64,8000.0,0.5,5.0,,,,,4,0.9666295884315906,0.8928571428571429,0.8926136363636363
cv5_boundary_fold1_logmel_w05_seed42,logmel_boundary_w05,1,42,logmel,True,64,8000.0,0.5,5.0,,,,,7,0.9416504584606835,0.9107142857142857,0.9110593017694883
cv5_boundary_fold2_logmel_w05_seed42,logmel_boundary_w05,2,42,logmel,True,64,8000.0,0.5,5.0,,,,,6,0.9249791608780217,0.9404761904761905,0.9404424276800907
cv5_boundary_fold3_logmel_w05_seed42,logmel_boundary_w05,3,42,logmel,True,64,8000.0,0.5,5.0,,,,,11,0.924812030075188,0.8928571428571429,0.890625
cv5_boundary_fold4_logmel_w05_seed42,logmel_boundary_w05,4,42,logmel,True,64,8000.0,0.5,5.0,,,,,13,0.9666295884315906,0.9226190476190477,0.9220779220779222
cv5_boundary_fold0_logmel_w05_seed2024,logmel_boundary_w05,0,2024,logmel,True,64,8000.0,0.5,5.0,,,,,6,0.9583217560433455,0.9285714285714286,0.9282051282051282
cv5_boundary_fold1_logmel_w05_seed2024,logmel_boundary_w05,1,2024,logmel,True,64,8000.0,0.5,5.0,,,,,14,0.949944382647386,0.9047619047619048,0.9057241444507469
cv5_boundary_fold2_logmel_w05_seed2024,logmel_boundary_w05,2,2024,logmel,True,64,8000.0,0.5,5.0,,,,,29,0.949944382647386,0.9285714285714286,0.927949628127113
cv5_boundary_fold3_logmel_w05_seed2024,logmel_boundary_w05,3,2024,logmel,True,64,8000.0,0.5,5.0,,,,,8,0.9416504584606835,0.9226190476190477,0.922077922077922
cv5_boundary_fold4_logmel_w05_seed2024,logmel_boundary_w05,4,2024,logmel,True,64,8000.0,0.5,5.0,,,,,23,0.95,0.9166666666666666,0.916235530356721
cv5_boundary_fold0_logmel_w05_seed3407,logmel_boundary_w05,0,3407,logmel,True,64,8000.0,0.5,5.0,,,,,6,0.9415204678362573,0.9166666666666666,0.9166193987521271
cv5_boundary_fold1_logmel_w05_seed3407,logmel_boundary_w05,1,3407,logmel,True,64,8000.0,0.5,5.0,,,,,18,0.9497767857142857,0.9166666666666666,0.9174904788914999
cv5_boundary_fold2_logmel_w05_seed3407,logmel_boundary_w05,2,3407,logmel,True,64,8000.0,0.5,5.0,,,,,16,0.9333333333333333,0.9345238095238095,0.9340384388036006
cv5_boundary_fold3_logmel_w05_seed3407,logmel_boundary_w05,3,3407,logmel,True,64,8000.0,0.5,5.0,,,,,22,0.9249791608780217,0.8988095238095238,0.8992351428184648
cv5_boundary_fold4_logmel_w05_seed3407,logmel_boundary_w05,4,3407,logmel,True,64,8000.0,0.5,5.0,,,,,18,0.9497767857142857,0.9107142857142857,0.9096774193548387
cv5_boundary_fold0_logmel_w10_seed42,logmel_boundary_w10,0,42,logmel,True,64,8000.0,1.0,5.0,,,,,4,0.9582289055973265,0.8809523809523809,0.8809523809523809
cv5_boundary_fold1_logmel_w10_seed42,logmel_boundary_w10,1,42,logmel,True,64,8000.0,1.0,5.0,,,,,12,0.9416504584606835,0.8928571428571429,0.8914249615469128
cv5_boundary_fold2_logmel_w10_seed42,logmel_boundary_w10,2,42,logmel,True,64,8000.0,1.0,5.0,,,,,24,0.9497767857142857,0.9226190476190477,0.922077922077922
cv5_boundary_fold3_logmel_w10_seed42,logmel_boundary_w10,3,42,logmel,True,64,8000.0,1.0,5.0,,,,,4,0.9245336348219333,0.9226190476190477,0.9226080793763289
cv5_boundary_fold4_logmel_w10_seed42,logmel_boundary_w10,4,42,logmel,True,64,8000.0,1.0,5.0,,,,,21,0.9495477671000565,0.9166666666666666,0.9166193987521271
cv5_boundary_fold0_logmel_w10_seed2024,logmel_boundary_w10,0,2024,logmel,True,64,8000.0,1.0,5.0,,,,,11,0.949944382647386,0.9166666666666666,0.9162393162393162
cv5_boundary_fold1_logmel_w10_seed2024,logmel_boundary_w10,1,2024,logmel,True,64,8000.0,1.0,5.0,,,,,22,0.949944382647386,0.8869047619047619,0.8880625167050672
cv5_boundary_fold2_logmel_w10_seed2024,logmel_boundary_w10,2,2024,logmel,True,64,8000.0,1.0,5.0,,,,,10,0.9412587412587412,0.9166666666666666,0.9159525016903314
cv5_boundary_fold3_logmel_w10_seed2024,logmel_boundary_w10,3,2024,logmel,True,64,8000.0,1.0,5.0,,,,,15,0.9249791608780217,0.9166666666666666,0.9166193987521271
cv5_boundary_fold4_logmel_w10_seed2024,logmel_boundary_w10,4,2024,logmel,True,64,8000.0,1.0,5.0,,,,,20,0.9413510457885811,0.9345238095238095,0.9344401873137504
cv5_boundary_fold0_logmel_w10_seed3407,logmel_boundary_w10,0,3407,logmel,True,64,8000.0,1.0,5.0,,,,,5,0.9583217560433455,0.9226190476190477,0.9217204301075269
cv5_boundary_fold1_logmel_w10_seed3407,logmel_boundary_w10,1,3407,logmel,True,64,8000.0,1.0,5.0,,,,,17,0.9497767857142857,0.9166666666666666,0.9174904788914999
cv5_boundary_fold2_logmel_w10_seed3407,logmel_boundary_w10,2,3407,logmel,True,64,8000.0,1.0,5.0,,,,,29,0.949944382647386,0.9285714285714286,0.927949628127113
cv5_boundary_fold3_logmel_w10_seed3407,logmel_boundary_w10,3,3407,logmel,True,64,8000.0,1.0,5.0,,,,,22,0.9326599326599327,0.9107142857142857,0.9107016300496102
