model,n,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_best_val,mean_gate,max_gate
mctafd_no_se_gated,25,0.920468693318299,0.013983826025435133,0.8820747746416433,0.9523539421440725,0.9494770995289089,0.018277701754122973,0.019652292132377625
mctafd_no_se_gated_boundary_w02,15,0.9190210510664865,0.0182600542570544,0.8761633011413521,0.946360153256705,0.9464825510852388,0.01827197028324008,0.019479066133499146
mctafd_no_se_boundary_w10,15,0.9169219899879463,0.013438941664162433,0.8997847919655666,0.9464209780297661,0.9419206750617201,,
logmel_boundary_w05,15,0.9156047679819533,0.014468260619675925,0.890625,0.9404424276800907,0.9449298893034705,,
logmel_boundary_w02,15,0.9153886484117727,0.01795010323483735,0.8689733408961997,0.9404424276800907,0.9492674003010466,,
mctafd_no_se_boundary_w05,15,0.9142588780840755,0.01737166162975899,0.8875076547269842,0.9522727272727273,0.9443012995649084,,
mctafd_se,25,0.9140795925088306,0.01311192439786277,0.8901248300580893,0.9404424276800907,0.9401722324565175,,
mctafd_no_se_gated_boundary_w05,15,0.9137990390709864,0.015221275891275901,0.8684316182850274,0.928409090909091,0.9449071593484003,0.01822068728506565,0.019469205290079117
logmel_boundary_w10,15,0.9124292928827907,0.015125783694570533,0.8809523809523809,0.9344401873137504,0.9442232370230179,,
logmel,25,0.9119200448644631,0.017027731933877792,0.8749822820694543,0.9344401873137506,0.9454417736104231,,
mctafd_no_se_direct,25,0.9106633159037062,0.019635109916256843,0.8603357151549923,0.9523809523809523,0.9428097526427272,,
mctafd_no_se_boundary_w02,15,0.9078982073998764,0.019583961509485978,0.8739024390243901,0.9345145287030475,0.945842127969327,,
