filepath,y_true,y_pred,prob_cough,prob_other
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_02-21-56_604_t0000189000.wav,cough,other,0.3749922811985016,0.625007688999176
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_10-16-29_272_t0000051000.wav,cough,other,0.474365085363388,0.5256349444389343
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_03-52-02_333_t0000218000.wav,cough,other,0.3678202927112579,0.6321796774864197
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_07-46-18_740_t0000158000.wav,other,cough,0.5335075855255127,0.4664924144744873
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_08-22-21_043_t0000352000.wav,other,cough,0.5171412825584412,0.4828587174415588
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_02-33-57_095_t0000024000.wav,cough,other,0.3473824262619018,0.6526175737380981
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_02-39-57_569_t0000046000.wav,cough,other,0.320928007364273,0.6790720224380493
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_11-58-36_255_t0000269000.wav,other,cough,0.7463017106056213,0.2536982893943786
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_12-16-37_446_t0000198000.wav,cough,other,0.419727087020874,0.580272912979126
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_02-27-56_846_t0000048000.wav,cough,other,0.453779011964798,0.5462209582328796
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_04-16-04_352_t0000322000.wav,cough,other,0.273877739906311,0.726122260093689
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_08-04-19_788_t0000175000.wav,other,cough,0.6173988580703735,0.3826011121273041
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_06-58-15_681_t0000180000.wav,other,cough,0.6908009052276611,0.3091991245746612
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_04-34-05_333_t0000337000.wav,other,cough,0.7432954907417297,0.2567044794559479
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_14-52-48_424_t0000356000.wav,cough,other,0.3936568200588226,0.6063432097434998
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_08-16-20_635_t0000278000.wav,other,cough,0.6842074990272522,0.3157925009727478
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_07-10-16_555_t0000298000.wav,other,cough,0.6453044414520264,0.3546955287456512
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_05-22-09_088_t0000202000.wav,other,cough,0.645474374294281,0.3545256555080414
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_01-45-54_312_t0000247000.wav,cough,other,0.3684848546981811,0.6315151453018188
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_12-16-37_446_t0000241000.wav,cough,other,0.4963754117488861,0.5036246180534363
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_02-39-57_569_t0000085000.wav,other,cough,0.5445080399513245,0.4554919302463531
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_02-03-55_346_t0000159000.wav,cough,other,0.4176442623138428,0.5823557376861572
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_11-46-35_513_t0000254000.wav,other,cough,0.8437656164169312,0.1562343835830688
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_12-16-37_446_t0000355000.wav,other,cough,0.6250324249267578,0.3749675452709198
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_03-52-02_333_t0000236000.wav,cough,other,0.4496393799781799,0.5503605604171753
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_00-51-50_372_t0000180000.wav,other,cough,0.5299698114395142,0.4700301885604858
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_09-28-25_922_t0000143000.wav,other,cough,0.7702648043632507,0.229735180735588
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_01-51-54_564_t0000013000.wav,other,cough,0.5044702887535095,0.4955297708511352
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_07-58-19_477_t0000143000.wav,other,cough,0.5732296109199524,0.4267703294754028
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_11-52-35_892_t0000235000.wav,other,cough,0.6240536570549011,0.3759463429450989
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_12-16-37_446_t0000028000.wav,other,cough,0.7939499020576477,0.2060500830411911
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_04-28-05_047_t0000084000.wav,cough,other,0.3585562705993652,0.64144366979599
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_04-16-04_352_t0000284000.wav,cough,other,0.4093330502510071,0.5906669497489929
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_08-22-21_043_t0000264000.wav,other,cough,0.5145841836929321,0.4854158163070678
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_08-04-19_788_t0000115000.wav,other,cough,0.568229615688324,0.431770384311676
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_15-04-48_982_t0000060000.wav,other,cough,0.7696893811225891,0.2303106635808944
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_14-52-48_424_t0000255000.wav,other,cough,0.5271709561347961,0.4728290736675262
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_06-04-11_764_t0000295000.wav,other,cough,0.6431208848953247,0.3568791449069977
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_10-58-32_034_t0000090000.wav,other,cough,0.7164435386657715,0.2835565209388733
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_05-10-08_068_t0000112000.wav,other,cough,0.8368732929229736,0.1631266623735427
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_04-34-05_333_t0000199000.wav,cough,other,0.3644711375236511,0.6355288624763489
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_04-16-04_352_t0000276000.wav,cough,other,0.3469921052455902,0.6530079245567322
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_01-03-51_362_t0000129000.wav,other,cough,0.562268853187561,0.4377311170101166
data\processed\cough_silence_binary\cough\aswine_ALA_E_2_2020-09-30_03-52-02_333_t0000119000.wav,cough,other,0.3001737296581268,0.6998263001441956
data\processed\cough_silence_binary\other\aswine_ALA_E_2_2020-09-30_01-21-52_571_t0000107000.wav,other,cough,0.6058461666107178,0.3941537737846374
