frame_idx,start_s,end_s,prob_cough,prob_cough_smooth
0,0.0,1.0,0.7880949378013611,0.7880949378013611
1,0.1,1.1,0.6228635311126709,0.6228635311126709
2,0.2,1.2,0.6588276028633118,0.6588276028633118
3,0.3,1.3,0.63896644115448,0.63896644115448
4,0.4,1.4,0.6299996376037598,0.6299996376037598
5,0.5,1.5,0.6418126821517944,0.6418126821517944
6,0.6,1.6,0.662946343421936,0.662946343421936
7,0.7,1.7,0.7351223826408386,0.7351223826408386
8,0.8,1.8,0.7352133393287659,0.7352133393287659
9,0.9,1.9,0.702760636806488,0.702760636806488
10,1.0,2.0,0.738621711730957,0.738621711730957
11,1.1,2.1,0.6674548387527466,0.6674548387527466
12,1.2,2.2,0.5799349546432495,0.5799349546432495
13,1.3,2.3,0.5886334180831909,0.5886334180831909
14,1.4,2.4,0.5419450998306274,0.5419450998306274
15,1.5,2.5,0.5457260012626648,0.5457260012626648
16,1.6,2.6,0.8666402697563171,0.8666402697563171
17,1.7,2.7,0.8725951313972473,0.8725951313972473
18,1.8,2.8,0.8133347630500793,0.8133347630500793
19,1.9,2.9,0.8176723718643188,0.8176723718643188
20,2.0,3.0,0.7993930578231812,0.7993930578231812
21,2.1,3.1,0.797784686088562,0.797784686088562
22,2.2,3.2,0.7470502853393555,0.7470502853393555
23,2.3,3.3,0.7582380175590515,0.7582380175590515
24,2.4,3.4,0.7361164689064026,0.7361164689064026
25,2.5,3.5,0.6511102914810181,0.6511102914810181
26,2.6,3.6,0.6376684904098511,0.6376684904098511
27,2.7,3.7,0.6284511685371399,0.6284511685371399
28,2.8,3.8,0.6568055748939514,0.6568055748939514
29,2.9,3.9,0.6803781986236572,0.6803781986236572
30,3.0,4.0,0.6557817459106445,0.6557817459106445
31,3.1,4.1,0.6484192609786987,0.6484192609786987
32,3.2,4.2,0.6172696948051453,0.6172696948051453
33,3.3,4.3,0.5322678089141846,0.5322678089141846
34,3.4,4.4,0.5446620583534241,0.5446620583534241
35,3.5,4.5,0.507905900478363,0.507905900478363
36,3.6,4.6,0.5749793648719788,0.5749793648719788
37,3.7,4.7,0.6078318953514099,0.6078318953514099
38,3.8,4.8,0.6230292320251465,0.6230292320251465
39,3.9,4.9,0.557044506072998,0.557044506072998
40,4.0,5.0,0.4903106689453125,0.4903106689453125
41,4.1,5.1,0.5148553848266602,0.5148553848266602
42,4.2,5.2,0.5225528478622437,0.5225528478622437
43,4.3,5.3,0.5902479887008667,0.5902479887008667
44,4.4,5.4,0.5936396718025208,0.5936396718025208
45,4.5,5.5,0.5872978568077087,0.5872978568077087
46,4.6,5.6,0.6106534004211426,0.6106534004211426
47,4.7,5.7,0.6396896839141846,0.6396896839141846
48,4.8,5.8,0.6343554258346558,0.6343554258346558
49,4.9,5.9,0.6047942638397217,0.6047942638397217
50,5.0,6.0,0.8452010154724121,0.8452010154724121
51,5.1,6.1,0.8731784820556641,0.8731784820556641
52,5.2,6.2,0.8463412523269653,0.8463412523269653
53,5.3,6.3,0.8251921534538269,0.8251921534538269
54,5.4,6.4,0.8211995959281921,0.8211995959281921
55,5.5,6.5,0.7942247986793518,0.7942247986793518
56,5.6,6.6,0.7508691549301147,0.7508691549301147
