experiment,model,fold,seed,test_macro_f1,test_acc,test_aux_macro_f1,best_val_macro_f1,best_epoch,hier_aux_weight
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w02_seed42,logmel_dur2_hier_w02,0,42,0.9523809523809523,0.9523809523809523,0.7873354054662652,0.9833333333333334,9,0.2
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w02_seed42,logmel_dur2_hier_w02,1,42,0.9521367521367521,0.9523809523809523,0.7287937327491081,0.9833147942157954,6,0.2
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w02_seed42,logmel_dur2_hier_w02,2,42,0.9583274273564847,0.9583333333333334,0.8738491121469845,0.9749930536260072,30,0.2
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w02_seed42,logmel_dur2_hier_w02,3,42,0.9521367521367521,0.9523809523809523,0.7914340624556435,0.9583217560433455,19,0.2
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w02_seed42,logmel_dur2_hier_w02,4,42,0.9642045454545454,0.9642857142857143,0.8008622348951334,0.9583217560433455,20,0.2
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w02_seed123,logmel_dur2_hier_w02,0,123,0.9142857142857143,0.9166666666666666,0.7316201183034213,0.9916643512086691,28,0.2
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w02_seed123,logmel_dur2_hier_w02,1,123,0.9641025641025642,0.9642857142857143,0.8356917268830365,0.9749930536260072,18,0.2
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w02_seed123,logmel_dur2_hier_w02,2,123,0.9583274273564847,0.9583333333333334,0.8660532043510766,0.9749930536260072,29,0.2
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w02_seed123,logmel_dur2_hier_w02,3,123,0.9582801191996594,0.9583333333333334,0.8209749473519364,0.9666666666666668,26,0.2
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w02_seed123,logmel_dur2_hier_w02,4,123,0.9522727272727273,0.9523809523809523,0.7939128308104212,0.9666666666666668,12,0.2
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w02_seed777,logmel_dur2_hier_w02,0,777,0.9285309132161088,0.9285714285714286,0.7050812162354952,0.9833333333333334,6,0.2
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w02_seed777,logmel_dur2_hier_w02,1,777,0.9580419580419581,0.9583333333333334,0.8074014313865939,0.9749930536260072,15,0.2
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w02_seed777,logmel_dur2_hier_w02,2,777,0.9583274273564847,0.9583333333333334,0.7972997909523216,0.9833147942157954,28,0.2
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w02_seed777,logmel_dur2_hier_w02,3,777,0.9401709401709402,0.9404761904761905,0.8402681912529749,0.9666295884315906,17,0.2
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w02_seed777,logmel_dur2_hier_w02,4,777,0.9523809523809523,0.9523809523809523,0.7615789403832882,0.9582289055973267,4,0.2
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w02_seed2024,logmel_dur2_hier_w02,0,2024,0.9523809523809523,0.9523809523809523,0.6987738565374452,0.9833333333333334,14,0.2
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w02_seed2024,logmel_dur2_hier_w02,1,2024,0.9337634408602151,0.9345238095238095,0.7196634833082567,0.9666295884315906,8,0.2
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w02_seed2024,logmel_dur2_hier_w02,2,2024,0.9464209780297661,0.9464285714285714,0.8442334552308978,0.9833333333333334,27,0.2
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w02_seed2024,logmel_dur2_hier_w02,3,2024,0.946053946053946,0.9464285714285714,0.8000444645793484,0.9749930536260072,14,0.2
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w02_seed2024,logmel_dur2_hier_w02,4,2024,0.9642654566080544,0.9642857142857143,0.7983600357424924,0.9666666666666668,21,0.2
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w02_seed3407,logmel_dur2_hier_w02,0,3407,0.9285309132161088,0.9285714285714286,0.7536026829933639,0.9833333333333334,17,0.2
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w02_seed3407,logmel_dur2_hier_w02,1,3407,0.9582801191996595,0.9583333333333334,0.7293104447341735,0.9666666666666668,8,0.2
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w02_seed3407,logmel_dur2_hier_w02,2,3407,0.9583274273564847,0.9583333333333334,0.8819585194871236,0.9916643512086691,25,0.2
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w02_seed3407,logmel_dur2_hier_w02,3,3407,0.9404761904761905,0.9404761904761905,0.7590142948405266,0.9583217560433455,20,0.2
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w02_seed3407,logmel_dur2_hier_w02,4,3407,0.9702338766832035,0.9702380952380952,0.7409544291149982,0.9749373433583959,11,0.2
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed42,logmel_dur2_hier_w05,0,42,0.9403409090909091,0.9404761904761905,0.7658579149485272,0.9833333333333334,14,0.5
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed42,logmel_dur2_hier_w05,1,42,0.9404424276800907,0.9404761904761905,0.734949077566009,0.9666666666666668,3,0.5
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed42,logmel_dur2_hier_w05,2,42,0.9464209780297661,0.9464285714285714,0.7498025375417297,0.9833333333333334,17,0.5
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed42,logmel_dur2_hier_w05,3,42,0.9462380884653676,0.9464285714285714,0.7260744701921172,0.949944382647386,8,0.5
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed42,logmel_dur2_hier_w05,4,42,0.9702338766832035,0.9702380952380952,0.7733066503656468,0.9666666666666668,9,0.5
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,0,123,0.9340659340659341,0.9345238095238095,0.7005430242272347,0.9833333333333334,19,0.5
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,1,123,0.9521367521367521,0.9523809523809523,0.7842482447524465,0.9749930536260072,6,0.5
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,2,123,0.9523809523809523,0.9523809523809523,0.8679496977425534,0.9833333333333334,29,0.5
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,3,123,0.9581851799175082,0.9583333333333334,0.8114319533999937,0.9666666666666668,10,0.5
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w05_seed123,logmel_dur2_hier_w05,4,123,0.9642857142857144,0.9642857142857143,0.7759116923824534,0.9666666666666668,10,0.5
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w05_seed777,logmel_dur2_hier_w05,0,777,0.9464209780297661,0.9464285714285714,0.7239024864024864,0.9833333333333334,11,0.5
