experiment,feature_mode,use_se,seed,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
ablation_3class_logmel,logmel,True,3407,,,,,,,,,,6,1.0,1.0,1.0
ablation_3class_mctafd,mctafd,True,3407,,,,,,,,,,6,1.0,0.9904761904761905,0.9904742464448527
ablation_3class_mctafd_no_se,mctafd,False,3407,,,,,,,,,,7,1.0,1.0,1.0
ablation_3class_mel_mfcc,mel_mfcc,True,3407,,,,,,,,,,5,1.0,0.9904761904761905,0.9904742464448527
ablation_3class_mel_mfcc_dyn,mel_mfcc_dyn,True,3407,,,,,,,,,,6,1.0,1.0,1.0
ablation_3class_mel_mfcc_dyn_flux,mel_mfcc_dyn_flux,True,3407,,,,,,,,,,8,1.0,1.0,1.0
ablation_4class_logmel,logmel,True,3407,,,,,,,,,,28,0.9370988446726572,0.9375,0.9371464487743557
ablation_4class_logmel_seed1234,logmel,True,1234,,,,,,,,,,21,0.95,0.925,0.925
ablation_4class_logmel_seed2024,logmel,True,2024,,,,,,,,,,10,0.9244043695263208,0.9125,0.9111111111111111
ablation_4class_logmel_seed3407,logmel,True,3407,,,,,,,,,,10,0.911538097939119,0.9125,0.9120050282840981
ablation_4class_logmel_seed42,logmel,True,42,,,,,,,,,,29,0.949874686716792,0.925,0.925
ablation_4class_logmel_seed777,logmel,True,777,,,,,,,,,,6,0.9243511569731082,0.925,0.924812030075188
ablation_4class_mctafd,mctafd,True,3407,,,,,,,,,,22,0.95,0.9375,0.9371464487743557
ablation_4class_mctafd_no_se,mctafd,False,3407,,,,,,,,,,34,0.9624765478424016,0.95,0.949874686716792
ablation_4class_mctafd_no_se_seed1234,mctafd,False,1234,,,,,,,,,,29,0.9622878692646134,0.9125,0.9124452782989367
ablation_4class_mctafd_no_se_seed2024,mctafd,False,2024,,,,,,,,,,6,0.9242424242424243,0.925,0.9242424242424243
ablation_4class_mctafd_no_se_seed3407,mctafd,False,3407,,,,,,,,,,20,0.9371464487743557,0.95,0.949874686716792
ablation_4class_mctafd_no_se_seed42,mctafd,False,42,,,,,,,,,,6,0.8989860941080454,0.925,0.924812030075188
ablation_4class_mctafd_no_se_seed777,mctafd,False,777,,,,,,,,,,8,0.9243511569731082,0.9125,0.9124452782989367
ablation_4class_mctafd_seed1234,mctafd,True,1234,,,,,,,,,,6,0.9240972442191955,0.8875,0.8868636077938404
ablation_4class_mctafd_seed2024,mctafd,True,2024,,,,,,,,,,14,0.8989860941080454,0.925,0.924812030075188
ablation_4class_mctafd_seed3407,mctafd,True,3407,,,,,,,,,,28,0.95,0.925,0.9242424242424243
ablation_4class_mctafd_seed42,mctafd,True,42,,,,,,,,,,2,0.911538097939119,0.9125,0.9120050282840981
ablation_4class_mctafd_seed777,mctafd,True,777,,,,,,,,,,20,0.949671669793621,0.95,0.95
ablation_4class_mel_mfcc,mel_mfcc,True,3407,,,,,,,,,,11,0.9371464487743557,0.875,0.87468671679198
ablation_4class_mel_mfcc_dyn,mel_mfcc_dyn,True,3407,,,,,,,,,,3,0.8989860941080454,0.9,0.8976982097186701
ablation_4class_mel_mfcc_dyn_flux,mel_mfcc_dyn_flux,True,3407,,,,,,,,,,11,0.924812030075188,0.925,0.924812030075188
ablation_4class_mel_mfcc_dyn_flux_seed1234,mel_mfcc_dyn_flux,True,1234,,,,,,,,,,16,0.9374609130706691,0.9125,0.9120050282840981
ablation_4class_mel_mfcc_dyn_flux_seed2024,mel_mfcc_dyn_flux,True,2024,,,,,,,,,,14,0.949874686716792,0.95,0.949874686716792
ablation_4class_mel_mfcc_dyn_flux_seed3407,mel_mfcc_dyn_flux,True,3407,,,,,,,,,,12,0.9370988446726572,0.9375,0.9374609130706691
ablation_4class_mel_mfcc_dyn_flux_seed42,mel_mfcc_dyn_flux,True,42,,,,,,,,,,25,0.9374609130706691,0.925,0.9242424242424243
ablation_4class_mel_mfcc_dyn_flux_seed777,mel_mfcc_dyn_flux,True,777,,,,,,,,,,6,0.8850789096126255,0.9125,0.9097356544165055
ablation_4class_mel_mfcc_dyn_seed1234,mel_mfcc_dyn,True,1234,,,,,,,,,,5,0.8985879332477535,0.9,0.899749373433584
ablation_4class_mel_mfcc_dyn_seed2024,mel_mfcc_dyn,True,2024,,,,,,,,,,3,0.8989860941080454,0.8875,0.8868636077938404
