method,prototype_temperature,softmax_temperature,softmax_weight,hier_aux_prob_weight,fusion_kind,n,top1_acc,macro_f1,top2_acc,ece,brier,nll
raw_softmax,,,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.011108221113681756,0.02984333038330078,0.052738256752491
calibrated_softmax,,0.5,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.018637203176816258,0.03275284916162491,0.07497727125883102
calibrated_softmax,,0.75,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.01693185269832608,0.03125891834497452,0.056341078132390976
calibrated_softmax,,1.0,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.011108221610387128,0.02984333038330078,0.052738264203071594
calibrated_softmax,,1.5,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.03373221059640249,0.030592788010835648,0.06894881278276443
calibrated_softmax,,2.0,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.07588363736867905,0.03834307938814163,0.10710466653108597
prototype,0.03,,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.01804209351539617,0.03405429422855377,0.1238556057214737
hierarchical,0.03,,,0.5,,120,0.9833333333333333,0.9833333333333334,1.0,0.018506461381912184,0.032596662640571594,0.10922730714082718
prototype,0.05,,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.01925930331150686,0.03405575081706047,0.078597791492939
hierarchical,0.05,,,0.5,,120,0.9833333333333333,0.9833333333333334,1.0,0.018385628859202037,0.03160808980464935,0.07265175133943558
prototype,0.07,,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.01620578567186987,0.033121172338724136,0.06334619224071503
hierarchical,0.07,,,0.5,,120,0.9833333333333333,0.9833333333333334,1.0,0.014704842368761668,0.030756698921322823,0.061015237122774124
prototype,0.1,,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.01654675950606669,0.0321713462471962,0.06131213158369064
hierarchical,0.1,,,0.5,,120,0.9833333333333333,0.9833333333333334,1.0,0.021321554978688595,0.03063296154141426,0.06183605268597603
prototype,0.2,,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.07247913678487142,0.04670201987028122,0.11191706359386444
hierarchical,0.2,,,0.5,,120,0.9833333333333333,0.9833333333333334,1.0,0.08201708247264226,0.048702411353588104,0.11650191992521286
prototype,0.5,,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.2876964762806893,0.1662309318780899,0.3830033540725708
hierarchical,0.5,,,0.5,,120,0.975,0.9749930536260072,1.0,0.2954793989658356,0.17829129099845886,0.398336261510849
prototype,1.0,,,,,120,0.9833333333333333,0.9833333333333334,1.0,0.49693335394064586,0.37077128887176514,0.7314926385879517
hierarchical,1.0,,,0.5,,120,0.95,0.9494949494949495,1.0,0.46709382484356565,0.3846703767776489,0.7499738335609436
fused,0.07,1.0,0.0,0.5,pure_prototype,120,0.9833333333333333,0.9833333333333334,1.0,0.014704842368761668,0.030756698921322823,0.061015237122774124
fused,0.07,1.0,0.25,0.5,mixed,120,0.9833333333333333,0.9833333333333334,1.0,0.013805666069189678,0.030476374551653862,0.05696861073374748
fused,0.07,1.0,0.5,0.5,mixed,120,0.9833333333333333,0.9833333333333334,1.0,0.012906491259733806,0.030230704694986343,0.05482441931962967
fused,0.07,1.0,0.75,0.5,mixed,120,0.9833333333333333,0.9833333333333334,1.0,0.012007431189219127,0.030019689351320267,0.0535355880856514
fused,0.07,1.0,1.0,0.5,pure_softmax,120,0.9833333333333333,0.9833333333333334,1.0,0.011108221610387128,0.02984333038330078,0.052738260477781296
