path,in_reference,in_reproduced,duplicate_in_reference,duplicate_in_reproduced,reference_y_true,reference_y_pred,reproduced_y_true,reproduced_y_pred,y_true_match,y_pred_match,absdiff_prob_cough,absdiff_prob_calm_grunt,absdiff_prob_feeding,absdiff_prob_stress_vocal,prediction_match
data/external/korea_raw/abdominal_cough/train_abdominal_00796.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,7.144990381437828e-09,7.752532837905664e-09,1.038642949424684e-08,True
data/external/korea_raw/abdominal_cough/train_abdominal_01901.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,1.0622897221156807e-09,8.003553375601768e-09,5.4697011364623904e-09,True
data/external/korea_raw/abdominal_cough/train_abdominal_02656.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,2.898741521963717e-08,2.98969098366797e-08,7.223206921480596e-09,True
data/external/korea_raw/abdominal_cough/train_abdominal_02792.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,6.3111656349547e-08,7.781636668369174e-09,5.8116711443323996e-09,True
data/external/korea_raw/abdominal_cough/train_abdominal_02829.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,3.652530731213248e-08,3.3032847568392754e-09,3.157765604555607e-09,True
data/external/korea_raw/abdominal_cough/train_abdominal_06519.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928966180355e-07,5.160109137111171e-08,1.765147317200899e-08,1.64454831974547e-08,True
data/external/korea_raw/abdominal_cough/train_abdominal_06755.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1102230246251565e-16,1.2994860300883163e-08,7.981725502759218e-09,5.686160875480959e-09,True
data/external/korea_raw/abdominal_cough/train_abdominal_07651.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,5.8018485946841536e-08,2.1482264855876565e-08,5.253968993201852e-08,True
data/external/korea_raw/abdominal_cough/train_abdominal_09464.wav,True,True,False,False,cough,cough,cough,cough,True,True,2.384185791015625e-07,5.87751856877402e-08,3.291279426775873e-08,3.1757735996510496e-08,True
data/external/korea_raw/abdominal_cough/train_abdominal_10561.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,8.32660589419735e-08,6.78264768794179e-08,1.9084836822003126e-08,True
data/external/korea_raw/abdominal_cough/train_abdominal_11185.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1102230246251565e-16,1.7025741521920629e-09,8.581992005929351e-09,3.372406354174018e-09,True
data/external/korea_raw/abdominal_cough/train_abdominal_11812.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928943975895e-07,4.361208996765892e-08,3.9071892388165e-09,7.2432158049196005e-09,True
data/external/korea_raw/abdominal_cough/train_abdominal_12145.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,2.2802851259426165e-08,2.7976057026535273e-09,9.222276275943611e-10,True
data/external/korea_raw/abdominal_cough/train_abdominal_12771.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928943975895e-07,8.400820668047395e-08,3.803870640695095e-08,1.6223566490222106e-08,True
data/external/korea_raw/abdominal_cough/train_abdominal_12917.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,1.7462291148121444e-10,5.820766091346741e-11,1.8189894035458565e-11,True
data/external/korea_raw/abdominal_cough/train_abdominal_12982.wav,True,True,False,False,cough,cough,cough,cough,True,True,3.5762786865234375e-07,1.3026874513409788e-07,1.467560650780797e-08,5.7119905250146985e-08,True
data/external/korea_raw/abdominal_cough/train_abdominal_15940.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,1.0622898118388315e-08,1.550506567582488e-08,2.7066562324762344e-09,True
data/external/korea_raw/abdominal_cough/train_abdominal_16083.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928966180355e-07,6.878690321442354e-08,4.848334356211126e-08,1.853004505392164e-08,True
data/external/korea_raw/abdominal_cough/train_abdominal_16922.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,3.309105531989131e-08,4.6136847231537104e-08,5.145921022631228e-09,True
data/external/korea_raw/dry_cough/train_dry_02492.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928943975895e-07,6.709888118887927e-08,2.1595042198896408e-08,2.601882442831993e-08,True
data/external/korea_raw/dry_cough/train_dry_02549.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,2.5800545654520567e-08,4.583853297003321e-10,7.42329575587064e-09,True
data/external/korea_raw/dry_cough/train_dry_02626.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,5.454057823488191e-08,2.0823790691792965e-08,2.0507286535575986e-08,True
data/external/korea_raw/dry_cough/train_dry_03643.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,1.6210833511952393e-08,1.0113581083714962e-08,1.3671524357050657e-08,True
data/external/korea_raw/dry_cough/train_dry_05000.wav,True,True,False,False,cough,cough,cough,cough,True,True,3.5762786865234375e-07,7.182825348991517e-08,1.4650140656158328e-08,2.2543827061843793e-07,True
data/external/korea_raw/dry_cough/train_dry_05639.wav,True,True,False,False,cough,cough,cough,cough,True,True,2.384185791015625e-07,8.333881852632817e-08,4.549656296148896e-08,1.2156306183896959e-08,True
data/external/korea_raw/dry_cough/train_dry_06162.wav,True,True,False,False,cough,cough,cough,cough,True,True,2.384185791015625e-07,5.983747539858018e-08,7.213384378701448e-08,1.7140337149612606e-08,True
data/external/korea_raw/dry_cough/train_dry_06309.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,1.0782969109545413e-08,5.915353540331125e-09,2.701199264268985e-09,True
data/external/korea_raw/dry_cough/train_dry_07123.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928943975895e-07,9.538780422618256e-08,5.8673322200775146e-08,4.54147084383294e-08,True
data/external/korea_raw/dry_cough/train_dry_07298.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,1.45839294387061e-07,7.773633114993572e-08,3.2501702662557364e-08,True
data/external/korea_raw/dry_cough/train_dry_07981.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1102230246251565e-16,7.246853748056441e-09,1.280568540096283e-09,1.2332748156007026e-09,True
data/external/korea_raw/dry_cough/train_dry_08199.wav,True,True,False,False,cough,cough,cough,cough,True,True,7.152557371936652e-07,2.123415470107028e-07,1.9352228264324367e-08,4.21365257282009e-07,True
data/external/korea_raw/dry_cough/train_dry_09210.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,1.798616716864763e-08,2.274464350193739e-08,8.253846315355853e-08,True
data/external/korea_raw/dry_cough/train_dry_10367.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,1.9295839539010913e-08,1.884473022074185e-08,1.7524143913757393e-08,True
data/external/korea_raw/dry_cough/train_dry_10489.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1102230246251565e-16,6.140908224337932e-09,1.573789631947875e-08,4.447429091669619e-09,True
data/external/korea_raw/dry_cough/train_dry_10945.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1920928955078125e-07,1.7360434805669235e-08,9.080395102500916e-09,7.73070496506989e-09,True
data/external/korea_raw/dry_cough/train_dry_14116.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,2.657179720843444e-08,4.43833414465189e-10,5.647962098009884e-09,True
data/external/korea_raw/dry_cough/train_dry_14634.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,2.2933818316124436e-08,1.542139216326177e-08,1.1043084668926895e-08,True
data/external/korea_raw/dry_cough/train_dry_14716.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1102230246251565e-16,2.8201611677148653e-08,6.039044819772243e-10,3.194145392626524e-09,True
data/external/korea_raw/dry_cough/train_dry_15001.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,7.769267542804886e-08,1.3431417755782604e-08,8.105416782200336e-09,True
data/external/korea_raw/dry_cough/train_dry_15030.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,4.4659827781674865e-08,1.1736119631677866e-08,1.3435055734586308e-08,True
data/external/korea_raw/dry_cough/train_dry_16658.wav,True,True,False,False,cough,cough,cough,cough,True,True,0.0,9.633367848707001e-09,1.3023964129388332e-08,5.551555659621954e-09,True
data/external/korea_raw/dry_cough/train_dry_17628.wav,True,True,False,False,cough,cough,cough,cough,True,True,1.1102230246251565e-16,3.243621899933348e-08,7.275957313452848e-10,3.485183697193861e-09,True
data/raw/sow_call_dataset_labeled/anxious_stress/1318-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,2.9234797781744907e-08,1.6145349945873022e-08,2.179760485922222e-06,2.205371856689453e-06,True
data/raw/sow_call_dataset_labeled/anxious_stress/1319-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,1.089356374813031e-07,1.7695128959544296e-08,2.364441752438634e-05,2.3663043975830078e-05,True
data/raw/sow_call_dataset_labeled/anxious_stress/1322-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,4.885951057976342e-07,9.097857404791925e-08,1.3692304492017582e-05,1.4305114745982728e-05,True
data/raw/sow_call_dataset_labeled/anxious_stress/1342-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,4.802132724129361e-10,3.550667262920866e-09,5.364418030479046e-07,5.960464477539062e-07,True
data/raw/sow_call_dataset_labeled/anxious_stress/1353-3.wav,True,True,False,False,stress_vocal,feeding,stress_vocal,feeding,True,True,5.433335900386499e-06,7.310882213463696e-08,1.919269561767578e-05,2.467632293701172e-05,True
data/raw/sow_call_dataset_labeled/anxious_stress/1398-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,2.1034793462617837e-08,4.001776687123258e-11,1.1625234038496399e-06,1.1920928955078125e-06,True
data/raw/sow_call_dataset_labeled/anxious_stress/1439-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,2.6263296613177056e-07,3.782042777084526e-08,1.3593584299143036e-05,1.3887882232554993e-05,True
data/raw/sow_call_dataset_labeled/anxious_stress/1461-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,1.3498356574376605e-07,8.873757907819357e-08,0.00012645125389104672,0.00012671947479248047,True
data/raw/sow_call_dataset_labeled/anxious_stress/1464-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,1.3620592661541366e-07,2.158049036941488e-08,6.328336894559014e-06,6.5565109251819464e-06,True
data/raw/sow_call_dataset_labeled/anxious_stress/1473-3.wav,True,True,False,False,stress_vocal,feeding,stress_vocal,feeding,True,True,4.624016583798518e-07,1.1292286207563278e-08,7.891654968261719e-05,7.93635845183771e-05,True
data/raw/sow_call_dataset_labeled/anxious_stress/1477-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,2.1926825866721168e-07,5.657784649153652e-08,1.538917422299474e-05,1.5676021576038757e-05,True
data/raw/sow_call_dataset_labeled/anxious_stress/1479-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,8.748611439251489e-08,1.185981099921041e-08,6.42091035843173e-05,6.443262100219727e-05,True
data/raw/sow_call_dataset_labeled/anxious_stress/1533-3.wav,True,True,False,False,stress_vocal,stress_vocal,stress_vocal,stress_vocal,True,True,1.1621159504393271e-07,2.8376234723965403e-08,3.6670826375814064e-06,3.874301910289368e-06,True
