metrics_json,fold,seed,lambda,feature_backend,input_role,eligible_for_cv_aggregation,leakage_audit_ok,manifest_sha_verified,softmax_reproduction_passed,confusion_matrices_json,raw_softmax_macro_f1,raw_softmax_top1_acc,raw_softmax_top2_acc,raw_softmax_ece,raw_softmax_brier,raw_softmax_nll,calibrated_softmax_macro_f1,calibrated_softmax_top1_acc,calibrated_softmax_top2_acc,calibrated_softmax_ece,calibrated_softmax_brier,calibrated_softmax_nll,prototype_macro_f1,prototype_top1_acc,prototype_top2_acc,prototype_ece,prototype_brier,prototype_nll,hierarchical_macro_f1,hierarchical_top1_acc,hierarchical_top2_acc,hierarchical_ece,hierarchical_brier,hierarchical_nll,fused_macro_f1,fused_top1_acc,fused_top2_acc,fused_ece,fused_brier,fused_nll
reports\prototype_cv5_exact_w05_fold0_seed42\evaluation\metrics.json,0,42,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold0_seed42\evaluation\confusion_matrices.json,0.9403409090909091,0.9404761904761905,1.0,0.028280227666809463,0.08516957610845566,0.1287464201450348,0.9403409090909091,0.9404761904761905,1.0,0.028280227666809463,0.08516957610845566,0.1287464201450348,0.9403409090909091,0.9404761904761905,1.0,0.024948267354851686,0.08473342657089233,0.1288207769393921,0.9403409090909091,0.9404761904761905,1.0,0.024644396844364393,0.08684132993221283,0.13235218822956085,0.9403409090909091,0.9404761904761905,1.0,0.025010039409001688,0.08604064583778381,0.13042089343070984
reports\prototype_cv5_exact_w05_fold0_seed2024\evaluation\metrics.json,0,2024,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold0_seed2024\evaluation\confusion_matrices.json,0.946053946053946,0.9464285714285714,1.0,0.031264880938189375,0.08038715273141861,0.12434657663106918,0.946053946053946,0.9464285714285714,1.0,0.03126488129297893,0.08038715273141861,0.12434659898281097,0.946053946053946,0.9464285714285714,1.0,0.028681987098285122,0.08207868039608002,0.12587325274944305,0.946053946053946,0.9464285714285714,1.0,0.040021836757659884,0.09202014654874802,0.14661702513694763,0.946053946053946,0.9464285714285714,1.0,0.03126488129297893,0.08038715273141861,0.12434659898281097
reports\prototype_cv5_exact_w05_fold0_seed3407\evaluation\metrics.json,0,3407,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold0_seed3407\evaluation\confusion_matrices.json,0.946360153256705,0.9464285714285714,1.0,0.028920732793353863,0.08376077562570572,0.1270635724067688,0.946360153256705,0.9464285714285714,1.0,0.02892072924545834,0.08376077562570572,0.1270635724067688,0.946360153256705,0.9464285714285714,1.0,0.035534498947007324,0.07598350942134857,0.11826877295970917,0.9522727272727273,0.9523809523809523,1.0,0.0341516917660123,0.077241912484169,0.12035036087036133,0.946360153256705,0.9464285714285714,1.0,0.02892072924545834,0.08376077562570572,0.1270635724067688
reports\prototype_cv5_exact_w05_fold1_seed42\evaluation\metrics.json,1,42,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold1_seed42\evaluation\confusion_matrices.json,0.9404424276800907,0.9404761904761905,1.0,0.06906633114530927,0.11126963049173355,0.1914137452840805,0.9404424276800907,0.9404761904761905,1.0,0.02849244503747847,0.0931701809167862,0.15455730259418488,0.9285309132161088,0.9285714285714286,1.0,0.024093540296668117,0.08692402392625809,0.13640210032463074,0.9464209780297661,0.9464285714285714,1.0,0.02684161173445839,0.08256690204143524,0.13670985400676727,0.9464209780297661,0.9464285714285714,1.0,0.02684161173445839,0.08256690204143524,0.13670985400676727
reports\prototype_cv5_exact_w05_fold1_seed2024\evaluation\metrics.json,1,2024,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold1_seed2024\evaluation\confusion_matrices.json,0.9217204301075269,0.9226190476190477,1.0,0.0194095451207388,0.09815725684165955,0.15758930146694183,0.9217204301075269,0.9226190476190477,1.0,0.018682755175090927,0.09830302000045776,0.15252210199832916,0.9523809523809523,0.9523809523809523,1.0,0.039498812385967794,0.06274212896823883,0.10740266740322113,0.9642654566080544,0.9642857142857143,1.0,0.0355458589536803,0.06724539399147034,0.11434309929609299,0.9642654566080544,0.9642857142857143,1.0,0.0355458589536803,0.06724539399147034,0.11434309929609299
reports\prototype_cv5_exact_w05_fold1_seed3407\evaluation\metrics.json,1,3407,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold1_seed3407\evaluation\confusion_matrices.json,0.946053946053946,0.9464285714285714,1.0,0.05272218549535389,0.10298611968755722,0.17309284210205078,0.946053946053946,0.9464285714285714,1.0,0.0269213829721723,0.09563734382390976,0.16309799253940582,0.9464209780297661,0.9464285714285714,1.0,0.026375887649399927,0.0766591876745224,0.12115290015935898,0.9642045454545454,0.9642857142857143,1.0,0.04955383532104037,0.08105477690696716,0.13695882260799408,0.9521367521367521,0.9523809523809523,1.0,0.02941800512018653,0.0855121910572052,0.14135704934597015
reports\prototype_cv5_exact_w05_fold2_seed42\evaluation\metrics.json,2,42,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold2_seed42\evaluation\confusion_matrices.json,0.9464209780297661,0.9464285714285714,1.0,0.027143396082378583,0.07509344816207886,0.1262502670288086,0.9464209780297661,0.9464285714285714,1.0,0.025192238745235268,0.07754646986722946,0.13710252940654755,0.9464209780297661,0.9464285714285714,1.0,0.022303147330170622,0.07469435036182404,0.12739157676696777,0.9464209780297661,0.9464285714285714,1.0,0.023099017285165287,0.07403868436813354,0.12774360179901123,0.9464209780297661,0.9464285714285714,1.0,0.025192238745235268,0.07754646986722946,0.13710252940654755
reports\prototype_cv5_exact_w05_fold2_seed2024\evaluation\metrics.json,2,2024,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold2_seed2024\evaluation\confusion_matrices.json,0.9523539421440725,0.9523809523809523,1.0,0.02086323002974191,0.07052329182624817,0.12388399988412857,0.9523539421440725,0.9523809523809523,1.0,0.02086323144890012,0.07052329182624817,0.12388399988412857,0.9583274273564847,0.9583333333333334,1.0,0.023656783714180854,0.0688459724187851,0.12027338892221451,0.9583274273564847,0.9583333333333334,1.0,0.03857460582540144,0.07912140339612961,0.2274572104215622,0.9523539421440725,0.9523809523809523,1.0,0.02086323144890012,0.07052329182624817,0.12388399988412857
reports\prototype_cv5_exact_w05_fold2_seed3407\evaluation\metrics.json,2,3407,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold2_seed3407\evaluation\confusion_matrices.json,0.9582801191996594,0.9583333333333334,1.0,0.02916644797438669,0.07640931755304337,0.1312766820192337,0.9582801191996594,0.9583333333333334,1.0,0.03781553783587051,0.0767231360077858,0.14226630330085754,0.9583274273564847,0.9583333333333334,1.0,0.038478392930257864,0.07505892217159271,0.13687078654766083,0.9583274273564847,0.9583333333333334,1.0,0.030051241318384762,0.07422608137130737,0.13161616027355194,0.9642654566080544,0.9642857142857143,1.0,0.04067233098404744,0.0753762274980545,0.1381048858165741
reports\prototype_cv5_exact_w05_fold3_seed42\evaluation\metrics.json,3,42,0.5,training_exact,frozen_test,True,True,True,True,reports\prototype_cv5_exact_w05_fold3_seed42\evaluation\confusion_matrices.json,0.9462380884653676,0.9464285714285714,1.0,0.030483536422252645,0.08619878441095352,0.15550567209720612,0.9462380884653676,0.9464285714285714,1.0,0.03675770653145649,0.08598563820123672,0.16702666878700256,0.9404761904761905,0.9404761904761905,1.0,0.01848987489938738,0.08568943291902542,0.15589630603790283,0.9404424276800907,0.9404761904761905,1.0,0.02534811234190354,0.08329149335622787,0.1492854803800583,0.9522727272727273,0.9523809523809523,1.0,0.03204854826132452,0.08347799628973007,0.1563151478767395
