split,index,path,label,subtype,source_id,md5,exact_main_id,numpy_main_id,exact_aux_id,numpy_aux_id,exact_seconds,numpy_seconds,exact_shape,exact_dtype,exact_finite,exact_mean,exact_std,exact_min,exact_max,numpy_shape,numpy_dtype,numpy_finite,numpy_mean,numpy_std,numpy_min,numpy_max,shape_match,mean_abs_diff,max_abs_diff,cosine_similarity
train,0,data/external/korea_raw/abdominal_cough/train_abdominal_03337.wav,cough,abdominal_cough,abdominal_cough::train_abdominal_03337,0227b0ef8f000bee6f2b4a67ab0b7c8f,0,0,1,1,10.116823900025338,0.00321789993904531,1x64x201,float32,True,-1.043822663859828e-07,0.9999999403953552,-0.5713526606559753,2.9362504482269287,1x64x201,float32,True,-1.6131804159158492e-07,0.9999998211860657,-0.5791392922401428,2.864368438720703,True,0.0633485463690093,1.2184025049209595,0.9896570853247042
train,1,data/raw/sow_call_dataset_labeled/frightened_stress/601-2.wav,stress_vocal,frightened_stress,frightened_stress::601-2,facadbb7d6b67efd6f1f8f02d6674278,3,3,4,4,0.0027846000157296658,0.002519699977710843,1x64x201,float32,True,3.7957187259962666e-07,0.9999998807907104,-4.162510871887207,4.20236349105835,1x64x201,float32,True,2.4672172571627016e-07,0.9999998807907104,-4.508866786956787,4.397637844085693,True,0.5067141043553695,4.566942453384399,0.7673038260088288
train,2,data/raw/sow_call_dataset_labeled/anxious_stress/1743-3.wav,stress_vocal,anxious_stress,anxious_stress::1743-3,58a2a88d4d84274e714db3e8741df45e,3,3,5,5,0.0027830000035464764,0.0023062999825924635,1x64x201,float32,True,-1.1387155751663158e-07,0.9999999403953552,-2.814229726791382,2.9364876747131348,1x64x201,float32,True,4.3650763359437406e-07,0.9999998807907104,-3.3718812465667725,3.0133869647979736,True,0.3258229693885743,3.052630990743637,0.9066551881446762
train,3,data/raw/sow_call_dataset_labeled/feeding/356-1.wav,feeding,feeding,feeding::356-1,1a3e666e12466df05f2f65a96d2eb51a,2,2,3,3,0.0028147000120952725,0.003069699974730611,1x64x201,float32,True,-9.489296814990666e-08,0.9999998807907104,-2.467393159866333,2.976271152496338,1x64x201,float32,True,1.5182874335550878e-07,0.9999998807907104,-2.8435873985290527,3.171912908554077,True,0.34681000268683726,3.133268266916275,0.8922739978630948
train,4,data/raw/sow_call_dataset_labeled/frightened_stress/1143-2.wav,stress_vocal,frightened_stress,frightened_stress::1143-2,4f36202c857861136bf61cbd3dd081d6,3,3,4,4,0.0026687999488785863,0.002531300066038966,1x64x201,float32,True,-2.087645327719656e-07,0.9999998807907104,-2.7081520557403564,3.6946139335632324,1x64x201,float32,True,1.8978592919438597e-08,0.9999999403953552,-3.198404312133789,4.079397201538086,True,0.3539518406938602,3.845679521560669,0.8852228461417563
train,5,data/raw/sow_call_dataset_labeled/frightened_stress/807-2.wav,stress_vocal,frightened_stress,frightened_stress::807-2,0d37a14464822f0415e24576e7b3037d,3,3,4,4,0.002642999985255301,0.0023864000104367733,1x64x201,float32,True,-1.1387155751663158e-07,0.9999998211860657,-3.1627237796783447,3.703723907470703,1x64x201,float32,True,9.489296459719299e-09,0.9999998807907104,-3.8598339557647705,3.801754951477051,True,0.41975451348262377,3.786234736442566,0.8400766318164832
val,0,data/raw/sow_call_dataset_labeled/calm_grunt/214-0.wav,calm_grunt,calm_grunt,calm_grunt::214-0,9d4fe5cc120030d36ea8194923dcd76d,1,1,2,2,0.002764300093986094,0.0022071999264881015,1x64x201,float32,True,-2.65700293766713e-07,0.9999998807907104,-4.79685640335083,3.427152156829834,1x64x201,float32,True,-1.1387155751663158e-07,0.9999998807907104,-5.441850662231445,3.1949665546417236,True,0.4732933995597505,3.801700323820114,0.8094322316303126
val,1,data/external/korea_raw/abdominal_cough/train_abdominal_15578.wav,cough,abdominal_cough,abdominal_cough::train_abdominal_15578,468f0f3490c31d9835e1efa34f5c8bdf,0,0,1,1,0.002548400079831481,0.0019162999233230948,1x64x201,float32,True,2.4197706238737737e-07,0.9999998807907104,-0.504249095916748,2.980189561843872,1x64x201,float32,True,-1.328501468833565e-07,0.9999998807907104,-0.5101881623268127,2.909067153930664,True,0.05035181708439295,1.4707212448120117,0.9919883405166396
val,2,data/raw/sow_call_dataset_labeled/calm_grunt/88-0.wav,calm_grunt,calm_grunt,calm_grunt::88-0,9e37d4ddec86dc1c9fd757e03c81e70d,1,1,2,2,0.0028807000489905477,0.0024836999364197254,1x64x201,float32,True,-2.65700293766713e-07,0.9999998211860657,-4.5113525390625,2.784454345703125,1x64x201,float32,True,6.35782896551973e-07,0.9999998211860657,-4.941545486450195,2.757833957672119,True,0.4322753226128226,3.6563944816589355,0.8395250674049227
val,3,data/raw/sow_call_dataset_labeled/frightened_stress/1119-2.wav,stress_vocal,frightened_stress,frightened_stress::1119-2,dbf530a6115ead74f6acce6a5f662993,3,3,4,4,0.0028235999634489417,0.002393099945038557,1x64x201,float32,True,-1.5182874335550878e-07,0.9999999403953552,-2.17480206489563,3.518594980239868,1x64x201,float32,True,5.693577875831579e-08,0.9999998807907104,-2.555699586868286,3.8149073123931885,True,0.32196000633070043,3.4227986335754395,0.9062617603482112
