noise_environment,snr_db,condition_family,method,n,mean_aurc,mean_augrc,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95
DWASHING,0.0,,fused,25,0.21382172986499082,0.21382172986499082,0.3114074074074074,0.3018421052631579,0.3025
DWASHING,0.0,,hierarchical,25,0.23602684975306357,0.23602684975306357,0.3146666666666667,0.3034210526315789,0.30375
DWASHING,0.0,,prototype,25,0.23582491538826697,0.23582491538826697,0.3114074074074074,0.29789473684210527,0.30224999999999996
DWASHING,0.0,,raw_softmax,25,0.20559453870388442,0.20559453870388442,0.31288888888888894,0.30315789473684207,0.304
DWASHING,10.0,,fused,25,0.18194463015657764,0.18194463015657764,0.2954074074074074,0.2823684210526316,0.28425
DWASHING,10.0,,hierarchical,25,0.22281438601318354,0.22281438601318354,0.2983703703703704,0.2813157894736842,0.28275
DWASHING,10.0,,prototype,25,0.2205697489733631,0.2205697489733631,0.2965925925925926,0.27999999999999997,0.28325
DWASHING,10.0,,raw_softmax,25,0.16919484599751258,0.1691948459975126,0.2939259259259259,0.2855263157894737,0.2875
DWASHING,20.0,,fused,25,0.11038515348914096,0.11038515348914096,0.20503703703703707,0.21157894736842106,0.21775
DWASHING,20.0,,hierarchical,25,0.1427628511654032,0.1427628511654032,0.21125925925925926,0.2055263157894737,0.21275
DWASHING,20.0,,prototype,25,0.13983653672925375,0.13983653672925375,0.20918518518518517,0.20500000000000004,0.21124999999999997
DWASHING,20.0,,raw_softmax,25,0.1038266464575107,0.1038266464575107,0.20385185185185187,0.21289473684210528,0.22049999999999997
STRAFFIC,0.0,,fused,25,0.2182155985373781,0.2182155985373781,0.3848888888888889,0.4234210526315789,0.43675
STRAFFIC,0.0,,hierarchical,25,0.2186043177622268,0.2186043177622268,0.392,0.42921052631578943,0.44375
STRAFFIC,0.0,,prototype,25,0.21795104496134632,0.21795104496134632,0.3863703703703704,0.4221052631578947,0.43424999999999997
STRAFFIC,0.0,,raw_softmax,25,0.22478556675761197,0.22478556675761197,0.3893333333333333,0.4255263157894737,0.43800000000000006
STRAFFIC,10.0,,fused,25,0.20998685944623918,0.20998685944623918,0.33037037037037037,0.32368421052631574,0.3285
STRAFFIC,10.0,,hierarchical,25,0.22165355223986882,0.22165355223986882,0.33422222222222225,0.3315789473684211,0.33525
STRAFFIC,10.0,,prototype,25,0.22156699104313562,0.22156699104313562,0.3262222222222222,0.323421052631579,0.32299999999999995
STRAFFIC,10.0,,raw_softmax,25,0.20849941627267374,0.20849941627267374,0.3327407407407408,0.3268421052631579,0.33149999999999996
STRAFFIC,20.0,,fused,25,0.20337914769862914,0.20337914769862914,0.31792592592592595,0.30026315789473684,0.29825
STRAFFIC,20.0,,hierarchical,25,0.2302093652845943,0.2302093652845943,0.3191111111111111,0.30026315789473684,0.2995
STRAFFIC,20.0,,prototype,25,0.23057851202857158,0.23057851202857158,0.31703703703703706,0.2968421052631579,0.29875
STRAFFIC,20.0,,raw_softmax,25,0.19126812571661625,0.19126812571661625,0.31822222222222224,0.30210526315789477,0.301
TBUS,0.0,,fused,25,0.19202653385516558,0.19202653385516558,0.3122962962962963,0.3089473684210526,0.315
TBUS,0.0,,hierarchical,25,0.21590255075968653,0.21590255075968653,0.31851851851851853,0.3171052631578947,0.31975000000000003
TBUS,0.0,,prototype,25,0.21637008676249356,0.21637008676249356,0.31200000000000006,0.31184210526315786,0.31325
TBUS,0.0,,raw_softmax,25,0.18586117254762213,0.18586117254762213,0.3131851851851852,0.3121052631578947,0.3185
TBUS,10.0,,fused,25,0.1842993934706205,0.1842993934706205,0.3111111111111111,0.29789473684210527,0.2965
