noise_environment,snr_db,method,labels,confusion_matrix,cough_precision,cough_recall,cough_f1,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,feeding_precision,feeding_recall,feeding_f1,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,macro_f1_from_cm,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,condition_family
DWASHING,0.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[8, 2, 1, 1039], [0, 1050, 0, 0], [0, 0, 867, 183], [0, 0, 65, 985]]",1.0,0.007619047619047619,0.015122873345935728,0.9980988593155894,1.0,0.9990485252140818,0.9292604501607717,0.8257142857142857,0.8744326777609682,0.4463072043497961,0.9380952380952381,0.6048510899600861,0.623363791570268,183,65,2,1,1039,
DWASHING,0.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[8, 4, 1, 1037], [0, 1050, 0, 0], [0, 0, 836, 214], [0, 0, 53, 997]]",1.0,0.007619047619047619,0.015122873345935728,0.9962049335863378,1.0,0.9980988593155894,0.9393258426966292,0.7961904761904762,0.8618556701030928,0.4435053380782918,0.9495238095238095,0.6046088538508188,0.6199215641538591,214,53,4,1,1037,
DWASHING,0.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[9, 4, 1, 1036], [0, 1050, 0, 0], [0, 0, 860, 190], [0, 0, 64, 986]]",1.0,0.008571428571428572,0.016997167138810197,0.9962049335863378,1.0,0.9980988593155894,0.9297297297297298,0.819047619047619,0.8708860759493671,0.445750452079566,0.939047619047619,0.60453709380748,0.6226297990528117,190,64,4,1,1036,
DWASHING,0.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[5, 2, 1, 1042], [0, 1050, 0, 0], [0, 0, 853, 197], [0, 0, 64, 986]]",1.0,0.004761904761904762,0.009478672985781991,0.9980988593155894,1.0,0.9990485252140818,0.9291938997821351,0.8123809523809524,0.866869918699187,0.4431460674157303,0.939047619047619,0.6021374045801526,0.6193836303698008,197,64,2,1,1042,
DWASHING,10.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[40, 0, 0, 1010], [0, 1050, 0, 0], [0, 0, 926, 124], [0, 0, 88, 962]]",1.0,0.0380952380952381,0.07339449541284404,1.0,1.0,1.0,0.9132149901380671,0.8819047619047619,0.8972868217054262,0.45896946564885494,0.9161904761904762,0.6115702479338843,0.6455628912630387,124,88,0,0,1010,
DWASHING,10.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[48, 0, 0, 1002], [0, 1050, 0, 0], [0, 0, 912, 138], [0, 0, 70, 980]]",1.0,0.045714285714285714,0.08743169398907102,1.0,1.0,1.0,0.9287169042769857,0.8685714285714285,0.8976377952755906,0.46226415094339623,0.9333333333333333,0.6182965299684543,0.6508415048082791,138,70,0,0,1002,
DWASHING,10.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[50, 0, 0, 1000], [0, 1050, 0, 0], [0, 0, 918, 132], [0, 0, 87, 963]]",1.0,0.047619047619047616,0.0909090909090909,1.0,1.0,1.0,0.9134328358208955,0.8742857142857143,0.8934306569343066,0.45966587112171836,0.9171428571428571,0.6124006359300477,0.6491850959433613,132,87,0,0,1000,
DWASHING,10.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[36, 0, 0, 1014], [0, 1050, 0, 0], [0, 0, 915, 135], [0, 0, 88, 962]]",1.0,0.03428571428571429,0.06629834254143648,1.0,1.0,1.0,0.9122632103688934,0.8714285714285714,0.8913784705309304,0.45570819516816674,0.9161904761904762,0.6086681429927238,0.6415862390162727,135,88,0,0,1014,
DWASHING,20.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[298, 0, 0, 752], [0, 1050, 0, 0], [0, 0, 944, 106], [0, 0, 93, 957]]",1.0,0.2838095238095238,0.4421364985163205,1.0,1.0,1.0,0.9103182256509161,0.8990476190476191,0.9046478198370868,0.5272727272727272,0.9114285714285715,0.6680628272251308,0.7537117863946345,106,93,0,0,752,
DWASHING,20.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[319, 0, 0, 731], [0, 1050, 0, 0], [0, 0, 929, 121], [0, 0, 76, 974]]",1.0,0.3038095238095238,0.4660336011687363,1.0,1.0,1.0,0.9243781094527364,0.8847619047619047,0.9041362530413625,0.5334063526834611,0.9276190476190476,0.6773296244784424,0.7618748696721354,121,76,0,0,731,
