noise_environment,method,macro_f1_degradation_slope_per_db
DWASHING,fused,-0.00624593475567463
DWASHING,hierarchical,-0.00686166560846171
DWASHING,prototype,-0.006694647218438177
DWASHING,raw_softmax,-0.006280532255618293
STRAFFIC,fused,-0.008371407466473125
STRAFFIC,hierarchical,-0.008808077485449105
STRAFFIC,prototype,-0.008206566932836591
STRAFFIC,raw_softmax,-0.00833264642474389
TBUS,fused,-0.003124954666359796
TBUS,hierarchical,-0.003523975768279197
TBUS,prototype,-0.0031697531379389103
TBUS,raw_softmax,-0.003136703927420396
