noise_environment,snr_db,comparison,n,mean_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,wins,ties,losses,condition_family
DWASHING,0.0,prototype - raw_softmax,25,0.0034434459992771726,0.016698724580188673,-0.0025401085980612513,0.010159785844691871,0.48517001465180276,11,3,11,
DWASHING,0.0,hierarchical - raw_softmax,25,0.0007622846935904936,0.014212657242440918,-0.004552398200386294,0.006299433418985395,0.982627294725416,9,7,9,
DWASHING,0.0,hierarchical - prototype,25,-0.002681161305686679,0.006542159381783614,-0.005171531656284248,-0.00017390882308265007,0.16974275645320958,7,4,14,
DWASHING,10.0,prototype - raw_softmax,25,0.007075575926641276,0.014427872556264404,0.0019725934365996457,0.012985853179170595,0.045655454220048276,14,4,7,
DWASHING,10.0,hierarchical - raw_softmax,25,0.008869024252871593,0.015615980608362471,0.003488717579086016,0.015391525341821335,0.002355634033724315,17,4,4,
DWASHING,10.0,hierarchical - prototype,25,0.001793448326230318,0.005431134751149069,-0.00022265997470830053,0.003986603952855974,0.06150392570318532,12,8,5,
DWASHING,20.0,prototype - raw_softmax,25,0.01172574525567491,0.0122348768626965,0.007036193489504073,0.016446346897202202,0.00037290847799537573,18,2,5,
DWASHING,20.0,hierarchical - raw_softmax,25,0.012384951750458888,0.013239180844368655,0.0076435647816658755,0.017821001427021265,9.14928944129577e-05,19,3,3,
DWASHING,20.0,hierarchical - prototype,25,0.0006592064947839793,0.006765788433887103,-0.0018282714350551874,0.003317285515802521,0.499656379643342,10,7,8,
STRAFFIC,0.0,prototype - raw_softmax,25,0.006866642260760336,0.02550718118618996,-0.0023543661087411572,0.016883977811118,0.33878785371780396,13,0,12,
STRAFFIC,0.0,hierarchical - raw_softmax,25,-0.00545139337048977,0.023199451434053244,-0.014476282194747801,0.0032473547845703445,0.24106645584106445,10,0,15,
STRAFFIC,0.0,hierarchical - prototype,25,-0.012318035631250106,0.011998234255405445,-0.017012552361205927,-0.007887538408957034,0.00012267381509278226,2,4,19,
STRAFFIC,10.0,prototype - raw_softmax,25,0.00685712137555246,0.024864143685953684,-0.0017716442449016243,0.016987043191478528,0.3944570025144395,11,4,10,
STRAFFIC,10.0,hierarchical - raw_softmax,25,-0.004707495264987313,0.01732006907694716,-0.011255005892156342,0.001917143145651912,0.1909265697823631,10,2,13,
STRAFFIC,10.0,hierarchical - prototype,25,-0.011564616640539774,0.014126411795804782,-0.017218624993126166,-0.0065377166212243955,0.0004409382679493639,2,1,22,
STRAFFIC,20.0,prototype - raw_softmax,25,0.004345052422614381,0.0151568268767782,-0.0009599809873511397,0.010694499612623448,0.27677204744647677,13,3,9,
STRAFFIC,20.0,hierarchical - raw_softmax,25,0.004057227843614384,0.015405906717616897,-0.0012989163525119528,0.010514698265684193,0.19240060217131005,15,4,6,
STRAFFIC,20.0,hierarchical - prototype,25,-0.0002878245789999978,0.005708483690783321,-0.002433475499403528,0.0019273113208878587,0.935845552197485,10,6,9,
TBUS,0.0,prototype - raw_softmax,25,0.004710827649719147,0.01794062133271749,-0.00146098767483501,0.011963297465341931,0.5480967583988466,10,3,12,
TBUS,0.0,hierarchical - raw_softmax,25,-0.0006221724222247093,0.012342054242711531,-0.005271047181496288,0.004137250737691382,0.8192020334011836,12,1,12,
TBUS,0.0,hierarchical - prototype,25,-0.005333000071943856,0.009884216478727162,-0.009327599683248922,-0.0017974304274998936,0.03656128916854718,9,5,11,
TBUS,10.0,prototype - raw_softmax,25,0.0013988412441857934,0.011416078968415372,-0.002733681521357039,0.006119335394171953,0.8076239898901056,11,3,11,
TBUS,10.0,hierarchical - raw_softmax,25,0.001974837357904118,0.012144574492559505,-0.002288508266313264,0.0069979396453424565,0.7172177958043885,10,6,9,
TBUS,10.0,hierarchical - prototype,25,0.0005759961137183245,0.0067993258445925376,-0.0019434288913351147,0.003284453353516201,0.5196565532398361,12,6,7,
TBUS,20.0,prototype - raw_softmax,25,0.005371811860089406,0.01075529042409667,0.0015392103424393502,0.009805773422629775,0.027621013367531002,14,5,6,
TBUS,20.0,hierarchical - raw_softmax,25,0.007123264394951274,0.010167727291177344,0.0034768322147866,0.011319971382104521,0.0008918026969621409,18,5,2,
TBUS,20.0,hierarchical - prototype,25,0.001751452534861868,0.00726168409295172,-0.0010466437092362928,0.004604843885518145,0.14879179284657834,12,8,5,
ALL_NOISY,GROUP,prototype - raw_softmax,25,0.0057550071105016394,0.012300975719435933,0.0016059049833590162,0.010893641165504174,0.010510802268981934,18,0,7,all_noisy
ALL_NOISY,GROUP,hierarchical - raw_softmax,25,0.0027100588039654337,0.010740007807882548,-0.0009994122550498323,0.007084541882664034,0.312333345413208,13,0,12,all_noisy
ALL_NOISY,GROUP,hierarchical - prototype,25,-0.003044948306536206,0.003836045361869483,-0.004580953598123262,-0.0016391597642780107,0.0003764033317565918,5,0,20,all_noisy
MODERATE_NOISE,GROUP,prototype - raw_softmax,25,0.006129024680793043,0.010830583627409457,0.0024422883820096036,0.01069668415162834,0.0016730747221523166,19,1,5,moderate_noise
MODERATE_NOISE,GROUP,hierarchical - raw_softmax,25,0.00495030172246882,0.010635451554573853,0.0012235411474547742,0.009409366624190656,0.010510802268981934,19,0,6,moderate_noise
MODERATE_NOISE,GROUP,hierarchical - prototype,25,-0.001178722958324223,0.004114276527565228,-0.0028060603310008318,0.00043134663533581086,0.19081425666809082,10,0,15,moderate_noise
EXTREME_STRESS,GROUP,prototype - raw_softmax,25,0.005006971969918883,0.017759431945007016,-0.001264457817912301,0.012146888819839623,0.5601714849472046,11,0,14,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,hierarchical - raw_softmax,25,-0.0017704270330413418,0.014105597090788657,-0.007078873467386606,0.0037062585843237344,0.3809836506843567,11,0,14,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,hierarchical - prototype,25,-0.006777399002960225,0.00768986870948054,-0.009783644811515637,-0.003952443638841397,0.00016230344772338867,6,0,19,extreme simulated-noise stress condition
