noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_augrc,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean,condition_family
DWASHING,0.0,fused,25,0.6226266115895082,0.017766521561869156,0.692857142857143,0.7719047619047619,0.2764140444568225,0.582495698928833,2.7159319353103637,0.21382172986499082,0.21382172986499082,0.3114074074074074,0.3018421052631579,0.3025,0.9257142857142857,0.3011544127415299,0.3308593947279255,
DWASHING,0.0,hierarchical,25,0.6192655644096832,0.017478056400061594,0.6883333333333332,0.760952380952381,0.2772647733773504,0.5881663823127746,4.416167478561402,0.23602684975306357,0.23602684975306357,0.3146666666666667,0.3034210526315789,0.30375,0.9278571428571428,0.3041708196000374,0.33472064982028193,
DWASHING,0.0,prototype,25,0.62194672571537,0.019684744659813836,0.6916666666666668,0.7590476190476191,0.27614250522284284,0.5819293856620789,4.242789545059204,0.23582491538826697,0.23582491538826697,0.3114074074074074,0.29789473684210527,0.30224999999999996,0.9278571428571429,0.300265350258603,0.3299056874431862,
DWASHING,0.0,raw_softmax,25,0.6185032797160928,0.018229788448249625,0.6890476190476191,0.7757142857142858,0.2642145057377361,0.577167980670929,1.9041830444335937,0.20559453870388442,0.20559453870388442,0.31288888888888894,0.30315789473684207,0.304,0.9257142857142857,0.3030125007423676,0.3325463934930521,
DWASHING,10.0,fused,25,0.6423479444517564,0.04088126634845488,0.7090476190476191,0.7923809523809524,0.25921508129153936,0.5479941534996032,2.3213407039642333,0.18194463015657764,0.18194463015657764,0.2954074074074074,0.2823684210526316,0.28425,0.9269047619047618,0.28252455792129116,0.31113806186567744,
DWASHING,10.0,hierarchical,25,0.6473963815858909,0.043187167340743675,0.7119047619047619,0.78,0.2596581612456413,0.548562980890274,3.9711845779418944,0.22281438601318354,0.22281438601318354,0.2983703703703704,0.2813157894736842,0.28275,0.9269047619047619,0.28263636332645325,0.30658983264407436,
DWASHING,10.0,prototype,25,0.6456029332596606,0.04010325089035635,0.7097619047619047,0.7783333333333333,0.25703029981681275,0.5457153809070587,3.788210129737854,0.2205697489733631,0.2205697489733631,0.2965925925925926,0.27999999999999997,0.28325,0.9285714285714285,0.279989507935743,0.3062494798988956,
DWASHING,10.0,raw_softmax,25,0.6385273573330192,0.03912082489707265,0.7054761904761907,0.7961904761904763,0.2482339263459047,0.5404487800598144,1.660200479030609,0.16919484599751258,0.1691948459975126,0.2939259259259259,0.2855263157894737,0.2875,0.9271428571428569,0.2835113434002019,0.3125223158761256,
DWASHING,20.0,fused,25,0.7475453067030009,0.0596367061811108,0.7735714285714286,0.8657142857142859,0.19278299735415547,0.41551853477954864,1.4588027238845824,0.11038515348914096,0.11038515348914096,0.20503703703703707,0.21157894736842106,0.21775,0.9149999999999998,0.21160254110424456,0.20594069961443298,
DWASHING,20.0,hierarchical,25,0.7564988765789176,0.056763466996197325,0.7790476190476191,0.8526190476190476,0.19014629872781888,0.4106092208623886,2.559479832649231,0.1427628511654032,0.1427628511654032,0.21125925925925926,0.2055263157894737,0.21275,0.9276190476190476,0.20612463637257417,0.19748733765104773,
DWASHING,20.0,prototype,25,0.7558396700841336,0.054694651586909566,0.7783333333333334,0.8521428571428572,0.18853699092354095,0.40873115718364716,2.4223114228248597,0.13983653672925375,0.13983653672925375,0.20918518518518517,0.20500000000000004,0.21124999999999997,0.9235714285714286,0.20616611086001502,0.19601274307442268,
