noise_environment,snr_db,method,labels,confusion_matrix,cough_precision,cough_recall,cough_f1,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,feeding_precision,feeding_recall,feeding_f1,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,macro_f1_from_cm,feeding_to_stress,stress_to_feeding
DWASHING,0.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 28, 14], [0, 0, 1, 41]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9655172413793104,0.6666666666666666,0.7887323943661971,0.422680412371134,0.9761904761904762,0.5899280575539568,0.5946651129800384,14,1
DWASHING,0.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 28, 14], [0, 0, 0, 42]]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,0.42857142857142855,1.0,0.6,0.6,14,0
DWASHING,0.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 30, 12], [0, 0, 1, 41]]",0.0,0.0,0.0,1.0,1.0,1.0,0.967741935483871,0.7142857142857143,0.821917808219178,0.43157894736842106,0.9761904761904762,0.5985401459854014,0.6051144885511448,12,1
DWASHING,0.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 28, 14], [0, 0, 1, 41]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9655172413793104,0.6666666666666666,0.7887323943661971,0.422680412371134,0.9761904761904762,0.5899280575539568,0.5946651129800384,14,1
DWASHING,10.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 31, 11], [0, 0, 2, 40]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9393939393939394,0.7380952380952381,0.8266666666666667,0.43010752688172044,0.9523809523809523,0.5925925925925926,0.6048148148148148,11,2
DWASHING,10.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 33, 9], [0, 0, 1, 41]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9705882352941176,0.7857142857142857,0.8684210526315789,0.44565217391304346,0.9761904761904762,0.6119402985074626,0.6200903377847603,9,1
DWASHING,10.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 33, 9], [0, 0, 2, 40]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9428571428571428,0.7857142857142857,0.8571428571428571,0.43956043956043955,0.9523809523809523,0.6015037593984962,0.6146616541353384,9,2
DWASHING,10.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 31, 11], [0, 0, 2, 40]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9393939393939394,0.7380952380952381,0.8266666666666667,0.43010752688172044,0.9523809523809523,0.5925925925925926,0.6048148148148148,11,2
DWASHING,20.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[3, 0, 0, 39], [0, 42, 0, 0], [0, 0, 34, 8], [0, 0, 2, 40]]",1.0,0.07142857142857142,0.13333333333333333,1.0,1.0,1.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.45977011494252873,0.9523809523809523,0.6201550387596899,0.6563208109719738,8,2
DWASHING,20.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[3, 0, 0, 39], [0, 42, 0, 0], [0, 0, 35, 7], [0, 0, 2, 40]]",1.0,0.07142857142857142,0.13333333333333333,1.0,1.0,1.0,0.9459459459459459,0.8333333333333334,0.8860759493670887,0.46511627906976744,0.9523809523809523,0.625,0.6611023206751054,7,2
DWASHING,20.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[3, 0, 0, 39], [0, 42, 0, 0], [0, 0, 36, 6], [0, 0, 2, 40]]",1.0,0.07142857142857142,0.13333333333333333,1.0,1.0,1.0,0.9473684210526315,0.8571428571428571,0.9,0.47058823529411764,0.9523809523809523,0.6299212598425197,0.6658136482939632,6,2
DWASHING,20.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[3, 0, 0, 39], [0, 42, 0, 0], [0, 0, 34, 8], [0, 0, 2, 40]]",1.0,0.07142857142857142,0.13333333333333333,1.0,1.0,1.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.45977011494252873,0.9523809523809523,0.6201550387596899,0.6563208109719738,8,2
STRAFFIC,0.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 2, 0, 40], [0, 42, 0, 0], [0, 3, 1, 38], [0, 0, 0, 42]]",0.0,0.0,0.0,0.8936170212765957,1.0,0.9438202247191011,1.0,0.023809523809523808,0.046511627906976744,0.35,1.0,0.5185185185185185,0.37721259278614905,38,0
STRAFFIC,0.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 12, 0, 30], [0, 42, 0, 0], [0, 5, 1, 36], [0, 1, 0, 41]]",0.0,0.0,0.0,0.7,1.0,0.8235294117647058,1.0,0.023809523809523808,0.046511627906976744,0.38317757009345793,0.9761904761904762,0.5503355704697986,0.3550941525353703,36,0
STRAFFIC,0.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 14, 0, 28], [0, 42, 0, 0], [0, 7, 2, 33], [0, 1, 0, 41]]",0.0,0.0,0.0,0.65625,1.0,0.7924528301886793,1.0,0.047619047619047616,0.0909090909090909,0.4019607843137255,0.9761904761904762,0.5694444444444444,0.36320159138555363,33,0
STRAFFIC,0.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 2, 0, 40], [0, 42, 0, 0], [0, 3, 1, 38], [0, 0, 0, 42]]",0.0,0.0,0.0,0.8936170212765957,1.0,0.9438202247191011,1.0,0.023809523809523808,0.046511627906976744,0.35,1.0,0.5185185185185185,0.37721259278614905,38,0
STRAFFIC,10.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 17, 25], [0, 0, 0, 42]]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.40476190476190477,0.576271186440678,0.3853211009174312,1.0,0.5562913907284769,0.5331406442922887,25,0
STRAFFIC,10.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 18, 24], [0, 0, 0, 42]]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.6,0.3888888888888889,1.0,0.56,0.54,24,0
STRAFFIC,10.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 20, 22], [0, 0, 0, 42]]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.47619047619047616,0.6451612903225806,0.39622641509433965,1.0,0.5675675675675675,0.553182214472537,22,0
STRAFFIC,10.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 17, 25], [0, 0, 0, 42]]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.40476190476190477,0.576271186440678,0.3853211009174312,1.0,0.5562913907284769,0.5331406442922887,25,0
