noise_environment,method,macro_f1_degradation_slope_per_db
DWASHING,fused,-0.0030827848995967754
DWASHING,hierarchical,-0.0030551160337552764
DWASHING,prototype,-0.0030349579871409207
DWASHING,raw_softmax,-0.0030827848995967754
STRAFFIC,fused,-0.010870147283000318
STRAFFIC,hierarchical,-0.012242273049559988
STRAFFIC,prototype,-0.012080661171463069
STRAFFIC,raw_softmax,-0.010870147283000318
TBUS,fused,-0.002514171275673715
TBUS,hierarchical,-0.002749905133626067
TBUS,prototype,-0.0018950776818532245
TBUS,raw_softmax,-0.002514171275673715
