noise_environment,snr_db,target_active_snr_db,snr_reference,condition,method,n,top1_acc,macro_f1,top2_acc,ece,brier,nll,frozen_global_threshold,frozen_threshold_coverage,frozen_threshold_selective_risk,frozen_per_class_threshold_coverage,frozen_per_class_threshold_selective_risk,aurc,augrc,risk_at_coverage_0.80,risk_at_coverage_0.90,risk_at_coverage_0.95,cough_precision,cough_recall,cough_f1,cough_support,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,calm_grunt_support,feeding_precision,feeding_recall,feeding_f1,feeding_support,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,stress_vocal_support,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,global_coverage,selective_risk,feeding_coverage,feeding_selective_risk,stress_vocal_coverage,stress_vocal_selective_risk,macro_f1_degradation_vs_clean,hierarchy_consistency,mean_prototype_distance_margin
clean,clean,clean,clean,clean,raw_softmax,168.0,0.9523809523809523,0.9523809523809523,1.0,0.037039952973524776,0.08195299655199051,0.14238977432250977,0.8309492468833923,0.9642857142857143,0.030864197530864224,0.9583333333333334,0.0496894409937888,0.004553878928035492,0.004553878928035491,0.007407407407407418,0.019736842105263164,0.025000000000000022,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,4.0,4.0,0.0,0.0,0.0,0.9642857142857143,0.030864197530864224,0.9285714285714286,0.05128205128205128,0.9285714285714286,0.07692307692307693,0.0,,
clean,clean,clean,clean,clean,prototype,168.0,0.9523809523809523,0.9523809523809523,1.0,0.016244108478228256,0.07806278765201569,0.13007450103759766,0.738779604434967,0.9702380952380952,0.042944785276073594,0.9583333333333334,0.0496894409937888,0.004878192769442534,0.004878192769442533,0.0,0.019736842105263164,0.03749999999999998,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,4.0,4.0,0.0,0.0,0.0,0.9702380952380952,0.042944785276073594,0.9523809523809523,0.075,0.9285714285714286,0.10256410256410256,0.0,,
clean,clean,clean,clean,clean,hierarchical,168.0,0.9523809523809523,0.9523809523809523,1.0,0.026551960834435027,0.07897521555423737,0.13080017268657684,0.7210639715194702,0.9880952380952381,0.048192771084337394,0.9642857142857143,0.04938271604938271,0.004715091244424747,0.004715091244424747,0.0,0.02631578947368418,0.03125,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,4.0,4.0,0.0,0.0,0.0,0.9880952380952381,0.048192771084337394,0.9761904761904762,0.0975609756097561,0.9761904761904762,0.0975609756097561,0.0,,
clean,clean,clean,clean,clean,fused,168.0,0.9523809523809523,0.9523809523809523,1.0,0.034266957214900445,0.08094290643930435,0.13733552396297455,0.8035783767700195,0.9702380952380952,0.036809815950920255,0.9583333333333334,0.0496894409937888,0.00453929355042245,0.00453929355042245,0.0,0.019736842105263164,0.025000000000000022,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,4.0,4.0,0.0,0.0,0.0,0.9702380952380952,0.036809815950920255,0.9523809523809523,0.075,0.9285714285714286,0.07692307692307693,0.0,,
clean,clean,,,clean,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,raw_softmax,168.0,0.8452380952380952,0.8442831678125796,0.9404761904761905,0.1161820964799041,0.25901398062705994,0.6482537388801575,0.8309492468833923,0.9285714285714286,0.1217948717948718,0.8452380952380952,0.15492957746478875,0.04049657394890681,0.04049657394890681,0.0888888888888889,0.11184210526315785,0.13749999999999996,1.0,0.5714285714285714,0.7272727272727273,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.6333333333333333,0.9047619047619048,0.7450980392156863,42.0,4.0,4.0,0.0,0.0,18.0,0.9285714285714286,0.1217948717948718,0.9285714285714286,0.05128205128205128,0.9047619047619048,0.07894736842105263,0.10809778456837271,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,prototype,168.0,0.8571428571428571,0.8573669467787115,0.9345238095238095,0.10429463925815763,0.2514106333255768,0.9206891655921936,0.738779604434967,0.9404761904761905,0.13291139240506333,0.8809523809523809,0.14864864864864868,0.0583873295908982,0.0583873295908982,0.11111111111111116,0.11842105263157898,0.13124999999999998,1.0,0.6190476190476191,0.7647058823529411,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.6551724137931034,0.9047619047619048,0.76,42.0,4.0,4.0,0.0,0.0,16.0,0.9404761904761905,0.13291139240506333,0.9523809523809523,0.075,0.9047619047619048,0.10526315789473684,0.09501400560224083,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,hierarchical,168.0,0.8571428571428571,0.8573669467787115,0.9345238095238095,0.0984121569920154,0.24666404724121094,0.8661186695098877,0.7210639715194702,0.9583333333333334,0.13043478260869568,0.8869047619047619,0.1476510067114094,0.0565497003245878,0.0565497003245878,0.10370370370370374,0.11184210526315785,0.13124999999999998,1.0,0.6190476190476191,0.7647058823529411,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.6551724137931034,0.9047619047619048,0.76,42.0,4.0,4.0,0.0,0.0,16.0,0.9583333333333334,0.13043478260869568,0.9761904761904762,0.0975609756097561,0.9523809523809523,0.1,0.09501400560224083,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,fused,168.0,0.8511904761904762,0.8508764522507688,0.9404761904761905,0.1119462523077215,0.2548917829990387,0.65712970495224,0.8035783767700195,0.9345238095238095,0.1273885350318471,0.8511904761904762,0.15384615384615385,0.04527014703711243,0.04527014703711243,0.10370370370370374,0.11842105263157898,0.13749999999999996,1.0,0.5952380952380952,0.746268656716418,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.6440677966101694,0.9047619047619048,0.7524752475247525,42.0,4.0,4.0,0.0,0.0,17.0,0.9345238095238095,0.1273885350318471,0.9523809523809523,0.075,0.9047619047619048,0.07894736842105263,0.10150450013018353,,
DWASHING,20.0,,,DWASHING_20dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940476190476191,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,raw_softmax,168.0,0.75,0.7172074253430186,0.8333333333333334,0.2379356853309132,0.48104730248451233,1.5858007669448853,0.8309492468833923,0.9345238095238095,0.23566878980891715,0.9047619047619048,0.2763157894736842,0.12571740463968067,0.12571740463968067,0.23703703703703705,0.24342105263157898,0.24375000000000002,1.0,0.19047619047619047,0.32,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.5,0.9047619047619048,0.6440677966101694,42.0,4.0,4.0,0.0,0.0,34.0,0.9345238095238095,0.23566878980891715,0.9285714285714286,0.05128205128205128,0.8571428571428571,0.05555555555555555,0.2351735270379337,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,prototype,168.0,0.7440476190476191,0.711649069884364,0.8154761904761905,0.21645297464870275,0.48078563809394836,2.34086275100708,0.738779604434967,0.9523809523809523,0.25,0.9107142857142857,0.27450980392156865,0.17544014508758446,0.17544014508758446,0.24444444444444446,0.24342105263157898,0.25,1.0,0.19047619047619047,0.32,42.0,1.0,1.0,1.0,42.0,0.8837209302325582,0.9047619047619048,0.8941176470588236,42.0,0.49333333333333335,0.8809523809523809,0.6324786324786325,42.0,4.0,5.0,0.0,0.0,34.0,0.9523809523809523,0.25,0.9523809523809523,0.075,0.8809523809523809,0.10810810810810811,0.24073188249658828,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,hierarchical,168.0,0.75,0.7172074253430186,0.8154761904761905,0.22614320757843204,0.47936880588531494,2.21773099899292,0.7210639715194702,0.9761904761904762,0.25,0.9285714285714286,0.2692307692307693,0.1734891466506867,0.1734891466506867,0.24444444444444446,0.24342105263157898,0.24375000000000002,1.0,0.19047619047619047,0.32,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.5,0.9047619047619048,0.6440677966101694,42.0,4.0,4.0,0.0,0.0,34.0,0.9761904761904762,0.25,0.9523809523809523,0.1,0.9761904761904762,0.0975609756097561,0.2351735270379337,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,fused,168.0,0.75,0.7172074253430186,0.8273809523809523,0.2317585952225186,0.48003020882606506,1.632233738899231,0.8035783767700195,0.9404761904761905,0.240506329113924,0.9047619047619048,0.2763157894736842,0.14898728991363955,0.14898728991363955,0.23703703703703705,0.24342105263157898,0.24375000000000002,1.0,0.19047619047619047,0.32,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.5,0.9047619047619048,0.6440677966101694,42.0,4.0,4.0,0.0,0.0,34.0,0.9404761904761905,0.240506329113924,0.9285714285714286,0.05128205128205128,0.8809523809523809,0.08108108108108109,0.2351735270379337,,
DWASHING,10.0,,,DWASHING_10dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940476190476191,
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,raw_softmax,168.0,0.7023809523809523,0.6346834091853095,0.7797619047619048,0.2759298220986412,0.5716971158981323,2.121399402618408,0.8309492468833923,0.9345238095238095,0.29299363057324845,0.9166666666666666,0.30519480519480524,0.18160749946358642,0.1816074994635864,0.28888888888888886,0.2894736842105263,0.2875,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.9,0.8571428571428571,0.8780487804878049,42.0,0.4588235294117647,0.9285714285714286,0.6141732283464567,42.0,6.0,3.0,0.0,1.0,40.0,0.9345238095238095,0.29299363057324845,0.9523809523809523,0.1,0.8333333333333334,0.05714285714285714,0.3176975431956428,,
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,prototype,168.0,0.6964285714285714,0.6292890276499131,0.7738095238095238,0.25961369985625854,0.5708537101745605,2.8906643390655518,0.738779604434967,0.9345238095238095,0.2866242038216561,0.9166666666666666,0.30519480519480524,0.2301618326164534,0.2301618326164534,0.2962962962962963,0.2828947368421053,0.29374999999999996,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.8780487804878049,0.8571428571428571,0.8674698795180723,42.0,0.4523809523809524,0.9047619047619048,0.6031746031746031,42.0,6.0,4.0,0.0,1.0,40.0,0.9345238095238095,0.2866242038216561,0.9523809523809523,0.1,0.8333333333333334,0.05714285714285714,0.3230919247310392,,
