fold,seed,clean_path,clean_md5,y_true,aux_true,original_valid_samples,valid_duration_ratio,noise_dataset,noise_environment,noise_file,noise_sha256,environment_recording_id,selected_channel,global_noise_seed,snr_reference,target_active_snr_db,simulated_noise,noise_protocol,real_farm_external_validation,noise_offset,noise_seed,noise_draw_id,noise_repeat,offset_key_version,clean_active_rms,noise_active_rms_before_gain,gain,achieved_active_snr_db,achieved_full_window_snr_db,peak_before_scale,final_global_scale,clipping_detected,valid_start,target_snr_db
3,3407,data/external/korea_raw/abdominal_cough/train_abdominal_13650.wav,93a5ad4fe68050d4fed47f6fb901400a,cough,abdominal_cough,14017,0.219015625,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.36710822582244873,1.0,False,,
3,3407,data/external/korea_raw/abdominal_cough/train_abdominal_03766.wav,2bc3c7743202ab0e5dcc80adc891a9d5,cough,abdominal_cough,13984,0.2185,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.2374226599931717,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/feeding/354-1.wav,d306d748188eab7c4e02af6a04a86560,feeding,feeding,63996,0.9999375,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,6109.26123046875,1.0,False,,
3,3407,data/external/korea_raw/abdominal_cough/train_abdominal_15578.wav,468f0f3490c31d9835e1efa34f5c8bdf,cough,abdominal_cough,13280,0.2075,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.3594608008861542,1.0,False,,
3,3407,data/external/korea_raw/abdominal_cough/train_abdominal_16859.wav,483868dba05dc44c30dfa75796941534,cough,abdominal_cough,10336,0.1615,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.2506556808948517,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/feeding/436-1.wav,01668ba671500cfb7e161b44a60f1c8a,feeding,feeding,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,9316.8193359375,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/feeding/402-1.wav,db4d0dd8d788ce0a774b6c3f965369b8,feeding,feeding,63988,0.9998125,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,10303.35546875,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/anxious_stress/1432-3.wav,3cd624dbb40bcaf702f39b2079792d20,stress_vocal,anxious_stress,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,21043.66015625,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/calm_grunt/52-0.wav,5e19f96b38bd8471a55f37fe5d8cd9bc,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,15464.69921875,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/feeding/369-1.wav,87bea639e871e56174b5c1b20f9f6a4f,feeding,feeding,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,16275.8017578125,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/anxious_stress/1486-3.wav,08d31adfafcf9a8b3c2dc41e785ab3e6,stress_vocal,anxious_stress,63990,0.99984375,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,27157.134765625,1.0,False,,
3,3407,data/external/korea_raw/dry_cough/train_dry_09120.wav,17ecc079b90de5d180046bddf44b5c76,cough,dry_cough,7392,0.1155,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.7028858661651611,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/calm_grunt/102-0.wav,6d4f8ee8a188c8c2a7f49f9b9b3cb9f5,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,15961.734375,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/feeding/302-1.wav,79194c97d1d3270fc3a7c37ab5ac5134,feeding,feeding,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,4271.65478515625,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/anxious_stress/1299-3.wav,e0eca44f183de50810d678b5a84cc11f,stress_vocal,anxious_stress,63992,0.999875,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,1186.730224609375,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/feeding/289-1.wav,0bdfa247933cecd0b4c2941adbe3b7c9,feeding,feeding,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,7681.1337890625,1.0,False,,
3,3407,data/raw/sow_call_dataset_labeled/feeding/452-1.wav,d3858a090a7d3824413bb4fc5f59f167,feeding,feeding,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,1129.130126953125,1.0,False,,
