noise_environment,snr_db,target_active_snr_db,snr_reference,condition,method,n,top1_acc,macro_f1,top2_acc,ece,brier,nll,frozen_global_threshold,frozen_threshold_coverage,frozen_threshold_selective_risk,frozen_per_class_threshold_coverage,frozen_per_class_threshold_selective_risk,aurc,risk_at_coverage_0.80,risk_at_coverage_0.90,risk_at_coverage_0.95,cough_precision,cough_recall,cough_f1,cough_support,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,calm_grunt_support,feeding_precision,feeding_recall,feeding_f1,feeding_support,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,stress_vocal_support,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,global_coverage,selective_risk,feeding_coverage,feeding_selective_risk,stress_vocal_coverage,stress_vocal_selective_risk,macro_f1_degradation_vs_clean,hierarchy_consistency,mean_prototype_distance_margin
clean,clean,clean,clean,clean,raw_softmax,168.0,0.9702380952380952,0.9702338766832035,1.0,0.028584515764599756,0.04693617671728134,0.08252569288015366,0.6018131971359253,0.9821428571428571,0.024242424242424288,0.9404761904761905,0.03164556962025311,0.0015945427358851347,0.0,0.0,0.018750000000000044,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.9302325581395349,0.9523809523809523,0.9411764705882353,42.0,3.0,2.0,0.0,0.0,0.0,0.9821428571428571,0.024242424242424288,0.9761904761904762,0.04878048780487805,0.9523809523809523,0.05,0.0,,
clean,clean,clean,clean,clean,prototype,168.0,0.9702380952380952,0.9702338766832035,1.0,0.020456448906943963,0.04840559512376785,0.08314105868339539,0.683018684387207,0.9940476190476191,0.029940119760479056,0.9940476190476191,0.029940119760479056,0.0016295619908468942,0.0,0.006578947368421018,0.012499999999999956,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.9302325581395349,0.9523809523809523,0.9411764705882353,42.0,3.0,2.0,0.0,0.0,0.0,0.9940476190476191,0.029940119760479056,0.9761904761904762,0.07317073170731707,1.0,0.047619047619047616,0.0,,
clean,clean,clean,clean,clean,hierarchical,168.0,0.9702380952380952,0.9702338766832035,1.0,0.006991480787595069,0.04483713209629059,0.07889360189437866,0.6116796731948853,0.9880952380952381,0.02409638554216864,0.9642857142857143,0.030864197530864224,0.002191480245628528,0.0,0.006578947368421018,0.018750000000000044,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.9302325581395349,0.9523809523809523,0.9411764705882353,42.0,3.0,2.0,0.0,0.0,0.0,0.9880952380952381,0.02409638554216864,0.9761904761904762,0.07317073170731707,0.9761904761904762,0.024390243902439025,0.0,,
clean,clean,clean,clean,clean,fused,168.0,0.9702380952380952,0.9702338766832035,1.0,0.022332898208073163,0.04995480179786682,0.07886763662099838,0.6995101571083069,0.9821428571428571,0.024242424242424288,0.9583333333333334,0.03105590062111796,0.0015191206106614944,0.0,0.0,0.018750000000000044,1.0,1.0,1.0,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.9302325581395349,0.9523809523809523,0.9411764705882353,42.0,3.0,2.0,0.0,0.0,0.0,0.9821428571428571,0.024242424242424288,0.9761904761904762,0.04878048780487805,0.9523809523809523,0.05,0.0,,
clean,clean,,,clean,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940476190476191,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,raw_softmax,168.0,0.8035714285714286,0.7869309094786225,0.8809523809523809,0.14074311511857168,0.3440346419811249,0.7660044431686401,0.6018131971359253,0.9761904761904762,0.18902439024390238,0.8869047619047619,0.2214765100671141,0.07568483976985196,0.16296296296296298,0.17763157894736847,0.1875,1.0,0.3333333333333333,0.5,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.5633802816901409,0.9523809523809523,0.7079646017699115,42.0,3.0,2.0,0.0,0.0,28.0,0.9761904761904762,0.18902439024390238,0.9761904761904762,0.04878048780487805,0.9523809523809523,0.05,0.18330296720458095,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,prototype,168.0,0.8154761904761905,0.8030509736990834,0.8809523809523809,0.1725216277298473,0.3558158576488495,2.231713056564331,0.683018684387207,0.9940476190476191,0.18562874251497008,0.9523809523809523,0.19374999999999998,0.12057106636627567,0.1703703703703704,0.16447368421052633,0.17500000000000004,1.0,0.38095238095238093,0.5517241379310345,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.5797101449275363,0.9523809523809523,0.7207207207207207,42.0,3.0,2.0,0.0,0.0,26.0,0.9940476190476191,0.18562874251497008,0.9761904761904762,0.07317073170731707,1.0,0.047619047619047616,0.16718290298412009,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,hierarchical,168.0,0.8095238095238095,0.7950901349759942,0.8809523809523809,0.16433289753539226,0.35336777567863464,1.5929034948349,0.6116796731948853,0.9821428571428571,0.18181818181818177,0.9226190476190477,0.20645161290322578,0.12330898855901962,0.1777777777777778,0.17105263157894735,0.18125000000000002,1.0,0.35714285714285715,0.5263157894736842,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.5714285714285714,0.9523809523809523,0.7142857142857143,42.0,3.0,2.0,0.0,0.0,27.0,0.9821428571428571,0.18181818181818177,0.9761904761904762,0.07317073170731707,0.9761904761904762,0.024390243902439025,0.17514374170720926,,
DWASHING,20.0,20.0,active_valid_region,DWASHING_20dB,fused,168.0,0.8035714285714286,0.7869309094786225,0.8809523809523809,0.18898479924315503,0.3741684556007385,1.4053653478622437,0.6995101571083069,0.9761904761904762,0.18902439024390238,0.8869047619047619,0.2214765100671141,0.0817253915511287,0.1703703703703704,0.17763157894736847,0.1875,1.0,0.3333333333333333,0.5,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.5633802816901409,0.9523809523809523,0.7079646017699115,42.0,3.0,2.0,0.0,0.0,28.0,0.9761904761904762,0.18902439024390238,0.9761904761904762,0.04878048780487805,0.9523809523809523,0.05,0.18330296720458095,,
DWASHING,20.0,,,DWASHING_20dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880952380952381,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,raw_softmax,168.0,0.7202380952380952,0.6424200739967745,0.8154761904761905,0.2393132143077396,0.5160569548606873,1.320287823677063,0.6018131971359253,0.9880952380952381,0.2831325301204819,0.9583333333333334,0.2919254658385093,0.14944359996042364,0.28888888888888886,0.26973684210526316,0.275,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.47058823529411764,0.9523809523809523,0.6299212598425197,42.0,3.0,2.0,0.0,0.0,42.0,0.9880952380952381,0.2831325301204819,0.9761904761904762,0.07317073170731707,0.9761904761904762,0.04878048780487805,0.327813802686429,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,prototype,168.0,0.7202380952380952,0.6586026494162978,0.8095238095238095,0.26934647737514406,0.527148425579071,3.9442639350891113,0.683018684387207,0.9880952380952381,0.27108433734939763,0.9761904761904762,0.27439024390243905,0.22746175776474387,0.28888888888888886,0.26973684210526316,0.26875000000000004,1.0,0.047619047619047616,0.09090909090909091,42.0,1.0,1.0,1.0,42.0,0.9487179487179487,0.8809523809523809,0.9135802469135802,42.0,0.47058823529411764,0.9523809523809523,0.6299212598425197,42.0,5.0,2.0,0.0,0.0,40.0,0.9880952380952381,0.27108433734939763,0.9523809523809523,0.075,1.0,0.047619047619047616,0.31163122726690573,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,hierarchical,168.0,0.7202380952380952,0.6508155390105448,0.8095238095238095,0.2468185382229941,0.5309954881668091,2.8153188228607178,0.6116796731948853,0.9761904761904762,0.27439024390243905,0.9642857142857143,0.2777777777777778,0.2277403759756631,0.2962962962962963,0.2763157894736842,0.26875000000000004,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.95,0.9047619047619048,0.926829268292683,42.0,0.47058823529411764,0.9523809523809523,0.6299212598425197,42.0,4.0,2.0,0.0,0.0,41.0,0.9761904761904762,0.27439024390243905,0.9761904761904762,0.0975609756097561,0.9761904761904762,0.024390243902439025,0.3194183376726587,,
DWASHING,10.0,10.0,active_valid_region,DWASHING_10dB,fused,168.0,0.7202380952380952,0.6424200739967745,0.8154761904761905,0.2699518381130128,0.5456255078315735,2.529764175415039,0.6995101571083069,0.9880952380952381,0.2831325301204819,0.9642857142857143,0.2901234567901234,0.15867416360072126,0.2962962962962963,0.26973684210526316,0.275,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.47058823529411764,0.9523809523809523,0.6299212598425197,42.0,3.0,2.0,0.0,0.0,42.0,0.9880952380952381,0.2831325301204819,0.9761904761904762,0.07317073170731707,0.9761904761904762,0.04878048780487805,0.327813802686429,,
DWASHING,10.0,,,DWASHING_10dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9702380952380952,
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,raw_softmax,168.0,0.7083333333333334,0.6334338214183175,0.7559523809523809,0.2448281936702274,0.5526567101478577,1.7330689430236816,0.6018131971359253,0.9821428571428571,0.2909090909090909,0.9404761904761905,0.30379746835443033,0.19226328525788997,0.3111111111111111,0.2894736842105263,0.2875,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9487179487179487,0.8809523809523809,0.9135802469135802,42.0,0.45977011494252873,0.9523809523809523,0.6201550387596899,42.0,5.0,2.0,0.0,0.0,42.0,0.9821428571428571,0.2909090909090909,0.9523809523809523,0.125,0.9761904761904762,0.024390243902439025,0.336800055264886,,
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,prototype,168.0,0.7023809523809523,0.6296620046620046,0.7559523809523809,0.28488400613977793,0.5749607086181641,5.113712310791016,0.683018684387207,0.9583333333333334,0.2919254658385093,0.9702380952380952,0.29447852760736193,0.24794014025038552,0.31851851851851853,0.29605263157894735,0.29374999999999996,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9722222222222222,0.8333333333333334,0.8974358974358975,42.0,0.45555555555555555,0.9761904761904762,0.6212121212121212,42.0,7.0,1.0,0.0,0.0,42.0,0.9583333333333334,0.2919254658385093,0.8809523809523809,0.13513513513513514,0.9523809523809523,0.0,0.3405718720211989,,
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,hierarchical,168.0,0.6964285714285714,0.6249145591250854,0.7559523809523809,0.27628284196058905,0.5808908343315125,3.638385534286499,0.6116796731948853,0.9642857142857143,0.2962962962962963,0.9583333333333334,0.31055900621118016,0.2452333719432243,0.31851851851851853,0.3026315789473685,0.29374999999999996,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9714285714285714,0.8095238095238095,0.8831168831168831,42.0,0.45054945054945056,0.9761904761904762,0.6165413533834586,42.0,8.0,1.0,0.0,0.0,42.0,0.9642857142857143,0.2962962962962963,0.8809523809523809,0.16216216216216217,0.9761904761904762,0.0,0.34531931755811807,,
DWASHING,0.0,0.0,active_valid_region,DWASHING_0dB,fused,168.0,0.7083333333333334,0.6334338214183175,0.7559523809523809,0.27106655708381105,0.5643802881240845,3.3612046241760254,0.6995101571083069,0.9821428571428571,0.2909090909090909,0.9523809523809523,0.30000000000000004,0.2010281871942605,0.3111111111111111,0.2894736842105263,0.2875,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9487179487179487,0.8809523809523809,0.9135802469135802,42.0,0.45977011494252873,0.9523809523809523,0.6201550387596899,42.0,5.0,2.0,0.0,0.0,42.0,0.9821428571428571,0.2909090909090909,0.9523809523809523,0.125,0.9761904761904762,0.024390243902439025,0.336800055264886,,
DWASHING,0.0,,,DWASHING_0dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9821428571428571,
TBUS,20.0,20.0,active_valid_region,TBUS_20dB,raw_softmax,168.0,0.7261904761904762,0.6621281943862589,0.8511904761904762,0.21035246834868476,0.46790632605552673,1.0729191303253174,0.6018131971359253,0.9702380952380952,0.2576687116564417,0.9464285714285714,0.2767295597484277,0.10823085186187618,0.2518518518518519,0.256578947368421,0.25625,1.0,0.047619047619047616,0.09090909090909091,42.0,1.0,1.0,1.0,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,0.47560975609756095,0.9285714285714286,0.6290322580645161,42.0,3.0,3.0,0.0,0.0,40.0,0.9702380952380952,0.2576687116564417,0.9761904761904762,0.04878048780487805,0.9523809523809523,0.05,0.30810568229694457,,
TBUS,20.0,20.0,active_valid_region,TBUS_20dB,prototype,168.0,0.7440476190476191,0.69101964592197,0.8333333333333334,0.2438752864088331,0.4953707158565521,3.4140050411224365,0.683018684387207,0.9940476190476191,0.2574850299401198,0.9821428571428571,0.2606060606060606,0.18433856195071155,0.24444444444444446,0.24342105263157898,0.24375000000000002,1.0,0.09523809523809523,0.17391304347826086,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.49382716049382713,0.9523809523809523,0.6504065040650406,42.0,3.0,2.0,0.0,0.0,38.0,0.9940476190476191,0.2574850299401198,0.9761904761904762,0.07317073170731707,1.0,0.047619047619047616,0.27921423076123353,,
TBUS,20.0,20.0,active_valid_region,TBUS_20dB,hierarchical,168.0,0.7440476190476191,0.69101964592197,0.8392857142857143,0.2281417410288538,0.4904175400733948,2.454998016357422,0.6116796731948853,0.9880952380952381,0.2530120481927711,0.9583333333333334,0.26708074534161486,0.18530171614373625,0.2592592592592593,0.256578947368421,0.25625,1.0,0.09523809523809523,0.17391304347826086,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.49382716049382713,0.9523809523809523,0.6504065040650406,42.0,3.0,2.0,0.0,0.0,38.0,0.9880952380952381,0.2530120481927711,0.9761904761904762,0.07317073170731707,0.9761904761904762,0.024390243902439025,0.27921423076123353,,
TBUS,20.0,20.0,active_valid_region,TBUS_20dB,fused,168.0,0.7261904761904762,0.6621281943862589,0.8511904761904762,0.25292342830271947,0.510343611240387,2.019829273223877,0.6995101571083069,0.9702380952380952,0.2576687116564417,0.9583333333333334,0.27329192546583847,0.11485473743531024,0.2592592592592593,0.256578947368421,0.25625,1.0,0.047619047619047616,0.09090909090909091,42.0,1.0,1.0,1.0,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,0.47560975609756095,0.9285714285714286,0.6290322580645161,42.0,3.0,3.0,0.0,0.0,40.0,0.9702380952380952,0.2576687116564417,0.9761904761904762,0.04878048780487805,0.9523809523809523,0.05,0.30810568229694457,,
TBUS,20.0,,,TBUS_20dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940476190476191,
TBUS,10.0,10.0,active_valid_region,TBUS_10dB,raw_softmax,168.0,0.7202380952380952,0.6424200739967745,0.7738095238095238,0.2523782104253769,0.529747486114502,1.4901845455169678,0.6018131971359253,0.9880952380952381,0.2831325301204819,0.9523809523809523,0.29374999999999996,0.15935723786398978,0.3111111111111111,0.2828947368421053,0.275,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.47058823529411764,0.9523809523809523,0.6299212598425197,42.0,3.0,2.0,0.0,0.0,42.0,0.9880952380952381,0.2831325301204819,1.0,0.07142857142857142,0.9523809523809523,0.05,0.327813802686429,,
TBUS,10.0,10.0,active_valid_region,TBUS_10dB,prototype,168.0,0.7142857142857143,0.6379573170731707,0.7559523809523809,0.27496535366489766,0.5504440665245056,4.970597267150879,0.683018684387207,0.9880952380952381,0.27710843373493976,0.9940476190476191,0.281437125748503,0.23863535787085505,0.3111111111111111,0.2894736842105263,0.28125,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.95,0.9047619047619048,0.926829268292683,42.0,0.46511627906976744,0.9523809523809523,0.625,42.0,4.0,2.0,0.0,0.0,42.0,0.9880952380952381,0.27710843373493976,0.9761904761904762,0.07317073170731707,0.9761904761904762,0.024390243902439025,0.3322765596100328,,
TBUS,10.0,10.0,active_valid_region,TBUS_10dB,hierarchical,168.0,0.7142857142857143,0.6379573170731707,0.7619047619047619,0.262450111763818,0.5513597726821899,3.540262222290039,0.6116796731948853,0.9761904761904762,0.2804878048780488,0.9821428571428571,0.2787878787878788,0.23628198158764524,0.31851851851851853,0.29605263157894735,0.28125,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.95,0.9047619047619048,0.926829268292683,42.0,0.46511627906976744,0.9523809523809523,0.625,42.0,4.0,2.0,0.0,0.0,42.0,0.9761904761904762,0.2804878048780488,0.9285714285714286,0.07692307692307693,0.9761904761904762,0.024390243902439025,0.3322765596100328,,
TBUS,10.0,10.0,active_valid_region,TBUS_10dB,fused,168.0,0.7202380952380952,0.6424200739967745,0.7738095238095238,0.2712404355406761,0.5493963360786438,2.8730454444885254,0.6995101571083069,0.9880952380952381,0.2831325301204819,0.9642857142857143,0.2901234567901234,0.1661326337080586,0.3111111111111111,0.2828947368421053,0.275,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9512195121951219,0.9285714285714286,0.9397590361445783,42.0,0.47058823529411764,0.9523809523809523,0.6299212598425197,42.0,3.0,2.0,0.0,0.0,42.0,0.9880952380952381,0.2831325301204819,1.0,0.07142857142857142,0.9523809523809523,0.05,0.327813802686429,,
TBUS,10.0,,,TBUS_10dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9702380952380952,
TBUS,0.0,0.0,active_valid_region,TBUS_0dB,raw_softmax,168.0,0.6904761904761905,0.6194638694638694,0.75,0.25041567498729345,0.5583284497261047,1.8380709886550903,0.6018131971359253,0.9761904761904762,0.2987804878048781,0.9226190476190477,0.32258064516129037,0.1819778413982595,0.3111111111111111,0.2894736842105263,0.29374999999999996,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,42.0,0.4444444444444444,0.9523809523809523,0.6060606060606061,42.0,8.0,2.0,0.0,0.0,42.0,0.9761904761904762,0.2987804878048781,0.9285714285714286,0.15384615384615385,0.9761904761904762,0.024390243902439025,0.35077000721933405,,
TBUS,0.0,0.0,active_valid_region,TBUS_0dB,prototype,168.0,0.6845238095238095,0.6151851851851853,0.75,0.2957093226058143,0.5982924103736877,6.005777835845947,0.683018684387207,0.9523809523809523,0.30625,0.9642857142857143,0.308641975308642,0.2322092004260869,0.31851851851851853,0.3092105263157895,0.30625,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9696969696969697,0.7619047619047619,0.8533333333333334,42.0,0.44086021505376344,0.9761904761904762,0.6074074074074074,42.0,10.0,1.0,0.0,0.0,42.0,0.9523809523809523,0.30625,0.8571428571428571,0.19444444444444445,0.9523809523809523,0.0,0.3550486914980182,,
TBUS,0.0,0.0,active_valid_region,TBUS_0dB,hierarchical,168.0,0.6845238095238095,0.6156134386561344,0.75,0.28580748041470844,0.6034737825393677,4.307995319366455,0.6116796731948853,0.9583333333333334,0.31677018633540377,0.9464285714285714,0.3207547169811321,0.22652028072596941,0.31851851851851853,0.3157894736842105,0.3125,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,1.0,0.7380952380952381,0.8493150684931506,42.0,0.4421052631578947,1.0,0.6131386861313869,42.0,11.0,0.0,0.0,0.0,42.0,0.9583333333333334,0.31677018633540377,0.8809523809523809,0.24324324324324326,0.9523809523809523,0.0,0.3546204380270691,,
TBUS,0.0,0.0,active_valid_region,TBUS_0dB,fused,168.0,0.6904761904761905,0.6194638694638694,0.75,0.27917297716651646,0.5768746733665466,3.5474276542663574,0.6995101571083069,0.9761904761904762,0.2987804878048781,0.9404761904761905,0.31645569620253167,0.18702853745716527,0.3111111111111111,0.2894736842105263,0.30000000000000004,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,42.0,0.4444444444444444,0.9523809523809523,0.6060606060606061,42.0,8.0,2.0,0.0,0.0,42.0,0.9761904761904762,0.2987804878048781,0.9285714285714286,0.15384615384615385,0.9761904761904762,0.024390243902439025,0.35077000721933405,,
TBUS,0.0,,,TBUS_0dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9702380952380952,
STRAFFIC,20.0,20.0,active_valid_region,STRAFFIC_20dB,raw_softmax,168.0,0.7142857142857143,0.6369047619047619,0.7619047619047619,0.24286508489222758,0.540534496307373,1.728114128112793,0.6018131971359253,0.9880952380952381,0.2831325301204819,0.9642857142857143,0.2901234567901234,0.1888711079045695,0.3111111111111111,0.2828947368421053,0.275,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0,0.4642857142857143,0.9285714285714286,0.6190476190476191,42.0,3.0,3.0,0.0,0.0,42.0,0.9880952380952381,0.2831325301204819,1.0,0.07142857142857142,0.9523809523809523,0.05,0.3333291147784416,,
