noise_environment,snr_db,method,labels,confusion_matrix,cough_precision,cough_recall,cough_f1,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,feeding_precision,feeding_recall,feeding_f1,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,macro_f1_from_cm,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,condition_family
DWASHING,0.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[6, 0, 0, 624], [0, 630, 0, 0], [0, 0, 513, 117], [0, 0, 38, 592]]",1.0,0.009523809523809525,0.01886792452830189,1.0,1.0,1.0,0.9310344827586207,0.8142857142857143,0.8687552921253174,0.4441110277569392,0.9396825396825397,0.6031584309730006,0.622695411906655,117,38,0,0,624,
DWASHING,0.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[6, 1, 0, 623], [0, 630, 0, 0], [0, 0, 499, 131], [0, 0, 30, 600]]",1.0,0.009523809523809525,0.01886792452830189,0.9984152139461173,1.0,0.9992069785884219,0.943289224952741,0.792063492063492,0.8610871440897325,0.4431314623338257,0.9523809523809523,0.6048387096774193,0.6210001892209689,131,30,1,0,623,
DWASHING,0.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[7, 1, 0, 622], [0, 630, 0, 0], [0, 0, 517, 113], [0, 0, 36, 594]]",1.0,0.011111111111111112,0.02197802197802198,0.9984152139461173,1.0,0.9992069785884219,0.9349005424954792,0.8206349206349206,0.8740490278951816,0.4469525959367946,0.9428571428571428,0.6064318529862175,0.6254164703619607,113,36,1,0,622,
DWASHING,0.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[4, 0, 0, 626], [0, 630, 0, 0], [0, 0, 500, 130], [0, 0, 36, 594]]",1.0,0.006349206349206349,0.012618296529968454,1.0,1.0,1.0,0.9328358208955224,0.7936507936507936,0.8576329331046312,0.44,0.9428571428571428,0.6000000000000001,0.6175628074086499,130,36,0,0,626,
DWASHING,10.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[22, 0, 0, 608], [0, 630, 0, 0], [0, 0, 552, 78], [0, 0, 48, 582]]",1.0,0.03492063492063492,0.06748466257668712,1.0,1.0,1.0,0.92,0.8761904761904762,0.8975609756097561,0.4589905362776025,0.9238095238095239,0.613277133825079,0.6445806930028806,78,48,0,0,608,
DWASHING,10.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[27, 0, 0, 603], [0, 630, 0, 0], [0, 0, 548, 82], [0, 0, 39, 591]]",1.0,0.04285714285714286,0.0821917808219178,1.0,1.0,1.0,0.9335604770017035,0.8698412698412699,0.9005751848808546,0.46316614420062696,0.9380952380952381,0.6201469045120671,0.6507284675537098,82,39,0,0,603,
DWASHING,10.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[28, 0, 0, 602], [0, 630, 0, 0], [0, 0, 551, 79], [0, 0, 51, 579]]",1.0,0.044444444444444446,0.0851063829787234,1.0,1.0,1.0,0.915282392026578,0.8746031746031746,0.8944805194805194,0.4595238095238095,0.919047619047619,0.6126984126984126,0.6480713287894139,79,51,0,0,602,
DWASHING,10.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[20, 0, 0, 610], [0, 630, 0, 0], [0, 0, 541, 89], [0, 0, 48, 582]]",1.0,0.031746031746031744,0.06153846153846154,1.0,1.0,1.0,0.9185059422750425,0.8587301587301587,0.8876127973748974,0.45433255269320844,0.9238095238095239,0.609105180533752,0.6395641098617777,89,48,0,0,610,
DWASHING,20.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[187, 0, 0, 443], [0, 630, 0, 0], [0, 0, 565, 65], [0, 0, 51, 579]]",1.0,0.2968253968253968,0.4577723378212974,1.0,1.0,1.0,0.9172077922077922,0.8968253968253969,0.9069020866773676,0.5326586936522539,0.919047619047619,0.6744321490972627,0.7597766433989819,65,51,0,0,443,
DWASHING,20.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[197, 0, 0, 433], [0, 630, 0, 0], [0, 0, 558, 72], [0, 0, 42, 588]]",1.0,0.3126984126984127,0.47642079806529625,1.0,1.0,1.0,0.93,0.8857142857142857,0.9073170731707316,0.5379688929551693,0.9333333333333333,0.6825304701102728,0.7665670853365751,72,42,0,0,433,
DWASHING,20.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[202, 0, 0, 428], [0, 630, 0, 0], [0, 0, 563, 67], [0, 0, 52, 578]]",1.0,0.32063492063492066,0.48557692307692313,1.0,1.0,1.0,0.9154471544715447,0.8936507936507937,0.9044176706827309,0.5386766076421249,0.9174603174603174,0.6788021139166177,0.7671991769190679,67,52,0,0,428,
DWASHING,20.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[184, 0, 0, 446], [0, 630, 0, 0], [0, 0, 557, 73], [0, 0, 54, 576]]",1.0,0.2920634920634921,0.4520884520884521,1.0,1.0,1.0,0.911620294599018,0.8841269841269841,0.8976631748589846,0.5260273972602739,0.9142857142857143,0.6678260869565217,0.7543944284759896,73,54,0,0,446,
STRAFFIC,0.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 15, 0, 615], [0, 628, 0, 2], [0, 51, 148, 431], [0, 10, 2, 618]]",0.0,0.0,0.0,0.8920454545454546,0.9968253968253968,0.9415292353823088,0.9866666666666667,0.23492063492063492,0.3794871794871795,0.3709483793517407,0.9809523809523809,0.5383275261324042,0.4648359852504731,431,2,15,0,615,
STRAFFIC,0.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 52, 0, 578], [0, 628, 0, 2], [0, 60, 143, 427], [0, 15, 2, 613]]",0.0,0.0,0.0,0.8317880794701987,0.9968253968253968,0.9068592057761733,0.9862068965517241,0.22698412698412698,0.3690322580645161,0.37839506172839504,0.973015873015873,0.544888888888889,0.4551950881823946,427,2,52,0,578,
STRAFFIC,0.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 64, 0, 566], [0, 628, 0, 2], [0, 68, 168, 394], [0, 16, 2, 612]]",0.0,0.0,0.0,0.8092783505154639,0.9968253968253968,0.8933143669985776,0.9882352941176471,0.26666666666666666,0.42000000000000004,0.38881829733163914,0.9714285714285714,0.5553539019963702,0.46716706724873697,394,2,64,0,566,
STRAFFIC,0.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 15, 0, 615], [0, 627, 0, 3], [0, 51, 141, 438], [0, 10, 2, 618]]",0.0,0.0,0.0,0.8918918918918919,0.9952380952380953,0.9407351837959489,0.986013986013986,0.22380952380952382,0.3648124191461837,0.36917562724014336,0.9809523809523809,0.5364583333333334,0.4605014840688665,438,2,15,0,615,
STRAFFIC,10.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 630], [0, 630, 0, 0], [0, 2, 430, 198], [0, 0, 26, 604]]",0.0,0.0,0.0,0.9968354430379747,1.0,0.9984152139461173,0.9429824561403509,0.6825396825396826,0.7918968692449355,0.42178770949720673,0.9587301587301588,0.5858389912706111,0.594037768615416,198,26,0,0,630,
STRAFFIC,10.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 1, 0, 629], [0, 630, 0, 0], [0, 2, 411, 217], [0, 0, 25, 605]]",0.0,0.0,0.0,0.995260663507109,1.0,0.997624703087886,0.9426605504587156,0.6523809523809524,0.7711069418386493,0.4169538249483115,0.9603174603174603,0.5814512253724171,0.5875457175747381,217,25,1,0,629,
STRAFFIC,10.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 1, 0, 629], [0, 630, 0, 0], [0, 2, 452, 176], [0, 0, 27, 603]]",0.0,0.0,0.0,0.995260663507109,1.0,0.997624703087886,0.9436325678496869,0.7174603174603175,0.8151487826871054,0.42826704545454547,0.9571428571428572,0.591756624141315,0.6011325274790766,176,27,1,0,629,
STRAFFIC,10.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 630], [0, 630, 0, 0], [0, 2, 423, 205], [0, 0, 25, 605]]",0.0,0.0,0.0,0.9968354430379747,1.0,0.9984152139461173,0.9441964285714286,0.6714285714285714,0.7847866419294989,0.4201388888888889,0.9603174603174603,0.5845410628019323,0.5919357296693871,205,25,0,0,630,
STRAFFIC,20.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 630], [0, 630, 0, 0], [0, 0, 537, 93], [0, 0, 46, 584]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9210977701543739,0.8523809523809524,0.8854080791426217,0.4468247895944912,0.926984126984127,0.6029943211151264,0.622100600064437,93,46,0,0,630,
STRAFFIC,20.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 630], [0, 630, 0, 0], [0, 0, 530, 100], [0, 0, 36, 594]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9363957597173145,0.8412698412698413,0.8862876254180602,0.4486404833836858,0.9428571428571428,0.6079836233367452,0.6235678121887014,100,36,0,0,630,
