noise_environment,method,macro_f1_degradation_slope_per_db
DWASHING,fused,-0.006653020963385644
DWASHING,hierarchical,-0.007075962399067556
DWASHING,prototype,-0.006872166690063821
DWASHING,raw_softmax,-0.006637329139339512
STRAFFIC,fused,-0.008064476129815281
STRAFFIC,hierarchical,-0.008570309888266014
STRAFFIC,prototype,-0.007985855698092426
STRAFFIC,raw_softmax,-0.00804000897093804
TBUS,fused,-0.0030949916961553457
TBUS,hierarchical,-0.00355682334080863
TBUS,prototype,-0.002990812800552719
TBUS,raw_softmax,-0.0030840579565177165
