noise_environment,snr_db,fold,prototype_minus_raw_softmax,hierarchical_minus_raw_softmax,hierarchical_minus_prototype
ALL_NOISY,GROUP,0,0.008267296337042263,0.004322488278927783,-0.0039448080581144795
ALL_NOISY,GROUP,1,0.031722910851184394,0.025341140425026776,-0.006381770426157618
ALL_NOISY,GROUP,2,0.0020955751358963104,-0.0004923405284311677,-0.002587915664327478
ALL_NOISY,GROUP,3,0.002264926922558863,0.001145405434886393,-0.0011195214876724702
ALL_NOISY,GROUP,4,-0.0007454687082566469,-0.006236514776972069,-0.005491046068715422
MODERATE_NOISE,GROUP,0,0.007492577314108573,0.0057367131437164876,-0.0017558641703920852
MODERATE_NOISE,GROUP,1,0.025748685085496326,0.026164070402404316,0.0004153853169079902
MODERATE_NOISE,GROUP,2,0.0024910535802202816,0.0013186112657750382,-0.0011724423144452434
MODERATE_NOISE,GROUP,3,0.0044640064930823176,0.0028658108532270132,-0.0015981956398553043
MODERATE_NOISE,GROUP,4,0.0029782041242054635,-0.0005106049767399368,-0.0034888091009454003
EXTREME_STRESS,GROUP,0,0.00981673438290942,0.0014940385493502628,-0.008322695833559157
EXTREME_STRESS,GROUP,1,0.04367136238256031,0.02369528047027203,-0.01997608191228828
EXTREME_STRESS,GROUP,2,0.001304618247248479,-0.0041142441168434685,-0.0054188623640919475
EXTREME_STRESS,GROUP,3,-0.002133232218487824,-0.0022954054017948478,-0.0001621731833070239
EXTREME_STRESS,GROUP,4,-0.008192814373180979,-0.017688334377436776,-0.009495520004255797
