noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean,condition_family
DWASHING,0.0,fused,15,0.6217659435830409,0.02182521722932395,0.690873015873016,0.7674603174603175,0.278117409206572,0.5841350873311361,3.024046540260315,0.2143499068801418,0.9194444444444444,0.30245128864227694,0.33252329672402536,
DWASHING,0.0,hierarchical,15,0.6201859736679711,0.020757382674636206,0.6884920634920634,0.7579365079365079,0.27956852740238586,0.5898145119349162,4.702613131205241,0.2346064309269792,0.9230158730158731,0.3053823813413951,0.3353132277867683,
DWASHING,0.0,prototype,15,0.624549468209011,0.02340858995408374,0.6936507936507936,0.7567460317460317,0.27553275551587814,0.580897843837738,4.503697379430135,0.2334310321821508,0.9265873015873016,0.3002994787695405,0.3277833640559156,
DWASHING,0.0,raw_softmax,15,0.6164581800103407,0.020861251564999173,0.6857142857142857,0.7714285714285715,0.2660198562911578,0.5791873017946879,1.930928603808085,0.20899566537566358,0.9202380952380954,0.3047964841796186,0.33378550931273016,
DWASHING,10.0,fused,15,0.6407091114071412,0.04684886080284717,0.7087301587301585,0.7916666666666666,0.2587954835286217,0.5496961176395416,2.5445348978042603,0.18016498883356505,0.9190476190476191,0.2846317602028486,0.31358012889992504,
DWASHING,10.0,hierarchical,15,0.6468175897986941,0.04809509967312704,0.7126984126984126,0.7789682539682539,0.26085127038615086,0.550828339656194,4.170767243703207,0.2207283683217896,0.9194444444444443,0.28409399220887255,0.30868161165604546,
DWASHING,10.0,prototype,15,0.6441304083761188,0.04388414537002216,0.7095238095238093,0.7781746031746032,0.2572118163818405,0.5455809156099956,3.959439484278361,0.21691984561856156,0.9277777777777778,0.2802508786379376,0.3082024238888079,
DWASHING,10.0,raw_softmax,15,0.6358002031436905,0.04477225373795919,0.7035714285714284,0.7944444444444445,0.24548673214656966,0.5420283555984498,1.6627962946891786,0.16758329534389044,0.9218253968253969,0.28507633802202975,0.31444348617938017,
DWASHING,20.0,fused,15,0.7548263628507537,0.05637521393664737,0.7781746031746033,0.8678571428571428,0.19221324543394733,0.41012517313162483,1.5536985198656719,0.10615823596293968,0.9063492063492063,0.20773862064438797,0.1994628774563124,
DWASHING,20.0,hierarchical,15,0.7617052216493224,0.057481863545199144,0.7829365079365079,0.8531746031746033,0.18990536847757913,0.4066843022902807,2.6074949900309243,0.1362226502244404,0.9214285714285715,0.20309232689361828,0.1937939798054171,
DWASHING,20.0,prototype,15,0.7619928020102874,0.054908373142433894,0.7829365079365079,0.8527777777777779,0.18491089346389922,0.4024176170428594,2.459156131744385,0.13176152989229248,0.9226190476190477,0.20282171436281515,0.1903400302546392,
DWASHING,20.0,raw_softmax,15,0.7492047627971308,0.055736234253446905,0.7726190476190476,0.8706349206349205,0.17333336778812938,0.4045573870340983,1.0751939276854197,0.09980216318070925,0.9063492063492063,0.20963027140143045,0.20103892652593985,
STRAFFIC,0.0,fused,15,0.46032663108790983,0.05828584067093852,0.5531746031746033,0.6912698412698411,0.4011568887602715,0.8193207383155823,4.076504961649577,0.230447568398443,0.9031746031746032,0.41719702208410997,0.49396260921915647,
STRAFFIC,0.0,hierarchical,15,0.45197249735929174,0.06275267439917204,0.5492063492063491,0.7027777777777777,0.40763574546528236,0.8299817363421123,5.500065008799235,0.22426550604087084,0.8972222222222223,0.4211568649817489,0.503526704095448,
STRAFFIC,0.0,prototype,15,0.4653310686215374,0.06261225119393164,0.5587301587301586,0.7047619047619046,0.39091197700491026,0.8067865292231242,5.130179484685262,0.22044464368847594,0.8972222222222221,0.4114608046032528,0.4870017636433894,
STRAFFIC,0.0,raw_softmax,15,0.4557103829717111,0.059126920639525335,0.55,0.6861111111111111,0.3841157660479583,0.7998692830403645,2.693823003768921,0.24448002214688996,0.9047619047619048,0.4215525224005884,0.4945333063513596,
STRAFFIC,10.0,fused,15,0.5914409073694711,0.03271781405400244,0.6603174603174603,0.7507936507936507,0.302824156021788,0.6287867387135824,3.4857734362284343,0.21461359701267416,0.915079365079365,0.3305451390085109,0.36284833293759505,
STRAFFIC,10.0,hierarchical,15,0.5856635498873398,0.025134512960069973,0.6531746031746032,0.7492063492063491,0.30619140036758924,0.6381364504496256,5.280349206924439,0.22234343211240895,0.9134920634920635,0.33398440548896974,0.36983565156739967,
STRAFFIC,10.0,prototype,15,0.6000715175225841,0.017260137519540038,0.6686507936507937,0.7496031746031746,0.29500323347156004,0.6203393538792928,5.016464980443319,0.22216948179455584,0.9202380952380953,0.32454992873542593,0.3522613147423426,
STRAFFIC,10.0,raw_softmax,15,0.5886647486682114,0.03718001283740176,0.6579365079365079,0.7507936507936507,0.28835758792739064,0.6229268908500671,2.200839082400004,0.21524067515858394,0.9246031746031746,0.3367418802652265,0.36157894065485946,
STRAFFIC,20.0,fused,15,0.6216161536842154,0.013768334353490286,0.6948412698412697,0.7531746031746032,0.2766883821951019,0.5793874184290568,3.227431305249532,0.20187430359937464,0.9206349206349205,0.29920808308865626,0.3326730866228508,
STRAFFIC,20.0,hierarchical,15,0.6233786951246121,0.012259905210646547,0.696031746031746,0.7503968253968254,0.2819954804484806,0.5822995265324911,5.12456488609314,0.22540307025312498,0.9214285714285714,0.30063185218599736,0.3321205063301275,
STRAFFIC,20.0,prototype,15,0.6250481825833861,0.011457199995094047,0.6988095238095238,0.7503968253968254,0.27250655884780584,0.5763008236885071,4.903663778305054,0.22593611285797735,0.9289682539682539,0.2971814493068157,0.32728464968154075,
STRAFFIC,20.0,raw_softmax,15,0.616510562390472,0.017298572568631525,0.6888888888888887,0.7535714285714284,0.2613035664080628,0.5731074770291646,1.9953111330668132,0.19116981433712887,0.9214285714285713,0.30076379947232834,0.3337331269325989,
TBUS,0.0,fused,15,0.6021731907690633,0.020293271653393685,0.6722222222222223,0.7583333333333333,0.2855819923773645,0.6031153559684753,3.2127678632736205,0.19273189660639942,0.913888888888889,0.3130305322979273,0.3521160495380028,
TBUS,0.0,hierarchical,15,0.5993150575804996,0.01846122187643565,0.6686507936507937,0.75,0.292895333729093,0.6123002211252848,5.1316344261169435,0.2147470536065333,0.921031746031746,0.31948987543500523,0.35618414387423986,
TBUS,0.0,prototype,15,0.6076181917557153,0.013320668761226891,0.6781746031746033,0.7496031746031746,0.28310993202621976,0.6011949340502422,4.897501802444458,0.215275201213843,0.9222222222222224,0.3144283454693469,0.3447146405092115,
TBUS,0.0,raw_softmax,15,0.5986501645515825,0.02627861552740506,0.6686507936507938,0.7587301587301588,0.26722274997404644,0.5937323013941447,1.9831994851430257,0.18853819819267306,0.919047619047619,0.3171382486416546,0.3515935247714882,
TBUS,10.0,fused,15,0.6252798238081338,0.017766190028274842,0.6976190476190476,0.7634920634920636,0.275541368268785,0.5716092665990193,2.9505669752756756,0.1815008752558635,0.9178571428571427,0.2970868910269195,0.3290094164989323,
