split,filepath,filename,label,md5
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\1.wav,1.wav,scream,3e2889295d1a61d4746bcfdfb2e03545
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\10.wav,10.wav,scream,39c7c7a43182b33512f7ee016a98a72c
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\100.wav,100.wav,scream,c6d07e4e0d5ed0aa517128a6329f49ed
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\11.wav,11.wav,scream,e194591d41c27caf447938090df32869
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\12.wav,12.wav,scream,0358b42fd8c3a6ad91c5123bf1efcdc2
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\13.wav,13.wav,scream,8ba8279edf758e23388184308c9662f1
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\14.wav,14.wav,scream,1d2fe5c459ba362b5f1b380d20dfe1cd
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\15.wav,15.wav,scream,b55e5f51f796810a19e66af6759578ed
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\16.wav,16.wav,scream,8d05a60de728eee8764504dc50faee3d
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\17.wav,17.wav,scream,c65479a46861f4761c10139fd472c6e9
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\18.wav,18.wav,scream,0adeb2d01851f72d8ea33249f07b06a4
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\19.wav,19.wav,scream,36700eeb78599d6c9e5febe9eaa0bb79
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\2.wav,2.wav,scream,576b85a6275be66a72371dec8256b571
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\20.wav,20.wav,scream,86868ee076869ee7119fe3d3dea9fa26
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\21.wav,21.wav,scream,6217f8f157497dcdae48b7be2f1076c5
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\22.wav,22.wav,scream,c692b2f8a582560b909162d743133ee2
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\23.wav,23.wav,scream,747cb1c0fa218c52139a22f96c1bca2e
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\24.wav,24.wav,scream,f8c1505511780a1d7c7265b74695a0fb
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\25.wav,25.wav,scream,c796a29b07e77cf7aa23bdba0fbb1d82
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\26.wav,26.wav,scream,cd0cd724d55f7df64dbd3067efd82445
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\27.wav,27.wav,scream,b75b623cb3398eb344866fb770b130ed
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\28.wav,28.wav,scream,173b46fc91b7f5a56a5c90dafacf077e
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\29.wav,29.wav,scream,6f30d0dfdb0b8c5a7e737fb994c7d89a
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\3.wav,3.wav,scream,c6eeeb160123986982fb0b51492ff7c5
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\30.wav,30.wav,scream,814d6ba7ac837e0449c8f89931c1bab1
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\31.wav,31.wav,scream,3ff94a82db4e2df9e05e96effe832aea
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\32.wav,32.wav,scream,c6d08e9fbe2d0202b2cc3f2239ec6869
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\33.wav,33.wav,scream,2ac2fbb081c7469fa93d4afa030e7ffb
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\34.wav,34.wav,scream,55285b2fce6d55198a634df261747836
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\35.wav,35.wav,scream,4ee7938114ae519226ea4947f1d2c246
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\36.wav,36.wav,scream,f1d4c6c76e4f272f629eaf1d939ce686
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\37.wav,37.wav,scream,c03b5f950019c33322f408e79404437a
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\38.wav,38.wav,scream,83d8a6c58d7a76ef7add53f0ab1df23e
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\39.wav,39.wav,scream,091b9691a9993da249189ee742a07ea9
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\4.wav,4.wav,scream,45e667fa165d31ae9b26e4acce8903c2
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\40.wav,40.wav,scream,ed6d1cd0feed12409e56c08b46a52316
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\41.wav,41.wav,scream,63404600097d662989841a4c4d226942
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\42.wav,42.wav,scream,f60d310250a4b799e19b25a6ee2f7366
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\43.wav,43.wav,scream,175586284ea59bac6676f4957ce84806
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\44.wav,44.wav,scream,5db3fac75465fe368a494b1f64016406
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\45.wav,45.wav,scream,e9bea6c352aa70383643c45a1a07a796
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\46.wav,46.wav,scream,99af676812487ba8ab264dc2d3446549
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\47.wav,47.wav,scream,d5bc79a2f917bd9086bd3761c4acc957
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\48.wav,48.wav,scream,1592659bf6aa28c050766b474212e6c1
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\49.wav,49.wav,scream,2029f33523fdc014872b22aefb74b1eb
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\5.wav,5.wav,scream,5bcfae434266019339fd64f430d744ad
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\50.wav,50.wav,scream,1891b0e26bc6c10e2f51149810eb3dc7
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\51.wav,51.wav,scream,f025683b96c1815592aca030ec5976d1
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\52.wav,52.wav,scream,b686153696e7721a3583da740157a4be
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\53.wav,53.wav,scream,973d1fca1d88d977bf82c592887ebef4
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\54.wav,54.wav,scream,9f1133ae8774ca8ebc332b3aa9415e71
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\55.wav,55.wav,scream,6b09565112637017226b514fa108672a
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\56.wav,56.wav,scream,cbb984300c56d20a936eedcc6e618ce8
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\57.wav,57.wav,scream,acb24ab7db012bdd5e15068a3ff05985
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\58.wav,58.wav,scream,2112478092e060cdb9d1bd6fd8fb7dc6
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\59.wav,59.wav,scream,1f35c873718abbd92e6282506d0f8e16
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\6.wav,6.wav,scream,e8a37722febbd0f0c50c7870420556ed
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\60.wav,60.wav,scream,fda554f783b419b994103a8fe5b0cf69
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\61.wav,61.wav,scream,e0f747ed2cd1592e2c31f89a44065759
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\62.wav,62.wav,scream,e721c53f882555a85899be296f36938a
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\63.wav,63.wav,scream,8d1ad9918d1eea0a8688bd9db0a19fb1
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\64.wav,64.wav,scream,7f92b3a1e66fde2ecee733b88d0543a2
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\65.wav,65.wav,scream,f49e121b5f8210aa503f1e29da01b17b
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\66.wav,66.wav,scream,ed6ffc1933a0f959ab5374ea012f275d
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\67.wav,67.wav,scream,d697039f81d09ac4c0d6e4c4180c0675
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\68.wav,68.wav,scream,977c42ba642f0dff40219b4924504200
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\69.wav,69.wav,scream,c60895ff301222f1480df3e92199e959
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\7.wav,7.wav,scream,4246e607d53d27044a66bd2e3c306d74
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\70.wav,70.wav,scream,48d64b2a477f8dbdb6f3c5afafdf5283
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\71.wav,71.wav,scream,08087f1eeb2acd9bf806729109db7e7c
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\72.wav,72.wav,scream,994e11a1fae1f342db4dd5e2ed193bb0
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\73.wav,73.wav,scream,c8b7987f351032d79702afa11fbdf2b5
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\74.wav,74.wav,scream,2e374d3c47310e81e96a4e49eef49fa8
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\75.wav,75.wav,scream,d4ddbebb2d49a84a4dc9b8b6b5fc82ed
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\76.wav,76.wav,scream,5ed8f00747df82aeebbf79f83eefcad8
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\77.wav,77.wav,scream,3a69f037cc15e18153a1ed0db0e56d71
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\78.wav,78.wav,scream,6883e28bc3c195c8f04f99e9510c49d0
train,C:\py\pigsound\pig-sound-classification\data\raw\scream_cough_small\trainingdata\cough\79.wav,79.wav,scream,24825c7cccd6018d4cd54feed24b1b82
